source	target	MI
AKNA	ATF1	0.2736
AKNA	BYSL	0.2757
AKNA	C22orf39	0.3036
AKNA	KIAA0040	0.3286
AKNA	NCOA4	0.3148
AKNA	NPAT	0.2755
AKNA	RCBTB2	0.2572
AKNA	USP42	0.2471
ARNTL	CCL4	0.2583
ARNTL	ECE1	0.2910
ARNTL	NEAT1	0.3007
ARNTL	SEC22A	0.3063
ARNTL	TMEM205	0.2610
ARNTL	TRIM38	0.2656
ASCL2	CDKN2D	0.2852
ASCL2	CST3	0.3000
ASCL2	GZMH	0.2904
ASCL2	HOPX	0.3109
ASCL2	IFITM2	0.3099
ASCL2	IKZF3	0.2640
ASCL2	JUN	0.2905
ASCL2	LGALS1	0.2704
ASCL2	NPEPPS	0.2627
ASCL2	SNORD3D	0.3023
ASCL2	TESC	0.2773
ATF1	AKNA	0.2736
ATF1	KIAA0040	0.3060
ATF1	PRSS21	0.2732
ATF1	PTGDR	0.2664
ATF1	SIGLEC7	0.2538
ATF1	TCHP	0.2673
ATF1	TRMT10C	0.2830
ATF1	TSC22D1	0.2944
ATF1	ZBTB16	0.2967
ATF6	DNMT1	0.2774
ATF6	DYNLT1	0.2746
ATF6	DYRK1B	0.2806
ATF6	INO80C	0.2953
ATF6	KIF21A	0.2867
ATF6	KRT1	0.3244
ATF6	LAT2	0.2859
ATF6	LGALS1	0.2902
ATF6	PIGP	0.2682
BATF	AGPAT3	0.3245
BATF	AK3	0.2506
BATF	CD8A	0.3026
BATF	CXorf38	0.2795
BATF	MTPN	0.3315
BATF	NFYB	0.3330
BATF	ODC1	0.3355
BATF	PILRB	0.3009
BATF	S100A6	0.3086
BATF	SLC37A1	0.2872
BATF	TPCN1	0.2734
BPNT1	AIM1	0.2808
BPNT1	BOD1L1	0.2723
BPNT1	CST7	0.2922
BPNT1	MAPK1	0.3028
BPNT1	NEMF	0.2981
BPNT1	PDLIM1	0.3056
BPNT1	TESC	0.2946
CAMTA1	HSH2D	0.2887
CAMTA1	PDXDC1	0.2832
CAMTA1	S100A11	0.2781
CAMTA1	SPATS2	0.2831
CEBPD	CD58	0.2607
CEBPD	CLSTN3	0.2770
CEBPD	COL6A2	0.2662
CEBPD	CRY2	0.2739
CEBPD	EBLN2	0.3011
CEBPD	FERMT3	0.3092
CEBPD	GZMH	0.2801
CEBPD	IRAK1	0.3113
CEBPD	IRF2BPL	0.2723
CEBPD	KIAA1430	0.2988
CEBPD	KIF3A	0.2923
CEBPD	MED28	0.3009
CEBPD	METTL3	0.2561
CEBPD	PLEC	0.2712
CEBPD	SSBP3	0.2832
CEBPD	TATDN1	0.3067
CEBPD	TLK1	0.2588
CEBPD	TMEM205	0.2637
CEBPD	USP42	0.2769
CEBPG	ACBD6	0.2946
CEBPG	AKR1C3	0.2935
CEBPG	ALOX5AP	0.2429
CEBPG	CCL3	0.3029
CEBPG	FOSB	0.2517
CEBPG	GIGYF2	0.2575
CEBPG	GTF2I	0.2944
CEBPG	HAUS3	0.2532
CEBPG	KIF2A	0.2622
CEBPG	LRIF1	0.2905
CEBPG	NUPL1	0.2804
CEBPG	OPA3	0.2532
CEBPG	PATL2	0.2652
CEBPG	PIK3AP1	0.3251
CEBPG	TCHP	0.2638
CEBPG	ZBTB16	0.2768
CITED2	ARHGEF9	0.3176
CITED2	DCAF5	0.2648
CITED2	KIAA0040	0.2980
CITED2	KIAA1430	0.2855
CITED2	LGALS1	0.2834
CITED2	MAN1A2	0.2785
CITED2	MAPK1	0.2743
CITED2	MRPL35	0.2780
CITED2	MXD4	0.3013
CITED2	RGS2	0.2653
CITED2	SELPLG	0.2613
CITED2	TNFSF14	0.3194
CRY2	CEBPD	0.2739
CRY2	EAF2	0.2987
CRY2	FERMT3	0.3028
CRY2	GTF3C5	0.2763
CRY2	KHNYN	0.3177
CRY2	ORC5	0.2664
CRY2	PTPN12	0.3072
CRY2	SAMD9L	0.2979
CRY2	TNFRSF18	0.2419
CTNNB1	AIF1	0.2733
CTNNB1	KRIT1	0.3081
CTNNB1	SLC2A8	0.3164
ELF4	COMMD5	0.2674
ELF4	GRIPAP1	0.2875
ELF4	HAUS2	0.2909
ELF4	IDH1	0.3053
ELF4	IFT43	0.2652
ELF4	MTMR9	0.2871
ELF4	NEAT1	0.2766
ELF4	NT5C3B	0.3050
ELF4	PASK	0.2685
ELF4	PGPEP1	0.2646
ELF4	SLAMF7	0.2790
EOMES	CBLB	0.2587
EOMES	GPR68	0.2628
EOMES	LDHB	0.2650
EOMES	PTCD3	0.2758
EOMES	RELL2	0.3074
FOS	AKR1C3	0.2898
FOS	CXCR3	0.2599
FOS	DYRK1B	0.2607
FOS	NEMF	0.2968
FOS	NFKBIA	0.2707
FOS	PTMS	0.2643
FOS	RGS3	0.2964
FOS	SFSWAP	0.2958
FOS	STK40	0.2667
FOSB	CEBPG	0.2517
FOSB	FCGR3A	0.3145
FOSB	FGFBP2	0.2854
FOSB	IER3	0.3126
FOSB	SCLT1	0.2869
FOSB	SLC16A3	0.2999
GABPA	ACTR8	0.2486
GABPA	ARRB1	0.2653
GABPA	FUT11	0.3519
GABPA	GRN	0.2844
GABPA	INTS1	0.2635
GABPA	TMEM156	0.2971
GABPA	YTHDC1	0.2994
GAS7	B3GALT4	0.2902
GAS7	CD247	0.2858
GAS7	COQ7	0.2901
GAS7	CTSF	0.3206
GAS7	EAF2	0.2758
GAS7	PPIF	0.2608
GAS7	PRKRIP1	0.2676
GAS7	PSMB5	0.2564
GFI1	ATG16L2	0.3009
GFI1	CHD6	0.2719
GFI1	HIST1H1D	0.2796
GFI1	IRF7	0.2913
GFI1	PISD	0.3044
GFI1	RAB37	0.2468
GTF2I	AZIN1	0.2852
GTF2I	CEBPG	0.2944
GTF2I	CRTAM	0.2931
GTF2I	LRBA	0.2631
GTF2I	MKRN1	0.2952
GTF2I	MYSM1	0.2715
GTF2I	PCM1	0.2633
GTF2I	PGM1	0.2622
GTF2I	PIGP	0.2614
GTF2I	SPATS2	0.2551
GTF2I	TMEM156	0.2874
HMGB2	CISH	0.2897
HMGB2	CRIP2	0.2700
HMGB2	DNAJC10	0.2660
HMGB2	FAM8A1	0.2810
HMGB2	IFITM2	0.2943
HMGB2	PPP6R2	0.2603
HMGB2	PTGER2	0.2812
HMGB2	RAB10	0.3315
HMGB2	RRAGC	0.2907
HMGB2	SCLT1	0.3002
HMGB2	TESC	0.2677
HMGB2	UBE2F	0.2998
HOPX	AOAH	0.3260
HOPX	ASCL2	0.3109
HOPX	CCL4	0.2976
HOPX	CD320	0.3046
HOPX	CD8A	0.3488
HOPX	DUSP1	0.2876
HOPX	FLNA	0.2747
HOPX	GRAP2	0.2478
HOPX	GZMH	0.3328
HOPX	IFITM2	0.2828
HOPX	IFNG	0.2851
HOPX	KLRG1	0.2774
HOPX	MATK	0.3511
HOPX	N4BP1	0.3083
HOPX	ROCK1	0.2758
HOPX	S1PR5	0.3001
HOPX	TRPT1	0.2891
HOPX	ZNF226	0.3101
ID1	C2orf49	0.3111
ID1	GSK3B	0.2547
ID1	PLEK	0.3053
ID1	PRR5L	0.2715
ID1	TCEB3	0.2675
IFI16	DNAJC10	0.2809
IFI16	GSTO1	0.2856
IFI16	OPA3	0.2635
IFI16	PLAC8	0.2795
IFI16	UBE2H	0.3280
IKZF3	ASCL2	0.2640
IKZF3	MYO1F	0.2618
IKZF3	RHOC	0.2862
IRF3	CCL3	0.2504
IRF3	DIP2B	0.2636
IRF3	EPB41	0.3093
IRF3	FAM101B	0.2590
IRF3	MATK	0.2565
IRF3	MPP6	0.3093
IRF3	PRPF4	0.2958
IRF3	SEC22A	0.2876
IRF3	STAT3	0.2844
IRF3	ZNF197	0.2966
IRF3	ZNF708	0.2776
IRF7	AGPAT3	0.2687
IRF7	ASB1	0.2776
IRF7	CCDC152	0.2714
IRF7	CCDC28B	0.2939
IRF7	CTSF	0.2782
IRF7	DNMT1	0.2983
IRF7	EFCAB14	0.2817
IRF7	GFI1	0.2913
IRF7	GMEB2	0.3048
IRF7	H1FX	0.2487
IRF7	ISG15	0.2711
IRF7	TRRAP	0.2891
IRF7	UBE2H	0.2685
JUN	AIM1	0.2494
JUN	AKR1C3	0.2829
JUN	ASCL2	0.2905
JUN	CCDC28B	0.2792
JUN	CD8A	0.2957
JUN	GBP1	0.3063
JUN	GZMH	0.2749
