source	target	source.symbol	target.symbol	MI	pearson	spearman	rho	p-value
AKNA	ATF1	AKNA	ATF1	0.2736	-0.0953	-0.0956	-0.0617	0.4501
AKNA	BYSL	AKNA	BYSL	0.2757	-0.0466	-0.0467	-0.0165	0.7123
AKNA	C22orf39	AKNA	C22orf39	0.3036	-0.0817	-0.0821	-0.0484	0.5177
AKNA	KIAA0040	AKNA	KIAA0040	0.3286	-0.0664	-0.0666	-0.0290	0.5993
AKNA	NCOA4	AKNA	NCOA4	0.3148	-0.0819	-0.0821	-0.0540	0.5168
AKNA	NPAT	AKNA	NPAT	0.2755	-0.0466	-0.0467	-0.0141	0.7123
AKNA	RCBTB2	AKNA	RCBTB2	0.2572	-0.0953	-0.0956	-0.0694	0.4503
AKNA	USP42	AKNA	USP42	0.2471	0.3315	0.3386	0.1234	0.0070
ARNTL	CCL4	ARNTL	CCL4	0.2583	-0.1503	-0.1482	-0.3594	0.2322
ARNTL	ECE1	ARNTL	ECE1	0.2910	-0.0275	-0.0275	-0.0148	0.8280
ARNTL	NEAT1	ARNTL	NEAT1	0.3007	-0.0695	-0.0700	-0.0972	0.5823
ARNTL	SEC22A	ARNTL	SEC22A	0.3063	-0.0275	-0.0275	-0.0163	0.8280
ARNTL	TMEM205	ARNTL	TMEM205	0.2610	-0.0483	-0.0484	-0.0489	0.7022
ARNTL	TRIM38	ARNTL	TRIM38	0.2656	-0.0391	-0.0392	-0.0362	0.7570
ASCL2	CDKN2D	ASCL2	CDKN2D	0.2852	-0.1499	-0.1642	-0.1253	0.2332
ASCL2	CST3	ASCL2	CST3	0.3000	-0.1097	-0.1084	-0.0406	0.3842
ASCL2	GZMH	ASCL2	GZMH	0.2904	0.3202	0.3343	0.3156	0.0093
ASCL2	HOPX	ASCL2	HOPX	0.3109	-0.1374	-0.2099	-0.1499	0.2750
ASCL2	IFITM2	ASCL2	IFITM2	0.3099	0.2795	0.2202	0.3205	0.0242
ASCL2	IKZF3	ASCL2	IKZF3	0.2640	-0.1098	-0.1084	-0.0430	0.3839
ASCL2	JUN	ASCL2	JUN	0.2905	0.1177	0.0238	0.1487	0.3505
ASCL2	LGALS1	ASCL2	LGALS1	0.2704	-0.0636	-0.0740	-0.0828	0.6145
ASCL2	NPEPPS	ASCL2	NPEPPS	0.2627	-0.0770	-0.0760	-0.0227	0.5418
ASCL2	SNORD3D	ASCL2	SNORD3D	0.3023	-0.0082	-0.0149	-0.0036	0.9485
ASCL2	TESC	ASCL2	TESC	0.2773	0.4430	0.4457	0.2314	0.0002
ATF1	AKNA	ATF1	AKNA	0.2736	-0.0953	-0.0956	-0.1472	0.4501
ATF1	KIAA0040	ATF1	KIAA0040	0.3060	0.3289	0.3248	0.2219	0.0075
ATF1	PRSS21	ATF1	PRSS21	0.2732	-0.0319	-0.0320	-0.0180	0.8005
ATF1	PTGDR	ATF1	PTGDR	0.2664	0.4446	0.4504	0.4672	0.0002
ATF1	SIGLEC7	ATF1	SIGLEC7	0.2538	-0.0319	-0.0320	-0.0185	0.8005
ATF1	TCHP	ATF1	TCHP	0.2673	-0.0560	-0.0563	-0.0508	0.6578
ATF1	TRMT10C	ATF1	TRMT10C	0.2830	0.2877	0.3135	0.2182	0.0201
ATF1	TSC22D1	ATF1	TSC22D1	0.2944	-0.0319	-0.0320	-0.0186	0.8005
ATF1	ZBTB16	ATF1	ZBTB16	0.2967	-0.0319	-0.0320	-0.0177	0.8005
ATF6	DNMT1	ATF6	DNMT1	0.2774	-0.0314	-0.0317	-0.0301	0.8038
ATF6	DYNLT1	ATF6	DYNLT1	0.2746	0.2831	0.2505	0.4696	0.0223
ATF6	DYRK1B	ATF6	DYRK1B	0.2806	-0.0388	-0.0392	-0.0465	0.7588
ATF6	INO80C	ATF6	INO80C	0.2953	0.5730	0.5000	0.5336	0.0000
ATF6	KIF21A	ATF6	KIF21A	0.2867	-0.0221	-0.0223	-0.0156	0.8615
ATF6	KRT1	ATF6	KRT1	0.3244	-0.0221	-0.0223	-0.0131	0.8615
ATF6	LAT2	ATF6	LAT2	0.2859	-0.0451	-0.0456	-0.0568	0.7213
ATF6	LGALS1	ATF6	LGALS1	0.2902	-0.1937	-0.1790	-0.6351	0.1220
ATF6	PIGP	ATF6	PIGP	0.2682	-0.0388	-0.0392	-0.0457	0.7587
BATF	AGPAT3	BATF	AGPAT3	0.3245	-0.0531	-0.0531	-0.0198	0.6741
BATF	AK3	BATF	AK3	0.2506	-0.0757	-0.0756	-0.0367	0.5487
BATF	CD8A	BATF	CD8A	0.3026	0.2693	0.1754	0.3904	0.0301
BATF	CXorf38	BATF	CXorf38	0.2795	-0.0531	-0.0531	-0.0156	0.6741
BATF	MTPN	BATF	MTPN	0.3315	-0.0924	-0.0933	-0.0541	0.4642
BATF	NFYB	BATF	NFYB	0.3330	-0.0531	-0.0531	-0.0190	0.6741
BATF	ODC1	BATF	ODC1	0.3355	-0.0531	-0.0531	-0.0189	0.6741
