source	target	MI
AKNA	C11orf1	0.2348
AKNA	CCR10	0.2568
AKNA	CEBPG	0.2677
AKNA	CLIC3	0.2288
AKNA	COTL1	0.2466
AKNA	GOLGA5	0.2965
AKNA	JUND	0.2333
AKNA	KIAA1715	0.2305
AKNA	KIAA2018	0.2325
AKNA	MARCH2	0.2492
AKNA	MIDN	0.2107
AKNA	PRKAR2A	0.2349
AKNA	SFXN3	0.2122
AKNA	TBC1D7	0.2407
AKNA	TMEM156	0.2590
AKNA	WNT10A	0.2243
AKNA	ZRANB1	0.2495
ARNTL	ALDOC	0.2993
ARNTL	ATP11B	0.2301
ARNTL	C19orf25	0.2301
ARNTL	CHD1L	0.2404
ARNTL	GRIPAP1	0.2375
ARNTL	HOTAIRM1	0.2332
ARNTL	MAP4K4	0.2275
ARNTL	PRKCB	0.2578
ARNTL	RFC1	0.2427
ARNTL	RIOK2	0.2394
ARNTL	RNF25	0.2464
ARNTL	SCO2	0.2337
ARNTL	SEC22A	0.2700
ARNTL	SPRYD7	0.2551
ARNTL	TRIM25	0.2301
ARNTL	UNC93B1	0.2491
ARNTL	WDR70	0.2252
ARNTL	ZHX1	0.2223
ARNTL	ZNF593	0.2278
ASCL2	ABI3	0.2304
ASCL2	ARID5A	0.2615
ASCL2	C6orf211	0.2404
ASCL2	CALHM2	0.2556
ASCL2	CTSW	0.2436
ASCL2	ETFA	0.2415
ASCL2	EXOC6	0.2925
ASCL2	GABARAPL1	0.2413
ASCL2	HOPX	0.2512
ASCL2	KBTBD4	0.2319
ASCL2	LRRC40	0.2794
ASCL2	MORF4L2	0.2585
ASCL2	MS4A7	0.2504
ASCL2	OPA3	0.2224
ASCL2	PITPNM1	0.2458
ASCL2	SCYL2	0.2417
ASCL2	SPATS2	0.2117
ASCL2	SSR3	0.2302
ASCL2	STX3	0.2316
ASCL2	TCHP	0.2290
ASCL2	TNFSF10	0.2805
ASCL2	XCL1	0.2919
ASCL2	YWHAH	0.2330
ATF1	ATXN7L1	0.2344
ATF1	C16orf87	0.2377
ATF1	CASC4	0.2463
ATF1	CNPY4	0.2537
ATF1	CTSA	0.2618
ATF1	CTSW	0.2278
ATF1	DAXX	0.2371
ATF1	DDX6	0.2386
ATF1	GNGT2	0.2270
ATF1	GZMB	0.2187
ATF1	KIF3A	0.2487
ATF1	NDRG1	0.2333
ATF1	NFYB	0.2242
ATF1	PRKAG1	0.2417
ATF1	RAB37	0.2564
ATF1	RANBP6	0.2493
ATF1	TIMM23	0.2636
ATF1	TNFSF14	0.2578
ATF1	TRIM26	0.2388
ATF1	UBE2H	0.2371
ATF6	ACBD6	0.2449
ATF6	ASB1	0.2411
ATF6	C1orf35	0.2208
ATF6	DHX36	0.2504
ATF6	IL4R	0.2478
ATF6	IRF7	0.2584
ATF6	KHNYN	0.2503
ATF6	LINC00936	0.2156
ATF6	LST1	0.2467
ATF6	MARCH5	0.2390
ATF6	PCM1	0.2475
ATF6	PRKAR2A	0.2595
ATF6	PTGER2	0.2461
ATF6	RAP2C	0.2149
ATF6	SEPHS1	0.2344
ATF6	SLC27A5	0.2454
ATF6	SNX2	0.2167
ATF6	TBC1D23	0.2570
ATF6	TIGIT	0.2320
ATF6	TRABD2A	0.2308
ATF6	USP9X	0.2399
ATF6	ZBTB16	0.2474
BATF	ANKRD11	0.2551
BATF	AP001055.6	0.2336
BATF	C9orf37	0.2622
BATF	GSK3B	0.2511
BATF	HAUS3	0.2432
BATF	HOPX	0.2563
BATF	ID3	0.2035
BATF	ISCA2	0.2087
BATF	KLHL24	0.2580
BATF	KLRB1	0.2392
BATF	MED19	0.2436
BATF	OSBPL9	0.2387
BATF	POP7	0.2502
BATF	PYCARD	0.2298
BATF	RPA1	0.2262
BATF	S100B	0.2461
BATF	SETX	0.2587
BATF	TMEM91	0.2307
BLZF1	BROX	0.2411
BLZF1	CCAR2	0.2636
BLZF1	CRTAM	0.2284
BLZF1	GSTP1	0.2329
BLZF1	GTF3C5	0.2305
BLZF1	KIF3A	0.2347
BLZF1	LYN	0.2629
BLZF1	MED19	0.2639
BLZF1	TCEB3	0.2219
BLZF1	TESC	0.2632
BPNT1	ACOT13	0.2275
BPNT1	CAPN12	0.2501
BPNT1	CCR7	0.2390
BPNT1	CHD1L	0.2344
BPNT1	CRTAM	0.2217
BPNT1	FLYWCH2	0.2635
BPNT1	GRAP2	0.2706
BPNT1	IFITM3	0.2940
BPNT1	IKZF3	0.2350
BPNT1	IQGAP1	0.2403
BPNT1	ITPR3	0.2530
BPNT1	KIAA0922	0.2414
BPNT1	KLRC2	0.2410
BPNT1	LINC00152	0.2061
BPNT1	LYL1	0.2310
BPNT1	PEMT	0.2255
BPNT1	PRKAR2A	0.2258
BPNT1	PTGER2	0.2436
BPNT1	PTPN18	0.2724
BPNT1	RFC1	0.2354
BPNT1	S100A9	0.2299
BPNT1	SPATS2	0.2665
BPNT1	TLK1	0.2206
BPNT1	ZDHHC18	0.2299
BTAF1	CD3D	0.2090
BTAF1	CEBPG	0.2474
BTAF1	GGA1	0.2574
BTAF1	GSTO1	0.2723
BTAF1	HCG18	0.2401
BTAF1	PEX11B	0.2596
BTAF1	PINK1	0.2268
BTAF1	RGS3	0.2329
BTAF1	SIN3A	0.2323
BTAF1	SLAMF7	0.2255
BTAF1	SMIM12	0.2794
BTAF1	SYNE2	0.2223
BTAF1	YWHAH	0.2246
BTAF1	ZNF816	0.2271
CAMTA1	ANKIB1	0.2388
CAMTA1	ARHGEF9	0.2537
CAMTA1	ATG2A	0.2607
CAMTA1	C1orf35	0.2327
CAMTA1	CSNK1G2	0.2146
CAMTA1	DGKA	0.2422
CAMTA1	GBP1	0.2483
CAMTA1	IL18RAP	0.2136
CAMTA1	IRF7	0.2400
CAMTA1	LAIR1	0.2241
CAMTA1	MFSD1	0.2272
CAMTA1	MSL3	0.3022
CAMTA1	NRL	0.2581
CAMTA1	NRM	0.2148
CAMTA1	PEPD	0.2513
CAMTA1	PI16	0.2361
CAMTA1	PRKAG1	0.2542
CAMTA1	RUFY1	0.2427
CAMTA1	SCO2	0.2637
CAMTA1	SLC12A9	0.2482
CAMTA1	TNFSF13B	0.2226
CAMTA1	TRMT10C	0.2557
CAMTA1	TRPT1	0.2258
CAMTA1	USP28	0.2158
CAMTA1	YPEL2	0.2480
CEBPD	AMD1	0.2037
CEBPD	APLP2	0.2256
CEBPD	ARHGEF9	0.2412
CEBPD	BICD1	0.2013
CEBPD	BIRC3	0.2493
CEBPD	BLK	0.2350
CEBPD	CITED2	0.2561
CEBPD	CLIC3	0.2479
CEBPD	COTL1	0.2537
CEBPD	CTSA	0.2594
CEBPD	DIS3L2	0.2370
CEBPD	DUSP1	0.2503
CEBPD	EPB41	0.2599
CEBPD	GFPT1	0.2608
CEBPD	GIGYF2	0.2697
CEBPD	GSTP1	0.2371
CEBPD	IFT43	0.2182
CEBPD	INADL	0.2443
CEBPD	MBD3	0.2481
CEBPD	NKAP	0.2687
CEBPD	PTGDR	0.2122
CEBPD	PTPN12	0.2524
CEBPD	SYNGR1	0.2504
CEBPD	TIGIT	0.2466
CEBPD	TMEM55A	0.2116
CEBPD	TRIM26	0.2439
CEBPD	ZBTB44	0.2764
CEBPD	ZNF3	0.2391
CEBPD	ZNF37A	0.2308
CEBPG	AKNA	0.2677
CEBPG	ATG16L2	0.2190
CEBPG	BTAF1	0.2474
CEBPG	CARS	0.2677
CEBPG	CD247	0.2298
CEBPG	DNMT1	0.2066
CEBPG	FERMT3	0.2407
CEBPG	GBA2	0.2595
CEBPG	GGH	0.2232
CEBPG	GIMAP7	0.2586
CEBPG	KIF2A	0.2922
CEBPG	LRRC42	0.2557
CEBPG	MBNL3	0.2651
CEBPG	MRPS31	0.2197
CEBPG	PASK	0.2389
CEBPG	RHOC	0.2277
CEBPG	RNF25	0.2322
CEBPG	RRAGC	0.2555
CEBPG	SRPK2	0.2325
CEBPG	SRRD	0.2355
CEBPG	STAU2	0.2418
CEBPG	THAP2	0.2124
CEBPG	WASF2	0.2286
CEBPG	WSB1	0.2311
CEBPG	ZNF3	0.2523
CITED2	ABHD15	0.2742
CITED2	ADAR	0.2874
CITED2	BDP1	0.2394
CITED2	CCL4	0.2410
CITED2	CEBPD	0.2561
CITED2	CTSW	0.2496
CITED2	DUSP6	0.2266
CITED2	MTR	0.2447
CITED2	NPEPPS	0.2870
CITED2	P2RX5	0.2653
CITED2	PHLDA2	0.2582
CITED2	PITPNM1	0.2489
CITED2	PPP6R2	0.2293
CITED2	PRDM4	0.2412
CITED2	PRRT3	0.2640
CITED2	PTPN7	0.2682
CITED2	RCBTB2	0.2243
CITED2	SMCO4	0.2611
CITED2	SMKR1	0.2248
CITED2	TPST2	0.2229
CREBRF	ATXN7L1	0.2425
CREBRF	CD79B	0.2587
CREBRF	GBA2	0.2326
CREBRF	H1FX	0.2306
CREBRF	IRF3	0.2904
CREBRF	KIAA0040	0.2425
CREBRF	KIF21A	0.2653
CREBRF	KIR3DL2	0.2409
CREBRF	MACROD1	0.2608
CREBRF	MSI2	0.2431
CREBRF	MSL3	0.2713
CREBRF	MYO1F	0.2441
CREBRF	NRM	0.2477
CREBRF	PPP1R14B	0.2611
CREBRF	PRF1	0.2740
CREBRF	PTGER2	0.2469
CREBRF	RAB37	0.2176
CREBRF	RSU1	0.2852
CREBRF	SFXN3	0.2561
CREBRF	SLC37A1	0.2790
CREBRF	SPPL2A	0.2176
CREBRF	SYT11	0.2381
CREBRF	TLE3	0.2306
CREBRF	TRRAP	0.2647
CREBRF	VAV3	0.2601
CRY2	AMN1	0.2751
CRY2	BROX	0.2249
CRY2	C17orf75	0.2418
CRY2	CD63	0.2496
CRY2	DDX51	0.2272
CRY2	FBXL12	0.2332
CRY2	FCER1G	0.2276
CRY2	GADD45A	0.2345
CRY2	HENMT1	0.2450
CRY2	ITPR1	0.2386
CRY2	KIF21A	0.2210
CRY2	LIMS1	0.2415
CRY2	NKAP	0.2694
CRY2	NSG1	0.2590
CRY2	PGPEP1	0.2511
CRY2	PRKAR2A	0.2375
CRY2	SLC6A6	0.2351
CRY2	STAU2	0.2698
CRY2	SYTL3	0.2193
CRY2	TCEB3	0.2533
CRY2	TRNT1	0.2825
CRY2	ZNF550	0.2608
CTNNB1	ABHD14A	0.2592
CTNNB1	ADAM15	0.2172
CTNNB1	CPNE7	0.2750
CTNNB1	DIAPH1	0.2407
CTNNB1	ERGIC1	0.2120
CTNNB1	FCGR3A	0.2557
CTNNB1	ITPR3	0.2991
CTNNB1	LCORL	0.2422
CTNNB1	MACROD1	0.2358
CTNNB1	MYSM1	0.2349
CTNNB1	NUB1	0.2702
CTNNB1	PHF21A	0.2378
CTNNB1	PITPNM1	0.2220
CTNNB1	SAT1	0.2446
CTNNB1	SMCO4	0.2672
