source	target	source.symbol	target.symbol	MI	pearson	spearman	rho	p-value
AKNA	C11orf1	AKNA	C11orf1	0.2348	-0.0439	-0.0442	-0.0247	0.6829
AKNA	CCR10	AKNA	CCR10	0.2568	-0.0310	-0.0311	-0.0125	0.7728
AKNA	CEBPG	AKNA	CEBPG	0.2677	-0.0543	-0.0545	-0.0385	0.6132
AKNA	CLIC3	AKNA	CLIC3	0.2288	0.1428	0.1521	0.1848	0.1820
AKNA	COTL1	AKNA	COTL1	0.2466	0.0449	0.0163	0.0812	0.6758
AKNA	GOLGA5	AKNA	GOLGA5	0.2965	-0.0310	-0.0311	-0.0122	0.7728
AKNA	JUND	AKNA	JUND	0.2333	-0.0310	-0.0311	-0.0128	0.7728
AKNA	KIAA1715	AKNA	KIAA1715	0.2305	-0.0310	-0.0311	-0.0124	0.7728
AKNA	KIAA2018	AKNA	KIAA2018	0.2325	-0.0310	-0.0311	-0.0123	0.7728
AKNA	MARCH2	AKNA	MARCH2	0.2492	0.2107	0.2214	0.1137	0.0475
AKNA	MIDN	AKNA	MIDN	0.2107	-0.0627	-0.0633	-0.0489	0.5591
AKNA	PRKAR2A	AKNA	PRKAR2A	0.2349	-0.0543	-0.0545	-0.0352	0.6133
AKNA	SFXN3	AKNA	SFXN3	0.2122	0.3743	0.3733	0.1500	0.0003
AKNA	TBC1D7	AKNA	TBC1D7	0.2407	-0.0310	-0.0311	-0.0140	0.7728
AKNA	TMEM156	AKNA	TMEM156	0.2590	-0.0310	-0.0311	-0.0135	0.7728
AKNA	WNT10A	AKNA	WNT10A	0.2243	-0.0439	-0.0442	-0.0264	0.6832
AKNA	ZRANB1	AKNA	ZRANB1	0.2495	-0.0440	-0.0442	-0.0231	0.6822
ARNTL	ALDOC	ARNTL	ALDOC	0.2993	-0.0283	-0.0283	-0.0338	0.7925
ARNTL	ATP11B	ARNTL	ATP11B	0.2301	-0.0162	-0.0162	-0.0106	0.8806
ARNTL	C19orf25	ARNTL	C19orf25	0.2301	0.1965	0.1856	0.4314	0.0650
ARNTL	CHD1L	ARNTL	CHD1L	0.2404	-0.0162	-0.0162	-0.0114	0.8806
ARNTL	GRIPAP1	ARNTL	GRIPAP1	0.2375	-0.0230	-0.0230	-0.0233	0.8308
ARNTL	HOTAIRM1	ARNTL	HOTAIRM1	0.2332	-0.0229	-0.0230	-0.0234	0.8313
ARNTL	MAP4K4	ARNTL	MAP4K4	0.2275	-0.0228	-0.0230	-0.0203	0.8322
ARNTL	PRKCB	ARNTL	PRKCB	0.2578	-0.0162	-0.0162	-0.0098	0.8806
ARNTL	RFC1	ARNTL	RFC1	0.2427	-0.0229	-0.0230	-0.0237	0.8311
ARNTL	RIOK2	ARNTL	RIOK2	0.2394	-0.0328	-0.0329	-0.0419	0.7605
ARNTL	RNF25	ARNTL	RNF25	0.2464	-0.0162	-0.0162	-0.0114	0.8806
ARNTL	SCO2	ARNTL	SCO2	0.2337	-0.0328	-0.0329	-0.0449	0.7599
ARNTL	SEC22A	ARNTL	SEC22A	0.2700	-0.0162	-0.0162	-0.0105	0.8806
ARNTL	SPRYD7	ARNTL	SPRYD7	0.2551	-0.0230	-0.0230	-0.0218	0.8308
ARNTL	TRIM25	ARNTL	TRIM25	0.2301	-0.0162	-0.0162	-0.0100	0.8806
ARNTL	UNC93B1	ARNTL	UNC93B1	0.2491	-0.0162	-0.0162	-0.0106	0.8806
ARNTL	WDR70	ARNTL	WDR70	0.2252	-0.0230	-0.0230	-0.0216	0.8309
ARNTL	ZHX1	ARNTL	ZHX1	0.2223	-0.0162	-0.0162	-0.0121	0.8806
ARNTL	ZNF593	ARNTL	ZNF593	0.2278	-0.0283	-0.0283	-0.0320	0.7924
ASCL2	ABI3	ASCL2	ABI3	0.2304	-0.0645	-0.0655	-0.0657	0.5484
ASCL2	ARID5A	ASCL2	ARID5A	0.2615	-0.0652	-0.0655	-0.0634	0.5439
ASCL2	C6orf211	ASCL2	C6orf211	0.2404	-0.0404	-0.0407	-0.0220	0.7071
ASCL2	CALHM2	ASCL2	CALHM2	0.2556	-0.0406	-0.0407	-0.0240	0.7055
ASCL2	CTSW	ASCL2	CTSW	0.2436	0.2270	0.1921	0.5036	0.0324
ASCL2	ETFA	ASCL2	ETFA	0.2415	-0.0501	-0.0502	-0.0370	0.6412
ASCL2	EXOC6	ASCL2	EXOC6	0.2925	-0.0501	-0.0502	-0.0367	0.6412
ASCL2	GABARAPL1	ASCL2	GABARAPL1	0.2413	0.1317	0.1354	0.1303	0.2184
ASCL2	HOPX	ASCL2	HOPX	0.2512	-0.0174	-0.0229	-0.0359	0.8712
ASCL2	KBTBD4	ASCL2	KBTBD4	0.2319	-0.0497	-0.0502	-0.0353	0.6439
ASCL2	LRRC40	ASCL2	LRRC40	0.2794	-0.0406	-0.0407	-0.0252	0.7054
ASCL2	MORF4L2	ASCL2	MORF4L2	0.2585	0.0857	0.0785	0.0958	0.4246
ASCL2	MS4A7	ASCL2	MS4A7	0.2504	-0.0407	-0.0407	-0.0246	0.7052
ASCL2	OPA3	ASCL2	OPA3	0.2224	-0.0286	-0.0286	-0.0125	0.7903
ASCL2	PITPNM1	ASCL2	PITPNM1	0.2458	-0.0286	-0.0286	-0.0115	0.7903
ASCL2	SCYL2	ASCL2	SCYL2	0.2417	-0.0406	-0.0407	-0.0266	0.7055
ASCL2	SPATS2	ASCL2	SPATS2	0.2117	-0.0286	-0.0286	-0.0117	0.7903
ASCL2	SSR3	ASCL2	SSR3	0.2302	-0.0895	-0.0899	-0.1102	0.4045
ASCL2	STX3	ASCL2	STX3	0.2316	-0.0286	-0.0286	-0.0124	0.7903
ASCL2	TCHP	ASCL2	TCHP	0.2290	-0.0501	-0.0502	-0.0366	0.6412
ASCL2	TNFSF10	ASCL2	TNFSF10	0.2805	-0.0653	-0.0655	-0.0597	0.5430
ASCL2	XCL1	ASCL2	XCL1	0.2919	-0.0407	-0.0407	-0.0241	0.7052
ASCL2	YWHAH	ASCL2	YWHAH	0.2330	0.0010	0.0159	0.0012	0.9929
ATF1	ATXN7L1	ATF1	ATXN7L1	0.2344	-0.0403	-0.0405	-0.0335	0.7078
ATF1	C16orf87	ATF1	C16orf87	0.2377	-0.0524	-0.0529	-0.0524	0.6261
ATF1	CASC4	ATF1	CASC4	0.2463	-0.0400	-0.0405	-0.0328	0.7099
ATF1	CNPY4	ATF1	CNPY4	0.2537	-0.0403	-0.0405	-0.0324	0.7077
ATF1	CTSA	ATF1	CTSA	0.2618	-0.0808	-0.0812	-0.1269	0.4519
ATF1	CTSW	ATF1	CTSW	0.2278	0.1734	0.1122	0.4430	0.1042
ATF1	DAXX	ATF1	DAXX	0.2371	-0.0327	-0.0329	-0.0209	0.7607
ATF1	DDX6	ATF1	DDX6	0.2386	-0.0676	-0.0681	-0.0894	0.5288
ATF1	GNGT2	ATF1	GNGT2	0.2270	-0.0526	-0.0529	-0.0534	0.6244
ATF1	GZMB	ATF1	GZMB	0.2187	-0.0401	-0.0405	-0.0359	0.7094
ATF1	KIF3A	ATF1	KIF3A	0.2487	-0.0328	-0.0329	-0.0226	0.7606
ATF1	NDRG1	ATF1	NDRG1	0.2333	-0.0468	-0.0470	-0.0461	0.6629
ATF1	NFYB	ATF1	NFYB	0.2242	-0.0526	-0.0529	-0.0546	0.6243
ATF1	PRKAG1	ATF1	PRKAG1	0.2417	-0.0403	-0.0405	-0.0336	0.7075
ATF1	RAB37	ATF1	RAB37	0.2564	-0.0230	-0.0231	-0.0114	0.8304
ATF1	RANBP6	ATF1	RANBP6	0.2493	-0.0230	-0.0231	-0.0090	0.8304
ATF1	TIMM23	ATF1	TIMM23	0.2636	-0.0230	-0.0231	-0.0105	0.8304
ATF1	TNFSF14	ATF1	TNFSF14	0.2578	-0.0327	-0.0329	-0.0222	0.7606
ATF1	TRIM26	ATF1	TRIM26	0.2388	-0.0230	-0.0231	-0.0114	0.8304
ATF1	UBE2H	ATF1	UBE2H	0.2371	-0.0230	-0.0231	-0.0105	0.8304
ATF6	ACBD6	ATF6	ACBD6	0.2449	-0.0199	-0.0199	-0.0405	0.8531
ATF6	ASB1	ATF6	ASB1	0.2411	-0.0231	-0.0231	-0.0520	0.8297
ATF6	C1orf35	ATF6	C1orf35	0.2208	-0.0231	-0.0231	-0.0558	0.8300
ATF6	DHX36	ATF6	DHX36	0.2504	-0.0230	-0.0231	-0.0527	0.8303
ATF6	IL4R	ATF6	IL4R	0.2478	-0.0114	-0.0114	-0.0138	0.9158
ATF6	IRF7	ATF6	IRF7	0.2584	-0.0334	-0.0335	-0.1121	0.7562
ATF6	KHNYN	ATF6	KHNYN	0.2503	-0.0286	-0.0286	-0.0769	0.7902
ATF6	LINC00936	ATF6	LINC00936	0.2156	-0.0419	-0.0419	-0.1636	0.6970
ATF6	LST1	ATF6	LST1	0.2467	-0.0356	-0.0357	-0.1262	0.7405
ATF6	MARCH5	ATF6	MARCH5	0.2390	-0.0259	-0.0260	-0.0618	0.8093
ATF6	PCM1	ATF6	PCM1	0.2475	-0.0162	-0.0162	-0.0264	0.8805
ATF6	PRKAR2A	ATF6	PRKAR2A	0.2595	-0.0199	-0.0199	-0.0376	0.8533
ATF6	PTGER2	ATF6	PTGER2	0.2461	0.2708	0.2934	0.8941	0.0103
ATF6	RAP2C	ATF6	RAP2C	0.2149	-0.0114	-0.0114	-0.0134	0.9158
ATF6	SEPHS1	ATF6	SEPHS1	0.2344	-0.0114	-0.0114	-0.0151	0.9158
ATF6	SLC27A5	ATF6	SLC27A5	0.2454	0.4483	0.4855	0.9620	0.0000
ATF6	SNX2	ATF6	SNX2	0.2167	-0.0259	-0.0260	-0.0650	0.8095
ATF6	TBC1D23	ATF6	TBC1D23	0.2570	-0.0114	-0.0114	-0.0125	0.9158
ATF6	TIGIT	ATF6	TIGIT	0.2320	-0.0397	-0.0399	-0.1498	0.7115
ATF6	TRABD2A	ATF6	TRABD2A	0.2308	-0.0199	-0.0199	-0.0382	0.8531
ATF6	USP9X	ATF6	USP9X	0.2399	-0.0114	-0.0114	-0.0128	0.9158
ATF6	ZBTB16	ATF6	ZBTB16	0.2474	-0.0230	-0.0231	-0.0534	0.8303
