source	target	source.symbol	target.symbol	MI	pearson	spearman	rho	p-value
AKNA	AK3	AKNA	AK3	0.1729	-0.0577	-0.0584	-0.0527	0.4290
AKNA	ASCL2	AKNA	ASCL2	0.1926	-0.0179	-0.0180	-0.0049	0.8061
AKNA	CCDC34	AKNA	CCDC34	0.1504	0.0762	0.1115	0.0416	0.2960
AKNA	CSF3R	AKNA	CSF3R	0.1651	-0.0179	-0.0180	-0.0059	0.8061
AKNA	EOMES	AKNA	EOMES	0.1848	-0.0179	-0.0180	-0.0052	0.8061
AKNA	HVCN1	AKNA	HVCN1	0.1626	-0.0358	-0.0363	-0.0215	0.6235
AKNA	INO80C	AKNA	INO80C	0.1648	-0.0359	-0.0363	-0.0229	0.6225
AKNA	MACROD1	AKNA	MACROD1	0.1677	-0.0179	-0.0180	-0.0056	0.8061
AKNA	METTL25	AKNA	METTL25	0.1591	-0.0179	-0.0180	-0.0056	0.8061
AKNA	S100B	AKNA	S100B	0.1626	-0.0402	-0.0407	-0.0293	0.5821
AKNA	SPAG9	AKNA	SPAG9	0.1575	-0.0361	-0.0363	-0.0223	0.6212
AKNA	STK40	AKNA	STK40	0.1703	-0.0252	-0.0256	-0.0113	0.7303
AKNA	SYNGR1	AKNA	SYNGR1	0.1619	-0.0179	-0.0180	-0.0053	0.8061
ARNT	AGL	ARNT	AGL	0.1630	-0.0106	-0.0106	-0.0114	0.8846
ARNT	ALDH9A1	ARNT	ALDH9A1	0.1659	-0.0229	-0.0230	-0.0474	0.7537
ARNT	DNMT1	ARNT	DNMT1	0.1739	-0.0254	-0.0256	-0.0534	0.7282
ARNT	FAM229B	ARNT	FAM229B	0.1477	-0.0169	-0.0170	-0.0265	0.8174
ARNT	FHL3	ARNT	FHL3	0.1555	-0.0075	-0.0075	-0.0051	0.9182
ARNT	NEK8	ARNT	NEK8	0.1561	-0.0075	-0.0075	-0.0042	0.9182
ARNT	NUP88	ARNT	NUP88	0.1639	-0.0150	-0.0151	-0.0228	0.8377
ARNT	PTPN18	ARNT	PTPN18	0.1504	0.1667	0.1681	0.4179	0.0215
ARNT	RNASEK	ARNT	RNASEK	0.1703	-0.0106	-0.0106	-0.0099	0.8842
ARNT	ST3GAL3	ARNT	ST3GAL3	0.1602	-0.0075	-0.0075	-0.0055	0.9182
ARNT	THOP1	ARNT	THOP1	0.1709	-0.0106	-0.0106	-0.0095	0.8844
ARNT	ZNF664	ARNT	ZNF664	0.1742	-0.0105	-0.0106	-0.0088	0.8855
ARNTL	ATG2A	ARNTL	ATG2A	0.1573	-0.0131	-0.0131	-0.0321	0.8573
ARNTL	CAMTA1	ARNTL	CAMTA1	0.1838	-0.0142	-0.0142	-0.0360	0.8461
ARNTL	CCNG2	ARNTL	CCNG2	0.1725	-0.0053	-0.0053	-0.0055	0.9422
ARNTL	CSNK1G2	ARNTL	CSNK1G2	0.1696	-0.0119	-0.0120	-0.0261	0.8703
ARNTL	CXorf38	ARNTL	CXorf38	0.1680	-0.0075	-0.0075	-0.0102	0.9182
ARNTL	HPS1	ARNTL	HPS1	0.1568	-0.0152	-0.0152	-0.0403	0.8353
ARNTL	ILK	ARNTL	ILK	0.1727	-0.0171	-0.0171	-0.0528	0.8147
ARNTL	MORF4L2	ARNTL	MORF4L2	0.1979	-0.0152	-0.0152	-0.0401	0.8355
ARNTL	MRPL35	ARNTL	MRPL35	0.1648	-0.0075	-0.0075	-0.0104	0.9182
ARNTL	NEK8	ARNTL	NEK8	0.1784	-0.0053	-0.0053	-0.0043	0.9422
ARNTL	PHF5A	ARNTL	PHF5A	0.1447	-0.0276	-0.0276	-0.1232	0.7057
