source	target	source.symbol	target.symbol	MI	pearson	spearman	rho	p-value
AKNA	CHD8	AKNA	CHD8	0.1578	-0.0225	-0.0227	-0.0214	0.7800
AKNA	PEX6	AKNA	PEX6	0.1858	-0.0130	-0.0130	-0.0069	0.8718
AKNA	PLAC8	AKNA	PLAC8	0.1862	0.0238	0.0285	0.0661	0.7683
AKNA	SERPINF1	AKNA	SERPINF1	0.1735	-0.0130	-0.0130	-0.0065	0.8718
AKNA	SERPINI1	AKNA	SERPINI1	0.1902	-0.0185	-0.0185	-0.0137	0.8191
AKNA	TCF20	AKNA	TCF20	0.1692	-0.0185	-0.0185	-0.0135	0.8189
AKNA	ZRANB1	AKNA	ZRANB1	0.1695	-0.0130	-0.0130	-0.0078	0.8718
ARNT	CAMTA1	ARNT	CAMTA1	0.1532	-0.0246	-0.0247	-0.0415	0.7608
ARNT	CDC27	ARNT	CDC27	0.1901	-0.0130	-0.0130	-0.0118	0.8722
ARNT	HAUS2	ARNT	HAUS2	0.1754	-0.0092	-0.0092	-0.0059	0.9097
ARNT	INO80C	ARNT	INO80C	0.2059	-0.0092	-0.0092	-0.0059	0.9097
ARNT	IPO5	ARNT	IPO5	0.1922	-0.0129	-0.0130	-0.0133	0.8728
ARNT	LINC00998	ARNT	LINC00998	0.1778	-0.0185	-0.0185	-0.0237	0.8190
ARNT	NFKBIA	ARNT	NFKBIA	0.1904	-0.0507	-0.0507	-0.1624	0.5295
ARNT	NIPBL	ARNT	NIPBL	0.1798	-0.0207	-0.0207	-0.0299	0.7973
ARNT	PEX10	ARNT	PEX10	0.1925	-0.0130	-0.0130	-0.0117	0.8722
ARNT	SLC20A2	ARNT	SLC20A2	0.1759	-0.0130	-0.0130	-0.0126	0.8722
ARNT	USP28	ARNT	USP28	0.2011	-0.0092	-0.0092	-0.0055	0.9097
ARNT	ZZEF1	ARNT	ZZEF1	0.2100	-0.0092	-0.0092	-0.0056	0.9097
ARNTL	ALDH9A1	ARNTL	ALDH9A1	0.1796	-0.0366	-0.0366	-0.0652	0.6505
ARNTL	BLZF1	ARNTL	BLZF1	0.1686	-0.0112	-0.0112	-0.0065	0.8892
ARNTL	DGKA	ARNTL	DGKA	0.1800	-0.0303	-0.0303	-0.0455	0.7074
ARNTL	GTF2A1	ARNTL	GTF2A1	0.1660	-0.0112	-0.0112	-0.0066	0.8892
ARNTL	IPPK	ARNTL	IPPK	0.1960	-0.0112	-0.0112	-0.0063	0.8892
ARNTL	ITPR3	ARNTL	ITPR3	0.2020	-0.0112	-0.0112	-0.0070	0.8892
ARNTL	MACROD1	ARNTL	MACROD1	0.1728	-0.0195	-0.0196	-0.0206	0.8090
