source	target	MI
AKNA	AK3	0.1729
AKNA	ASCL2	0.1926
AKNA	CCDC34	0.1504
AKNA	CSF3R	0.1651
AKNA	EOMES	0.1848
AKNA	HVCN1	0.1626
AKNA	INO80C	0.1648
AKNA	MACROD1	0.1677
AKNA	METTL25	0.1591
AKNA	S100B	0.1626
AKNA	SPAG9	0.1575
AKNA	STK40	0.1703
AKNA	SYNGR1	0.1619
ARNT	AGL	0.1630
ARNT	ALDH9A1	0.1659
ARNT	DNMT1	0.1739
ARNT	FAM229B	0.1477
ARNT	FHL3	0.1555
ARNT	NEK8	0.1561
ARNT	NUP88	0.1639
ARNT	PTPN18	0.1504
ARNT	RNASEK	0.1703
ARNT	ST3GAL3	0.1602
ARNT	THOP1	0.1709
ARNT	ZNF664	0.1742
ARNTL	ATG2A	0.1573
ARNTL	CAMTA1	0.1838
ARNTL	CCNG2	0.1725
ARNTL	CSNK1G2	0.1696
ARNTL	CXorf38	0.1680
ARNTL	HPS1	0.1568
ARNTL	ILK	0.1727
ARNTL	MORF4L2	0.1979
ARNTL	MRPL35	0.1648
ARNTL	NEK8	0.1784
ARNTL	PHF5A	0.1447
ARNTL	PLCB2	0.1371
ARNTL	PQLC1	0.1634
ARNTL	RBM28	0.1618
ARNTL	RSF1	0.1667
ARNTL	SNAPC1	0.1755
ARNTL	SPATS2	0.1724
ARNTL	SPRYD7	0.1470
ARNTL	TBC1D7	0.1604
ARNTL	TRPM7	0.1643
ARNTL	USP22	0.1830
ARNTL	WSB1	0.1530
ARNTL	ZNF593	0.1859
ARNTL	ZNF599	0.1555
ASCL2	AKNA	0.1926
ASCL2	ARID5A	0.1774
ASCL2	BPNT1	0.1595
ASCL2	CD68	0.1626
ASCL2	CEP350	0.1513
ASCL2	CTSZ	0.1541
ASCL2	FAM118B	0.1626
ASCL2	GMEB2	0.1809
ASCL2	HGS	0.1462
ASCL2	IGLL5	0.1425
ASCL2	MTR	0.1897
ASCL2	NFYB	0.1644
ASCL2	PISD	0.1584
ASCL2	PPP1R16A	0.1824
ASCL2	S100A8	0.1499
ASCL2	SLC9B2	0.1414
ASCL2	STXBP2	0.1503
ASCL2	WARS2	0.1669
ATF1	AGPAT1	0.1724
ATF1	AGPAT3	0.1742
ATF1	CXXC5	0.1559
ATF1	KCTD10	0.1666
ATF1	MAST3	0.1828
ATF1	NUDT15	0.1713
ATF1	PDLIM1	0.1620
ATF1	RSF1	0.1529
ATF1	STAG2	0.1484
ATF1	THAP2	0.1686
ATF1	TLN1	0.1895
ATF1	TMEM156	0.1781
ATF1	TRIM26	0.1665
ATF1	ZNF668	0.1545
ATF6	ABI3	0.1773
ATF6	CRIP2	0.1682
ATF6	FHL3	0.1504
ATF6	GGA1	0.1809
ATF6	KIAA0930	0.1418
ATF6	KIAA1430	0.1844
ATF6	LY86	0.1741
ATF6	MRPS31	0.1551
ATF6	NBAS	0.1561
ATF6	OPA3	0.1417
ATF6	PSMB5	0.1813
ATF6	TMCO4	0.1727
ATF6	TP53	0.1669
ATF6	ZMPSTE24	0.1501
BACH1	ANKRD11	0.1631
BACH1	BOD1L1	0.1917
BACH1	FCHO1	0.1651
BACH1	GAA	0.1645
