source	target	MI
AKNA	CHD8	0.1578
AKNA	PEX6	0.1858
AKNA	PLAC8	0.1862
AKNA	SERPINF1	0.1735
AKNA	SERPINI1	0.1902
AKNA	TCF20	0.1692
AKNA	ZRANB1	0.1695
ARNT	CAMTA1	0.1532
ARNT	CDC27	0.1901
ARNT	HAUS2	0.1754
ARNT	INO80C	0.2059
ARNT	IPO5	0.1922
ARNT	LINC00998	0.1778
ARNT	NFKBIA	0.1904
ARNT	NIPBL	0.1798
ARNT	PEX10	0.1925
ARNT	SLC20A2	0.1759
ARNT	USP28	0.2011
ARNT	ZZEF1	0.2100
ARNTL	ALDH9A1	0.1796
ARNTL	BLZF1	0.1686
ARNTL	DGKA	0.1800
ARNTL	GTF2A1	0.1660
ARNTL	IPPK	0.1960
ARNTL	ITPR3	0.2020
ARNTL	MACROD1	0.1728
ARNTL	MLH3	0.1939
ARNTL	MLLT6	0.1832
ARNTL	MSL1	0.1619
ARNTL	NFKBIA	0.1840
ARNTL	PASK	0.1697
ARNTL	PPFIBP2	0.1844
ARNTL	QSOX1	0.1911
ARNTL	RUFY1	0.1675
ARNTL	VAV3	0.1775
ATF1	APAF1	0.1828
ATF1	ARSG	0.2016
ATF1	ATG2A	0.1634
ATF1	C9orf114	0.1892
ATF1	CAPG	0.1717
ATF1	FGFBP2	0.1668
ATF1	GCSAM	0.1907
ATF1	GSTT1	0.1897
ATF1	IER2	0.2024
ATF1	JUN	0.1654
ATF1	NT5C3B	0.1826
ATF1	POP7	0.1719
ATF1	SLC31A2	0.1699
ATF1	SMCO4	0.1680
ATF1	ST3GAL3	0.1672
ATF1	TRMT10C	0.1566
ATF6	CACNA2D4	0.1704
ATF6	CEP350	0.1881
ATF6	CYB561A3	0.1792
ATF6	DGCR6	0.1700
ATF6	ETFA	0.1670
ATF6	FAM229B	0.1703
ATF6	MLH3	0.1791
ATF6	MPST	0.1594
ATF6	MYL6	0.1743
ATF6	NUDT1	0.1570
ATF6	PADI4	0.1850
ATF6	S100A9	0.1694
ATF6	STARD3	0.1525
ATF6	SYTL2	0.1819
ATF6	TTC32	0.2053
ATF6	USP42	0.2015
BATF	C4orf48	0.1620
BATF	CAST	0.1872
BATF	FLYWCH2	0.1848
BATF	FUT11	0.2090
BATF	GZMB	0.1784
BATF	HIST1H1E	0.1825
BATF	LCORL	0.2025
BATF	MS4A1	0.2133
BATF	RAB33A	0.1964
BATF	RSU1	0.1907
BATF	TKTL1	0.1750
BLZF1	ARNTL	0.1686
BLZF1	CD7	0.1916
BLZF1	CEP350	0.2181
BLZF1	CLEC2B	0.2352
BLZF1	CXorf38	0.1670
BLZF1	FAM65A	0.1841
BLZF1	FBXO44	0.1930
BLZF1	GZMH	0.1863
BLZF1	HTT	0.1718
BLZF1	INADL	0.1891
BLZF1	RANBP6	0.1597
BLZF1	RNF219	0.1757
BLZF1	STXBP2	0.1783
BLZF1	TCF20	0.1576
BLZF1	ZCCHC9	0.1849
BPNT1	ABCB7	0.1858
BPNT1	C1QA	0.1716
BPNT1	CSNK1G2	0.1722
BPNT1	EPG5	0.2040
BPNT1	EXOC6	0.1880
BPNT1	FBXL12	0.1758
BPNT1	FUT11	0.1875
BPNT1	HGS	0.1658
BPNT1	INTS1	0.1571
BPNT1	LINC00909	0.1932
BPNT1	MAP4K4	0.1903
BPNT1	MSI2	0.1842
BPNT1	RHOT2	0.1665
BPNT1	RRBP1	0.1881
BPNT1	RRP1	0.1616
BPNT1	SH3BP5L	0.1680
BPNT1	SPATA5L1	0.1838
BPNT1	TYMP	0.1602
BPNT1	ZNF317	0.1749
BPNT1	ZNF681	0.1783
BTAF1	C17orf75	0.1736
BTAF1	COQ7	0.1626
BTAF1	DICER1	0.1671
BTAF1	ESYT2	0.1964
BTAF1	GALM	0.1791
BTAF1	KIF21A	0.1524
BTAF1	KLRG1	0.1894
BTAF1	LEPRE1	0.1591
BTAF1	MYO9A	0.1648
BTAF1	NCR3	0.1831
BTAF1	PINK1	0.1783
BTAF1	RPP14	0.2055
BTAF1	SLC22A18	0.1987
BTAF1	SYNGR1	0.1670
BTAF1	TLN1	0.1980
BTAF1	TMEM127	0.1649
BTAF1	TNFSF10	0.1562
BTAF1	UNK	0.1829
BTAF1	VCL	0.1910
BTAF1	WDR70	0.1656
BTAF1	ZRANB1	0.1856
CAMTA1	ABI3	0.1817
CAMTA1	AP3M1	0.1907
CAMTA1	ARNT	0.1532
CAMTA1	C12orf5	0.1706
CAMTA1	CEP57	0.1872
CAMTA1	CXorf56	0.1875
CAMTA1	DVL2	0.1768
CAMTA1	GBP1	0.1937
CAMTA1	GTF3C6	0.1780
CAMTA1	GZMH	0.1929
CAMTA1	HDAC6	0.1876
CAMTA1	IER5	0.1955
CAMTA1	PYCARD	0.1946
CAMTA1	RALGAPA2	0.1666
CAMTA1	RALGPS2	0.1791
CAMTA1	RUFY1	0.1725
CAMTA1	SH3BP5	0.1798
CAMTA1	XCL2	0.1571
CEBPG	C1orf109	0.1843
CEBPG	C2orf76	0.1880
CEBPG	CRIP2	0.1717
CEBPG	FAM178A	0.1867
CEBPG	IFITM3	0.1881
CEBPG	MS4A1	0.1846
CEBPG	MTR	0.1859
CEBPG	NUPL1	0.1864
CEBPG	PADI4	0.1740
CEBPG	PRF1	0.1937
CEBPG	RIOK2	0.1952
CEBPG	SDPR	0.1779
CEBPG	SNAPC1	0.1892
CEBPG	SYMPK	0.1844
CEBPG	TBC1D7	0.1576
CEBPG	TMEM184C	0.2067
CEBPG	YPEL1	0.2004
CEBPG	ZNF292	0.1682
CITED2	CDC27	0.1813
CITED2	DDX42	0.1712
CITED2	ESYT2	0.1906
CITED2	IPO11	0.1734
CITED2	IRF7	0.1909
CITED2	KBTBD4	0.1964
CITED2	LRCH3	0.1919
CITED2	LRIF1	0.1814
CITED2	MAN1A2	0.1632
CITED2	MAN2A2	0.1561
CITED2	MPST	0.1638
CITED2	MS4A6A	0.1855
CITED2	RALGAPA2	0.1631
CITED2	RIOK2	0.1677
CITED2	SYTL3	0.1865
CITED2	TIMM10B	0.1891
CITED2	TNFRSF1A	0.1919
CREBRF	ATG2A	0.1952
CREBRF	FERMT3	0.1807
CREBRF	GPRIN3	0.1638
CREBRF	HIST1H1C	0.1911
CREBRF	KIAA0040	0.1649
CREBRF	LRRC40	0.1728
CREBRF	MBNL3	0.1868
CREBRF	NUDT1	0.2110
CREBRF	PHF6	0.1770
CREBRF	PRRT3	0.1625
CREBRF	PSAP	0.1650
CREBRF	SLC39A8	0.1797
CREBRF	SPATS2	0.2269
CREBRF	STOM	0.1673
CREBRF	UBE4B	0.1803
CREBRF	USP42	0.1804
CTNNB1	ACBD6	0.1845
CTNNB1	ACSL6	0.1704
CTNNB1	AKAP10	0.1989
CTNNB1	DGCR8	0.1747
CTNNB1	EPB41	0.1893
CTNNB1	FAM120A	0.2149
CTNNB1	FAM65A	0.1955
CTNNB1	HGS	0.1942
