source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
ENSG00000000938	ENSG00000121390	FGR	PSPC1	0.3626	0.3594	0.3765	0.3700	0.0013
ENSG00000000938	ENSG00000125910	FGR	S1PR4	0.3823	0.3573	0.4123	0.4399	0.0014
ENSG00000000938	ENSG00000156804	FGR	FBXO32	0.4056	-0.0584	-0.0582	-0.0135	0.6137
ENSG00000000938	ENSG00000163534	FGR	FCRL1	0.3741	0.3385	0.4193	0.4314	0.0026
ENSG00000000938	ENSG00000197566	FGR	ZNF624	0.3189	-0.0831	-0.0829	-0.0284	0.4726
ENSG00000001036	ENSG00000069248	FUCA2	NUP133	0.3766	-0.0473	-0.0474	-0.0815	0.6829
ENSG00000001036	ENSG00000173214	FUCA2	MFSD4B	0.3701	-0.0328	-0.0329	-0.0402	0.7770
ENSG00000002549	ENSG00000108055	LAP3	SMC3	0.4132	0.2847	0.2657	0.2903	0.0121
ENSG00000002549	ENSG00000116157	LAP3	GPX7	0.3642	0.3011	0.3009	0.2036	0.0078
ENSG00000002549	ENSG00000153201	LAP3	RANBP2	0.4365	0.4661	0.4808	0.4670	0.0000
ENSG00000002549	ENSG00000161654	LAP3	LSM12	0.3893	0.3190	0.3134	0.3439	0.0047
ENSG00000002587	ENSG00000100241	HS3ST1	SBF1	0.3138	0.3856	0.3731	0.2989	0.0005
ENSG00000002587	ENSG00000107890	HS3ST1	ANKRD26	0.3306	0.5192	0.5076	0.4995	0.0000
ENSG00000002587	ENSG00000134086	HS3ST1	VHL	0.3918	0.3629	0.3540	0.4737	0.0012
ENSG00000002587	ENSG00000262246	HS3ST1	CORO7	0.3032	-0.0411	-0.0444	-0.0452	0.7224
ENSG00000004399	ENSG00000146842	PLXND1	TMEM209	0.3223	0.4219	0.4084	0.9001	0.0001
ENSG00000004399	ENSG00000160208	PLXND1	RRP1B	0.3496	-0.0663	-0.0664	-0.1595	0.5665
ENSG00000004399	ENSG00000168026	PLXND1	TTC21A	0.3137	-0.0325	-0.0329	-0.0466	0.7790
ENSG00000004455	ENSG00000074356	AK2	NCBP3	0.3661	-0.3140	-0.3083	-0.3228	0.0054
ENSG00000004455	ENSG00000126214	AK2	KLC1	0.3317	0.4213	0.4380	0.4362	0.0001
ENSG00000004455	ENSG00000130706	AK2	ADRM1	0.3571	0.4845	0.4897	0.5313	0.0000
ENSG00000004455	ENSG00000135829	AK2	DHX9	0.3088	0.1679	0.1155	0.1873	0.1444
ENSG00000004455	ENSG00000140280	AK2	LYSMD2	0.3606	0.1955	0.1560	0.2227	0.0883
ENSG00000004455	ENSG00000171490	AK2	RSL1D1	0.3517	-0.0955	-0.2053	-0.1210	0.4089
ENSG00000004455	ENSG00000181274	AK2	FRAT2	0.3264	0.2917	0.2970	0.3044	0.0101
ENSG00000004455	ENSG00000182220	AK2	ATP6AP2	0.3826	0.4151	0.3970	0.4450	0.0002
ENSG00000004455	ENSG00000198265	AK2	HELZ	0.3570	0.3934	0.3955	0.4256	0.0004
ENSG00000004468	ENSG00000032389	CD38	EIPR1	0.4229	0.6302	0.6211	0.7693	0.0000
ENSG00000004468	ENSG00000099958	CD38	DERL3	0.3675	0.6015	0.6038	1.0616	0.0000
ENSG00000004468	ENSG00000148841	CD38	ITPRIP	0.4636	0.2228	0.2029	0.2700	0.0515
ENSG00000004468	ENSG00000166405	CD38	RIC3	0.3715	-0.1931	-0.1910	-0.3507	0.0925
ENSG00000004700	ENSG00000065357	RECQL	DGKA	0.3500	0.4119	0.3997	0.4835	0.0002
ENSG00000004700	ENSG00000175857	RECQL	GAPT	0.3539	0.3455	0.4004	0.5389	0.0021
ENSG00000004777	ENSG00000105516	ARHGAP33	DBP	0.3549	0.1908	0.2039	0.7416	0.0965
ENSG00000004975	ENSG00000105325	DVL2	FZR1	0.3666	-0.0789	-0.0795	-0.0962	0.4954
ENSG00000005007	ENSG00000130749	UPF1	ZC3H4	0.3713	0.4905	0.4796	0.5231	0.0000
ENSG00000005007	ENSG00000132475	UPF1	H3F3B	0.3559	0.1850	0.1727	0.0791	0.1073
ENSG00000005007	ENSG00000206503	UPF1	HLA-A	0.3098	0.2610	0.2774	0.1142	0.0219
ENSG00000005020	ENSG00000103365	SKAP2	GGA2	0.3515	0.1631	0.1831	0.1601	0.1563
ENSG00000005020	ENSG00000132780	SKAP2	NASP	0.3484	0.1804	0.2530	0.1765	0.1164
ENSG00000005020	ENSG00000170684	SKAP2	ZNF296	0.3693	0.1774	0.2071	0.1260	0.1227
ENSG00000005020	ENSG00000197157	SKAP2	SND1	0.3457	0.2693	0.3010	0.2308	0.0179
ENSG00000005020	ENSG00000220205	SKAP2	VAMP2	0.3878	0.0911	0.0994	0.0713	0.4306
ENSG00000005100	ENSG00000120055	DHX33	C10orf95	0.3584	-0.0268	-0.0268	-0.0139	0.8170
ENSG00000005100	ENSG00000140718	DHX33	FTO	0.3434	-0.0268	-0.0268	-0.0164	0.8170
ENSG00000005206	ENSG00000080546	SPPL2B	SESN1	0.3145	0.2342	0.2750	0.1708	0.0403
ENSG00000005206	ENSG00000083454	SPPL2B	P2RX5	0.3583	0.3448	0.3552	0.4210	0.0021
ENSG00000005206	ENSG00000100519	SPPL2B	PSMC6	0.3603	0.1991	0.2394	0.2180	0.0826
ENSG00000005206	ENSG00000112245	SPPL2B	PTP4A1	0.3983	0.1650	0.1682	0.1691	0.1514
ENSG00000005206	ENSG00000115825	SPPL2B	PRKD3	0.3617	0.2111	0.1674	0.2229	0.0654
ENSG00000005206	ENSG00000123505	SPPL2B	AMD1	0.3990	0.2073	0.1903	0.2447	0.0705
ENSG00000005206	ENSG00000124172	SPPL2B	ATP5F1E	0.3570	-0.2222	-0.3320	-0.1586	0.0521
ENSG00000005206	ENSG00000135624	SPPL2B	CCT7	0.3302	-0.0267	-0.0140	-0.0302	0.8177
ENSG00000005206	ENSG00000140750	SPPL2B	ARHGAP17	0.3262	0.1416	0.1448	0.1527	0.2194
ENSG00000005206	ENSG00000145287	SPPL2B	PLAC8	0.3672	-0.1499	-0.2217	-0.1868	0.1931
ENSG00000005206	ENSG00000162783	SPPL2B	IER5	0.3860	0.2698	0.3031	0.3132	0.0176
ENSG00000005206	ENSG00000164032	SPPL2B	H2AFZ	0.4174	0.2891	0.2691	0.3475	0.0108
ENSG00000005206	ENSG00000164610	SPPL2B	RP9	0.3267	0.2838	0.3004	0.3123	0.0124
ENSG00000005206	ENSG00000167792	SPPL2B	NDUFV1	0.3361	0.1677	0.2042	0.1810	0.1450
ENSG00000005206	ENSG00000173020	SPPL2B	GRK2	0.3780	0.1930	0.1099	0.2300	0.0927
ENSG00000005206	ENSG00000173660	SPPL2B	UQCRH	0.3628	0.0258	-0.0297	0.0257	0.8237
ENSG00000005206	ENSG00000175354	SPPL2B	PTPN2	0.3839	-0.3424	-0.3362	-0.3878	0.0023
ENSG00000005206	ENSG00000178188	SPPL2B	SH2B1	0.3367	-0.0774	-0.0996	-0.0621	0.5036
ENSG00000005206	ENSG00000185043	SPPL2B	CIB1	0.3570	-0.2462	-0.3165	-0.2954	0.0309
ENSG00000005206	ENSG00000198258	SPPL2B	UBL5	0.3613	0.1677	0.0814	0.1569	0.1448
ENSG00000005206	ENSG00000198771	SPPL2B	RCSD1	0.3302	0.1404	0.3101	0.1615	0.2233
