source	target	source.symbol	target.symbol	MI	pearson	spearman	rho	p-value
ENSG00000001167	ENSG00000003756	NFYA	RBM5	0.2931	-0.0596	-0.0597	-0.1472	0.5877
ENSG00000001167	ENSG00000015475	NFYA	BID	0.2795	-0.0169	-0.0169	-0.0141	0.8778
ENSG00000001167	ENSG00000074706	NFYA	IPCEF1	0.3100	-0.0344	-0.0345	-0.0530	0.7546
ENSG00000001167	ENSG00000107758	NFYA	PPP3CB	0.2450	0.4256	0.3958	0.6308	0.0000
ENSG00000001167	ENSG00000116560	NFYA	SFPQ	0.2951	0.0347	0.0051	0.1276	0.7526
ENSG00000001167	ENSG00000144161	NFYA	ZC3H8	0.2892	-0.0241	-0.0241	-0.0245	0.8268
ENSG00000001167	ENSG00000147576	NFYA	ADHFE1	0.2792	-0.0296	-0.0297	-0.0388	0.7879
ENSG00000001167	ENSG00000153201	NFYA	RANBP2	0.3124	-0.0462	-0.0464	-0.0904	0.6748
ENSG00000001167	ENSG00000177888	NFYA	ZBTB41	0.3684	-0.0241	-0.0241	-0.0260	0.8268
ENSG00000001167	ENSG00000189164	NFYA	ZNF527	0.2844	-0.0169	-0.0169	-0.0135	0.8778
ENSG00000001167	ENSG00000197102	NFYA	DYNC1H1	0.3339	-0.0687	-0.0686	-0.1903	0.5321
ENSG00000001167	ENSG00000260032	NFYA	NORAD	0.3375	-0.0241	-0.0241	-0.0242	0.8268
ENSG00000005302	ENSG00000063854	MSL3	HAGH	0.3013	-0.0027	-0.0027	-0.0036	0.9807
ENSG00000005302	ENSG00000100304	MSL3	TTLL12	0.3346	-0.0326	-0.0326	-0.0116	0.7670
ENSG00000005302	ENSG00000109881	MSL3	CCDC34	0.3351	-0.0326	-0.0326	-0.0134	0.7670
ENSG00000005302	ENSG00000114861	MSL3	FOXP1	0.2903	0.0754	0.0877	0.1369	0.4929
ENSG00000005302	ENSG00000115084	MSL3	SLC35F5	0.3560	-0.0464	-0.0464	-0.0246	0.6732
ENSG00000005302	ENSG00000116133	MSL3	DHCR24	0.2967	0.2827	0.2590	0.1548	0.0088
ENSG00000005302	ENSG00000120318	MSL3	ARAP3	0.2975	-0.0326	-0.0326	-0.0134	0.7670
ENSG00000005302	ENSG00000125434	MSL3	SLC25A35	0.2991	-0.0570	-0.0572	-0.0415	0.6043
ENSG00000005302	ENSG00000131116	MSL3	ZNF428	0.3194	-0.0326	-0.0326	-0.0138	0.7670
ENSG00000005302	ENSG00000134539	MSL3	KLRD1	0.3489	-0.0663	-0.0665	-0.0512	0.5463
ENSG00000005302	ENSG00000147050	MSL3	KDM6A	0.3677	-0.0663	-0.0665	-0.0472	0.5464
ENSG00000005302	ENSG00000148019	MSL3	CEP78	0.3375	-0.0463	-0.0464	-0.0257	0.6742
ENSG00000005302	ENSG00000164300	MSL3	SERINC5	0.3089	0.0219	0.0299	0.0345	0.8425
ENSG00000005302	ENSG00000167613	MSL3	LAIR1	0.3310	0.1372	0.1373	0.1123	0.2106
ENSG00000005302	ENSG00000177485	MSL3	ZBTB33	0.3081	-0.0326	-0.0326	-0.0118	0.7670
ENSG00000005302	ENSG00000178209	MSL3	PLEC	0.3207	0.3551	0.3673	0.4442	0.0009
ENSG00000005302	ENSG00000184470	MSL3	TXNRD2	0.2905	-0.0571	-0.0572	-0.0365	0.6035
ENSG00000005302	ENSG00000196230	MSL3	TUBB	0.2678	-0.0571	-0.0572	-0.0392	0.6038
ENSG00000005302	ENSG00000198169	MSL3	ZNF251	0.3782	-0.0326	-0.0326	-0.0119	0.7670
ENSG00000005339	ENSG00000008283	CREBBP	CYB561	0.3119	-0.0463	-0.0464	-0.0251	0.6741
ENSG00000005339	ENSG00000081019	CREBBP	RSBN1	0.3661	-0.1085	-0.1090	-0.1268	0.3231
ENSG00000005339	ENSG00000100316	CREBBP	RPL3	0.2896	-0.2037	-0.1649	-0.4014	0.0615
ENSG00000005339	ENSG00000107929	CREBBP	LARP4B	0.3423	0.1583	0.1689	0.1000	0.1480
ENSG00000005339	ENSG00000116288	CREBBP	PARK7	0.3096	-0.0820	-0.0824	-0.0738	0.4555
ENSG00000005339	ENSG00000116337	CREBBP	AMPD2	0.3350	-0.0325	-0.0326	-0.0132	0.7676
ENSG00000005339	ENSG00000167851	CREBBP	CD300A	0.3169	-0.0461	-0.0464	-0.0262	0.6753
ENSG00000005339	ENSG00000175198	CREBBP	PCCA	0.3279	-0.0325	-0.0326	-0.0130	0.7676
ENSG00000005339	ENSG00000178719	CREBBP	GRINA	0.3347	-0.0463	-0.0464	-0.0256	0.6741
ENSG00000005339	ENSG00000196642	CREBBP	RABL6	0.2828	0.2945	0.2850	0.3536	0.0062
ENSG00000005339	ENSG00000235314	CREBBP	LINC00957	0.2791	-0.0463	-0.0464	-0.0250	0.6741
ENSG00000005339	ENSG00000239407	CREBBP	Z68871.1	0.2971	-0.0325	-0.0326	-0.0130	0.7676
ENSG00000005339	ENSG00000260197	CREBBP	AC010889.1	0.3038	-0.0325	-0.0326	-0.0130	0.7676
ENSG00000005436	ENSG00000115317	GCFC2	HTRA2	0.2988	-0.0239	-0.0241	-0.0256	0.8282
ENSG00000005436	ENSG00000117868	GCFC2	ESYT2	0.3085	-0.0532	-0.0533	-0.1136	0.6289
ENSG00000005436	ENSG00000123908	GCFC2	AGO2	0.2740	0.3183	0.2947	0.5057	0.0030
ENSG00000005436	ENSG00000134686	GCFC2	PHC2	0.2665	-0.0240	-0.0241	-0.0217	0.8276
ENSG00000005436	ENSG00000135930	GCFC2	EIF4E2	0.2708	-0.0169	-0.0169	-0.0119	0.8777
ENSG00000005436	ENSG00000156876	GCFC2	SASS6	0.2788	-0.0241	-0.0241	-0.0246	0.8268
ENSG00000005436	ENSG00000164902	GCFC2	PHAX	0.2884	-0.0169	-0.0169	-0.0110	0.8777
ENSG00000005436	ENSG00000166313	GCFC2	APBB1	0.2817	-0.0241	-0.0241	-0.0223	0.8268
ENSG00000005436	ENSG00000168961	GCFC2	LGALS9	0.3269	-0.0240	-0.0241	-0.0260	0.8275
ENSG00000005436	ENSG00000229989	GCFC2	MIR181A1HG	0.3297	-0.0169	-0.0169	-0.0112	0.8777
ENSG00000005801	ENSG00000082701	ZNF195	GSK3B	0.2928	-0.0297	-0.0297	-0.0233	0.7874
ENSG00000005801	ENSG00000100109	ZNF195	TFIP11	0.3257	-0.0364	-0.0366	-0.0365	0.7405
ENSG00000005801	ENSG00000102858	ZNF195	MGRN1	0.2944	-0.0525	-0.0527	-0.0810	0.6330
ENSG00000005801	ENSG00000114491	ZNF195	UMPS	0.2768	-0.0297	-0.0297	-0.0242	0.7875
ENSG00000005801	ENSG00000117748	ZNF195	RPA2	0.3530	-0.0366	-0.0366	-0.0367	0.7397
ENSG00000005801	ENSG00000117751	ZNF195	PPP1R8	0.2948	-0.0209	-0.0209	-0.0123	0.8497
ENSG00000005801	ENSG00000118680	ZNF195	MYL12B	0.3312	-0.0657	-0.0657	-0.1137	0.5501
ENSG00000005801	ENSG00000130717	ZNF195	UCK1	0.3214	0.6268	0.6382	0.6361	0.0000
ENSG00000005801	ENSG00000134597	ZNF195	RBMX2	0.2660	-0.0209	-0.0209	-0.0121	0.8497
ENSG00000005801	ENSG00000143033	ZNF195	MTF2	0.3384	0.2544	0.2513	0.5109	0.0188
ENSG00000005801	ENSG00000152465	ZNF195	NMT2	0.3106	0.1781	0.1854	0.2754	0.1029
ENSG00000005801	ENSG00000173226	ZNF195	IQCB1	0.3412	-0.0209	-0.0209	-0.0142	0.8497
ENSG00000005801	ENSG00000183735	ZNF195	TBK1	0.3160	-0.0365	-0.0366	-0.0363	0.7400
ENSG00000005801	ENSG00000251381	ZNF195	LINC00958	0.3563	-0.0209	-0.0209	-0.0119	0.8497
ENSG00000005801	ENSG00000257433	ZNF195	AC004241.1	0.3009	-0.0209	-0.0209	-0.0111	0.8497
ENSG00000005801	ENSG00000259834	ZNF195	AL365361.1	0.3523	-0.0295	-0.0297	-0.0264	0.7887
ENSG00000005801	ENSG00000269343	ZNF195	ZNF587B	0.2667	-0.0297	-0.0297	-0.0257	0.7876
