source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
ENSG00000001167	ENSG00000092096	NFYA	SLC22A17	0.2971	-0.0167	-0.0167	-0.0123	0.8785
ENSG00000001167	ENSG00000173818	NFYA	ENDOV	0.2870	0.2159	0.2096	0.4443	0.0459
ENSG00000001167	ENSG00000177613	NFYA	CSTF2T	0.2857	-0.0237	-0.0238	-0.0260	0.8283
ENSG00000004487	ENSG00000157212	KDM1A	PAXIP1	0.2913	-0.0118	-0.0118	-0.0125	0.9144
ENSG00000004487	ENSG00000263465	KDM1A	SRSF8	0.3014	-0.0322	-0.0322	-0.0850	0.7686
ENSG00000005302	ENSG00000107771	MSL3	CCSER2	0.2762	-0.0807	-0.0814	-0.0775	0.4602
ENSG00000005302	ENSG00000108439	MSL3	PNPO	0.3097	-0.0458	-0.0459	-0.0229	0.6752
ENSG00000005339	ENSG00000113312	CREBBP	TTC1	0.2693	0.4352	0.4390	0.3327	0.0000
ENSG00000005436	ENSG00000086712	GCFC2	TXLNG	0.2856	-0.0339	-0.0341	-0.0544	0.7569
ENSG00000005436	ENSG00000119203	GCFC2	CPSF3	0.2834	-0.0167	-0.0167	-0.0120	0.8785
ENSG00000005801	ENSG00000105298	ZNF195	CACTIN	0.3102	-0.0293	-0.0293	-0.0246	0.7889
ENSG00000005801	ENSG00000144815	ZNF195	NXPE3	0.2666	-0.0418	-0.0420	-0.0491	0.7021
ENSG00000005801	ENSG00000160256	ZNF195	FAM207A	0.3143	-0.0206	-0.0206	-0.0112	0.8506
ENSG00000005801	ENSG00000196642	ZNF195	RABL6	0.3119	0.1060	0.1126	0.1966	0.3313
ENSG00000005801	ENSG00000204406	ZNF195	MBD5	0.2869	0.4700	0.4771	0.8912	0.0000
ENSG00000005889	ENSG00000142156	ZFX	COL6A1	0.3042	-0.0167	-0.0167	-0.0095	0.8785
ENSG00000006194	ENSG00000197930	ZNF263	ERO1A	0.3018	0.2775	0.2837	0.8931	0.0097
ENSG00000006194	ENSG00000254772	ZNF263	EEF1G	0.2899	-0.0118	-0.0118	-0.0122	0.9144
ENSG00000006576	ENSG00000105404	PHTF2	RABAC1	0.3205	-0.0644	-0.0648	-0.1541	0.5559
ENSG00000006576	ENSG00000137817	PHTF2	PARP6	0.3067	-0.0237	-0.0238	-0.0234	0.8287
ENSG00000007866	ENSG00000247572	TEAD3	CKMT2-AS1	0.2970	-0.0167	-0.0167	-0.0113	0.8785
ENSG00000008083	ENSG00000100422	JARID2	CERK	0.2663	-0.0602	-0.0604	-0.0494	0.5818
ENSG00000008083	ENSG00000145734	JARID2	BDP1	0.2975	0.2483	0.2419	0.4065	0.0212
ENSG00000008083	ENSG00000216490	JARID2	IFI30	0.2919	-0.0421	-0.0422	-0.0233	0.7002
ENSG00000008405	ENSG00000159842	CRY1	ABR	0.3085	-0.0167	-0.0167	-0.0250	0.8788
ENSG00000009954	ENSG00000095261	BAZ1B	PSMD5	0.2802	-0.0322	-0.0322	-0.0107	0.7682
ENSG00000009954	ENSG00000143333	BAZ1B	RGS16	0.2548	0.2272	0.2259	0.1166	0.0354
ENSG00000009954	ENSG00000196405	BAZ1B	EVL	0.2705	0.2350	0.3068	0.4511	0.0294
ENSG00000009954	ENSG00000267469	BAZ1B	AC005944.1	0.3350	-0.0322	-0.0322	-0.0126	0.7682
ENSG00000010244	ENSG00000066044	ZNF207	ELAVL1	0.3338	0.2176	0.2155	0.1215	0.0441
ENSG00000010244	ENSG00000070814	ZNF207	TCOF1	0.3166	0.3286	0.3512	0.2587	0.0020
ENSG00000010244	ENSG00000178115	ZNF207	GOLGA8Q	0.2702	-0.0924	-0.0917	-0.0284	0.3973
ENSG00000010244	ENSG00000188529	ZNF207	SRSF10	0.2969	0.2322	0.2489	0.2407	0.0315
ENSG00000010244	ENSG00000196924	ZNF207	FLNA	0.3593	-0.3724	-0.3459	-0.4379	0.0004
ENSG00000010244	ENSG00000197971	ZNF207	MBP	0.3113	0.2504	0.2387	0.2441	0.0201
ENSG00000010539	ENSG00000117226	ZNF200	GBP3	0.2870	-0.0292	-0.0293	-0.0343	0.7894
ENSG00000010539	ENSG00000135525	ZNF200	MAP7	0.3137	-0.0167	-0.0167	-0.0118	0.8786
ENSG00000010539	ENSG00000151532	ZNF200	VTI1A	0.3006	0.3175	0.3237	0.4158	0.0029
ENSG00000010539	ENSG00000154803	ZNF200	FLCN	0.3057	-0.0382	-0.0383	-0.0588	0.7270
ENSG00000010539	ENSG00000230438	ZNF200	SERPINB9P1	0.2885	-0.0167	-0.0167	-0.0109	0.8786
ENSG00000010818	ENSG00000105323	HIVEP2	HNRNPUL1	0.3079	0.3424	0.3557	0.3864	0.0013
ENSG00000010818	ENSG00000109618	HIVEP2	SEPSECS	0.3013	0.2337	0.2357	0.0640	0.0304
ENSG00000010818	ENSG00000167526	HIVEP2	RPL13	0.2935	-0.0045	-0.0723	-0.0060	0.9669
