source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AAK1	AAGAB	AAK1	AAGAB	0.0611	-0.0056	-0.0057	-0.0096	0.8062
AAK1	ACOX3	AAK1	ACOX3	0.0610	-0.0050	-0.0050	-0.0074	0.8276
AAK1	ADPRM	AAK1	ADPRM	0.0444	-0.0105	-0.0105	-0.0334	0.6485
AAK1	ALKBH5	AAK1	ALKBH5	0.0473	0.0336	0.0316	0.1277	0.1429
AAK1	ANKRD13D	AAK1	ANKRD13D	0.0655	-0.0085	-0.0086	-0.0224	0.7104
AAK1	ARAP1	AAK1	ARAP1	0.0526	-0.0073	-0.0074	-0.0166	0.7493
AAK1	ATG16L2	AAK1	ATG16L2	0.0495	-0.0138	-0.0139	-0.0560	0.5471
AAK1	ATP6V1E2	AAK1	ATP6V1E2	0.0478	-0.0055	-0.0055	-0.0094	0.8114
AAK1	BPGM	AAK1	BPGM	0.0613	-0.0068	-0.0069	-0.0142	0.7654
AAK1	C16orf87	AAK1	C16orf87	0.0556	-0.0096	-0.0096	-0.0276	0.6766
AAK1	C2orf43	AAK1	C2orf43	0.0855	-0.0048	-0.0048	-0.0070	0.8334
AAK1	CAMKK2	AAK1	CAMKK2	0.0556	-0.0032	-0.0032	-0.0029	0.8907
AAK1	CCNL2	AAK1	CCNL2	0.0576	-0.0114	-0.0115	-0.0391	0.6183
AAK1	CCNY	AAK1	CCNY	0.0555	-0.0043	-0.0043	-0.0058	0.8523
AAK1	CDC27	AAK1	CDC27	0.0627	0.0750	0.0633	0.1822	0.0011
AAK1	CLNS1A	AAK1	CLNS1A	0.0598	0.0049	0.0068	0.0274	0.8313
AAK1	CMIP	AAK1	CMIP	0.0638	0.0647	0.0805	0.1207	0.0048
AAK1	CSNK1G3	AAK1	CSNK1G3	0.0558	0.0289	0.0322	0.1089	0.2080
AAK1	CTA-217C2.1	AAK1	CTA-217C2.1	0.0548	-0.0041	-0.0041	-0.0049	0.8590
AAK1	CTD-2020K17.1	AAK1	CTD-2020K17.1	0.0479	-0.0050	-0.0050	-0.0078	0.8276
AAK1	DAPK3	AAK1	DAPK3	0.0541	-0.0063	-0.0064	-0.0124	0.7824
AAK1	DDX1	AAK1	DDX1	0.0562	0.0471	0.0509	0.1311	0.0401
AAK1	DDX50	AAK1	DDX50	0.0619	-0.0105	-0.0105	-0.0330	0.6486
AAK1	DHCR7	AAK1	DHCR7	0.0507	-0.0041	-0.0041	-0.0051	0.8591
AAK1	DYNLL2	AAK1	DYNLL2	0.0635	0.0535	0.0622	0.1230	0.0197
AAK1	EIF4B	AAK1	EIF4B	0.0731	-0.0062	-0.0059	-0.0427	0.7866
AAK1	ERAP1	AAK1	ERAP1	0.0539	-0.0029	-0.0029	-0.0026	0.9001
AAK1	ERBB2IP	AAK1	ERBB2IP	0.0639	-0.0093	-0.0093	-0.0263	0.6852
AAK1	GBF1	AAK1	GBF1	0.0659	-0.0065	-0.0065	-0.0129	0.7780
AAK1	GPR155	AAK1	GPR155	0.0603	-0.0029	-0.0029	-0.0025	0.9001
AAK1	GPR75-ASB3	AAK1	GPR75-ASB3	0.0587	-0.0041	-0.0041	-0.0052	0.8591
AAK1	GTF2E1	AAK1	GTF2E1	0.0573	-0.0029	-0.0029	-0.0025	0.9001
AAK1	GTPBP4	AAK1	GTPBP4	0.0631	-0.0087	-0.0088	-0.0228	0.7038
AAK1	HMOX1	AAK1	HMOX1	0.0622	-0.0043	-0.0043	-0.0054	0.8522
AAK1	HMOX2	AAK1	HMOX2	0.0528	0.0262	0.0325	0.0910	0.2528
AAK1	HOOK3	AAK1	HOOK3	0.0562	-0.0090	-0.0091	-0.0250	0.6944
AAK1	HSPBP1	AAK1	HSPBP1	0.0564	-0.0098	-0.0099	-0.0294	0.6677
AAK1	HTATIP2	AAK1	HTATIP2	0.0647	-0.0128	-0.0128	-0.0479	0.5776
AAK1	HUWE1	AAK1	HUWE1	0.0564	-0.0080	-0.0080	-0.0197	0.7270
AAK1	KCNN4	AAK1	KCNN4	0.0491	-0.0102	-0.0102	-0.0308	0.6567
AAK1	KCTD5	AAK1	KCTD5	0.0555	-0.0059	-0.0059	-0.0109	0.7964
AAK1	KIAA2018	AAK1	KIAA2018	0.0649	-0.0080	-0.0080	-0.0192	0.7273
AAK1	KIFC2	AAK1	KIFC2	0.0524	-0.0039	-0.0039	-0.0047	0.8664
AAK1	MAPRE2	AAK1	MAPRE2	0.0679	-0.0093	-0.0093	-0.0257	0.6853
AAK1	MEF2BNB	AAK1	MEF2BNB	0.0509	-0.0107	-0.0107	-0.0338	0.6408
AAK1	MESDC1	AAK1	MESDC1	0.0564	-0.0097	-0.0097	-0.0284	0.6736
AAK1	METTL13	AAK1	METTL13	0.0629	-0.0061	-0.0061	-0.0114	0.7915
AAK1	MKNK2	AAK1	MKNK2	0.0643	-0.0128	-0.0129	-0.0483	0.5756
AAK1	MOCS2	AAK1	MOCS2	0.0514	-0.0093	-0.0093	-0.0263	0.6851
AAK1	NDUFS1	AAK1	NDUFS1	0.0664	-0.0063	-0.0064	-0.0124	0.7826
AAK1	NEK9	AAK1	NEK9	0.0521	-0.0053	-0.0053	-0.0086	0.8169
AAK1	NUDCD1	AAK1	NUDCD1	0.0486	-0.0059	-0.0059	-0.0108	0.7964
AAK1	PCCB	AAK1	PCCB	0.0634	-0.0053	-0.0053	-0.0085	0.8166
AAK1	PDCD2	AAK1	PDCD2	0.0618	-0.0196	-0.0197	-0.1074	0.3923
AAK1	PDS5A	AAK1	PDS5A	0.0511	-0.0092	-0.0092	-0.0259	0.6882
AAK1	PEX26	AAK1	PEX26	0.0613	-0.0045	-0.0045	-0.0063	0.8456
AAK1	PGM1	AAK1	PGM1	0.0463	-0.0041	-0.0041	-0.0049	0.8591
AAK1	PIGB	AAK1	PIGB	0.0576	0.0843	0.0858	0.1508	0.0002
AAK1	POLR2D	AAK1	POLR2D	0.0577	-0.0073	-0.0074	-0.0163	0.7494
AAK1	PPFIBP2	AAK1	PPFIBP2	0.0518	-0.0043	-0.0043	-0.0055	0.8521
AAK1	R3HDM1	AAK1	R3HDM1	0.0687	-0.0066	-0.0066	-0.0131	0.7738
AAK1	RBBP4	AAK1	RBBP4	0.0563	-0.0136	-0.0137	-0.0544	0.5529
AAK1	RDH5	AAK1	RDH5	0.0602	-0.0067	-0.0068	-0.0141	0.7694
AAK1	REC8	AAK1	REC8	0.0770	-0.0043	-0.0043	-0.0056	0.8522
AAK1	RN7SL1	AAK1	RN7SL1	0.0645	-0.0036	-0.0037	-0.0041	0.8737
AAK1	RP11-156E8.1	AAK1	RP11-156E8.1	0.0520	-0.0041	-0.0041	-0.0051	0.8591
AAK1	RP4-758J18.2	AAK1	RP4-758J18.2	0.0702	-0.0089	-0.0090	-0.0241	0.6976
AAK1	RP5-882C2.2	AAK1	RP5-882C2.2	0.0682	-0.0029	-0.0029	-0.0026	0.9001
AAK1	RTN4	AAK1	RTN4	0.0562	-0.0157	-0.0157	-0.0700	0.4945
