source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AATF	ACBD3	AATF	ACBD3	0.0509	-0.0310	-0.0311	-0.0193	0.1761
AATF	ADD3	AATF	ADD3	0.0486	0.0228	0.0258	0.0307	0.3204
AATF	AES	AATF	AES	0.0511	0.0311	0.0289	0.0668	0.1756
AATF	AKR7A2	AATF	AKR7A2	0.0498	0.0319	0.0366	0.0421	0.1646
AATF	AL928768.3	AATF	AL928768.3	0.0447	0.0247	0.0293	0.0335	0.2815
AATF	ALG8	AATF	ALG8	0.0479	0.0358	0.0373	0.0234	0.1183
AATF	APBB1IP	AATF	APBB1IP	0.0484	-0.0110	-0.0082	-0.0157	0.6310
AATF	ARL6IP6	AATF	ARL6IP6	0.0480	0.0007	0.0036	0.0006	0.9747
AATF	ATP5J2	AATF	ATP5J2	0.0615	-0.0278	-0.0279	-0.0491	0.2259
AATF	B3GALT6	AATF	B3GALT6	0.0577	-0.0154	-0.0155	-0.0048	0.5026
AATF	BAG5	AATF	BAG5	0.0447	0.0404	0.0433	0.0289	0.0783
AATF	BIRC2	AATF	BIRC2	0.0420	0.0063	0.0061	0.0040	0.7829
AATF	BLNK	AATF	BLNK	0.0455	0.0202	0.0225	0.0321	0.3788
AATF	BTN3A3	AATF	BTN3A3	0.0544	-0.0002	-0.0010	-0.0001	0.9918
AATF	CDIP1	AATF	CDIP1	0.0447	0.0178	0.0197	0.0117	0.4379
AATF	CNP	AATF	CNP	0.0463	0.0054	0.0062	0.0034	0.8138
AATF	COMMD2	AATF	COMMD2	0.0536	0.0042	0.0045	0.0044	0.8549
AATF	CPNE1	AATF	CPNE1	0.0482	-0.0057	-0.0032	-0.0079	0.8041
AATF	CSNK1A1	AATF	CSNK1A1	0.0502	0.0322	0.0335	0.0426	0.1610
AATF	CSNK1D	AATF	CSNK1D	0.0420	-0.0168	-0.0182	-0.0150	0.4632
AATF	CTDSP1	AATF	CTDSP1	0.0413	0.0521	0.0580	0.0590	0.0231
AATF	DESI2	AATF	DESI2	0.0437	-0.0070	-0.0085	-0.0042	0.7587
AATF	EGLN2	AATF	EGLN2	0.0591	0.0216	0.0228	0.0292	0.3458
AATF	EIF3I	AATF	EIF3I	0.0437	0.0609	0.0608	0.1104	0.0079
AATF	EIF3J-AS1	AATF	EIF3J-AS1	0.0570	-0.0292	-0.0293	-0.0182	0.2027
AATF	EMD	AATF	EMD	0.0453	0.0119	0.0175	0.0126	0.6035
AATF	ENTHD2	AATF	ENTHD2	0.0475	0.0191	0.0196	0.0126	0.4039
AATF	FBXL15	AATF	FBXL15	0.0472	-0.0067	-0.0049	-0.0079	0.7705
AATF	FLOT2	AATF	FLOT2	0.0440	-0.0199	-0.0190	-0.0228	0.3857
AATF	GATSL3	AATF	GATSL3	0.0468	-0.0230	-0.0231	-0.0108	0.3164
AATF	GNB1	AATF	GNB1	0.0506	0.0797	0.0816	0.0709	0.0005
AATF	GPR160	AATF	GPR160	0.0473	-0.0068	-0.0078	-0.0053	0.7666
AATF	GUCD1	AATF	GUCD1	0.0516	0.0151	0.0188	0.0184	0.5096
AATF	H2AFJ	AATF	H2AFJ	0.0563	-0.0094	-0.0072	-0.0095	0.6813
AATF	HADHB	AATF	HADHB	0.0429	-0.0207	-0.0175	-0.0229	0.3669
AATF	HCK	AATF	HCK	0.0493	0.0705	0.0786	0.0614	0.0021
AATF	HMGN5	AATF	HMGN5	0.0458	-0.0115	-0.0115	-0.0029	0.6170
AATF	HN1L	AATF	HN1L	0.0454	-0.0136	-0.0136	-0.0038	0.5539
AATF	HSPA14	AATF	HSPA14	0.0413	0.0159	0.0183	0.0105	0.4873
AATF	IER5	AATF	IER5	0.0506	0.0156	0.0174	0.0192	0.4954
AATF	IFIT2	AATF	IFIT2	0.0520	0.0484	0.0475	0.0240	0.0348
AATF	IL21R	AATF	IL21R	0.0504	-0.0236	-0.0237	-0.0119	0.3032
AATF	KCNQ1OT1	AATF	KCNQ1OT1	0.0453	0.0091	0.0080	0.0037	0.6932
AATF	KIAA0355	AATF	KIAA0355	0.0468	-0.0185	-0.0186	-0.0070	0.4198
AATF	KIAA0930	AATF	KIAA0930	0.0488	-0.0224	-0.0225	-0.0107	0.3283
AATF	L3HYPDH	AATF	L3HYPDH	0.0395	-0.0012	-0.0026	-0.0006	0.9599
AATF	LAMP2	AATF	LAMP2	0.0459	-0.0096	-0.0096	-0.0057	0.6744
AATF	MAD2L2	AATF	MAD2L2	0.0402	-0.0148	-0.0112	-0.0138	0.5190
AATF	MDH1	AATF	MDH1	0.0411	0.0231	0.0279	0.0329	0.3139
