source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AAK1	ADRM1	AAK1	ADRM1	0.0687	0.0630	0.0626	0.0845	0.0052
AAK1	ANKRD26	AAK1	ANKRD26	0.0616	-0.0034	-0.0036	-0.0010	0.8807
AAK1	AP2M1	AAK1	AP2M1	0.0845	0.0527	0.0480	0.0809	0.0195
AAK1	APOBEC3F	AAK1	APOBEC3F	0.0568	-0.0180	-0.0181	-0.0039	0.4243
AAK1	ARL4C	AAK1	ARL4C	0.0842	0.0408	0.0374	0.0633	0.0702
AAK1	ATF7IP	AAK1	ATF7IP	0.0488	0.0612	0.0616	0.0152	0.0067
AAK1	ATHL1	AAK1	ATHL1	0.0534	0.0109	0.0112	0.0054	0.6294
AAK1	BAG1	AAK1	BAG1	0.0576	0.0081	0.0095	0.0090	0.7181
AAK1	BCCIP	AAK1	BCCIP	0.0658	-0.0063	-0.0036	-0.0049	0.7794
AAK1	C14orf159	AAK1	C14orf159	0.0532	0.0141	0.0140	0.0059	0.5318
AAK1	C14orf166	AAK1	C14orf166	0.0799	0.0400	0.0360	0.0604	0.0764
AAK1	C17orf85	AAK1	C17orf85	0.0587	0.0066	0.0053	0.0030	0.7694
AAK1	C19orf24	AAK1	C19orf24	0.0738	0.0206	0.0179	0.0287	0.3619
AAK1	CAMK4	AAK1	CAMK4	0.0533	0.0217	0.0230	0.0171	0.3370
AAK1	CASP3	AAK1	CASP3	0.0499	0.0015	0.0005	0.0004	0.9474
AAK1	CCDC167	AAK1	CCDC167	0.0798	0.0320	0.0246	0.0503	0.1562
AAK1	CD7	AAK1	CD7	0.0805	0.0431	0.0312	0.0758	0.0562
AAK1	CD74	AAK1	CD74	0.0802	0.0370	0.0224	0.0679	0.1008
AAK1	CDKN2D	AAK1	CDKN2D	0.0589	0.0638	0.0646	0.0801	0.0046
AAK1	CFLAR	AAK1	CFLAR	0.0713	-0.0020	-0.0021	-0.0025	0.9304
AAK1	CIRBP	AAK1	CIRBP	0.0713	0.0450	0.0166	0.0849	0.0459
AAK1	CLDND1	AAK1	CLDND1	0.0548	-0.0056	-0.0051	-0.0063	0.8035
AAK1	CLTC	AAK1	CLTC	0.0530	0.0113	0.0138	0.0045	0.6151
AAK1	COG6	AAK1	COG6	0.0566	-0.0216	-0.0216	-0.0055	0.3392
AAK1	CYC1	AAK1	CYC1	0.0585	0.0675	0.0676	0.0791	0.0027
AAK1	DAK	AAK1	DAK	0.0522	-0.0136	-0.0135	-0.0051	0.5481
AAK1	DDX10	AAK1	DDX10	0.0570	0.0215	0.0243	0.0092	0.3405
AAK1	DHX37	AAK1	DHX37	0.0680	0.0128	0.0119	0.0041	0.5711
AAK1	EID2	AAK1	EID2	0.0567	-0.0092	-0.0071	-0.0028	0.6836
AAK1	EIF2B1	AAK1	EIF2B1	0.0651	0.0281	0.0289	0.0222	0.2128
AAK1	ELOF1	AAK1	ELOF1	0.0716	0.0728	0.0729	0.0839	0.0012
AAK1	FAM199X	AAK1	FAM199X	0.0456	-0.0273	-0.0274	-0.0088	0.2262
AAK1	FAM65B	AAK1	FAM65B	0.0576	0.0121	0.0109	0.0158	0.5914
AAK1	FBXL5	AAK1	FBXL5	0.0464	0.0212	0.0220	0.0094	0.3467
AAK1	FLII	AAK1	FLII	0.0492	-0.0275	-0.0269	-0.0180	0.2230
AAK1	FUBP3	AAK1	FUBP3	0.0444	-0.0121	-0.0095	-0.0064	0.5913
AAK1	GCN1L1	AAK1	GCN1L1	0.0632	0.0099	0.0104	0.0043	0.6604
AAK1	GGCX	AAK1	GGCX	0.0584	-0.0029	-0.0023	-0.0012	0.8989
AAK1	GTF2H3	AAK1	GTF2H3	0.0609	0.0041	0.0033	0.0011	0.8565
AAK1	GTPBP6	AAK1	GTPBP6	0.0520	0.0575	0.0595	0.0544	0.0108
AAK1	HADH	AAK1	HADH	0.0570	0.0039	0.0064	0.0022	0.8642
AAK1	HIST1H2BC	AAK1	HIST1H2BC	0.0638	0.0596	0.0615	0.0356	0.0082
AAK1	HNRNPR	AAK1	HNRNPR	0.0587	0.0413	0.0425	0.0434	0.0669
AAK1	HSD17B10	AAK1	HSD17B10	0.0727	0.0348	0.0323	0.0455	0.1232
AAK1	IDH3A	AAK1	IDH3A	0.0560	-0.0061	-0.0047	-0.0025	0.7869
AAK1	KDM5B	AAK1	KDM5B	0.0527	-0.0152	-0.0153	-0.0027	0.4994
AAK1	KIAA0100	AAK1	KIAA0100	0.0563	-0.0216	-0.0216	-0.0057	0.3391
AAK1	KLHL36	AAK1	KLHL36	0.0639	0.0278	0.0312	0.0172	0.2175
AAK1	LAMP1	AAK1	LAMP1	0.0516	0.0515	0.0525	0.0588	0.0223
AAK1	LINC00847	AAK1	LINC00847	0.0600	-0.0167	-0.0168	-0.0066	0.4598
AAK1	LSG1	AAK1	LSG1	0.0573	0.0001	0.0032	0.0001	0.9950
AAK1	MAML1	AAK1	MAML1	0.0607	-0.0068	-0.0062	-0.0028	0.7618
AAK1	MFSD5	AAK1	MFSD5	0.0623	-0.0237	-0.0237	-0.0066	0.2945
AAK1	MRPL21	AAK1	MRPL21	0.0605	0.0248	0.0254	0.0267	0.2709
AAK1	NARF	AAK1	NARF	0.0564	0.0046	0.0051	0.0038	0.8382
AAK1	NDEL1	AAK1	NDEL1	0.0534	0.0152	0.0157	0.0091	0.4995
AAK1	NFKBIZ	AAK1	NFKBIZ	0.0486	-0.0414	-0.0398	-0.0331	0.0666
AAK1	NGRN	AAK1	NGRN	0.0555	0.0410	0.0418	0.0148	0.0688
AAK1	NIF3L1	AAK1	NIF3L1	0.0559	0.0330	0.0322	0.0107	0.1432
AAK1	NRROS	AAK1	NRROS	0.0600	0.0634	0.0658	0.0277	0.0049
AAK1	PDE4D	AAK1	PDE4D	0.0535	0.0064	0.0078	0.0027	0.7775
AAK1	PGPEP1	AAK1	PGPEP1	0.0602	0.0087	0.0098	0.0029	0.7004
AAK1	PHACTR4	AAK1	PHACTR4	0.0530	0.0219	0.0242	0.0079	0.3321
AAK1	PRADC1	AAK1	PRADC1	0.0515	0.0066	0.0092	0.0036	0.7710
AAK1	PSENEN	AAK1	PSENEN	0.0551	-0.0020	-0.0018	-0.0022	0.9279
AAK1	PSIP1	AAK1	PSIP1	0.0655	0.0704	0.0694	0.0831	0.0018
AAK1	PSMA3	AAK1	PSMA3	0.0532	0.0355	0.0371	0.0294	0.1155
AAK1	PSMD5-AS1	AAK1	PSMD5-AS1	0.0518	0.0032	0.0032	0.0024	0.8881
AAK1	RBX1	AAK1	RBX1	0.0579	0.0533	0.0515	0.0753	0.0180
AAK1	RP11-1094M14.11	AAK1	RP11-1094M14.11	0.0637	0.0244	0.0277	0.0181	0.2792
AAK1	RP11-635N19.1	AAK1	RP11-635N19.1	0.0570	-0.0246	-0.0246	-0.0073	0.2753
AAK1	RP11-664D1.1	AAK1	RP11-664D1.1	0.0694	-0.0235	-0.0225	-0.0188	0.2969
AAK1	RP11-85F14.5	AAK1	RP11-85F14.5	0.0700	0.0253	0.0245	0.0091	0.2616
AAK1	RPL15	AAK1	RPL15	0.0661	-0.0037	-0.0194	-0.0011	0.8692
AAK1	RPS17	AAK1	RPS17	0.0645	-0.0116	-0.0120	-0.0065	0.6063
AAK1	SLC25A37	AAK1	SLC25A37	0.0572	-0.0081	-0.0098	-0.0038	0.7189
AAK1	SNORD3B-1	AAK1	SNORD3B-1	0.0537	-0.0264	-0.0265	-0.0084	0.2410
AAK1	SPCS2	AAK1	SPCS2	0.0680	-0.0054	-0.0108	-0.0081	0.8111
AAK1	STX12	AAK1	STX12	0.0509	0.0130	0.0152	0.0060	0.5640
AAK1	STXBP2	AAK1	STXBP2	0.0674	0.0279	0.0290	0.0300	0.2165
AAK1	SUGP2	AAK1	SUGP2	0.0635	0.0301	0.0300	0.0141	0.1823
AAK1	TAPBPL	AAK1	TAPBPL	0.0655	0.0389	0.0426	0.0333	0.0847
AAK1	TIPRL	AAK1	TIPRL	0.0571	0.0071	0.0074	0.0045	0.7547
AAK1	TMIGD2	AAK1	TMIGD2	0.0564	-0.0075	-0.0069	-0.0056	0.7406
AAK1	TNFSF8	AAK1	TNFSF8	0.0569	-0.0137	-0.0132	-0.0066	0.5432
AAK1	TRMT1	AAK1	TRMT1	0.0524	0.0140	0.0138	0.0092	0.5351
AAK1	TTC39C	AAK1	TTC39C	0.0577	0.0199	0.0138	0.0313	0.3783
AAK1	TUFM	AAK1	TUFM	0.0787	0.0592	0.0534	0.0934	0.0087
AAK1	UCKL1	AAK1	UCKL1	0.0543	-0.0340	-0.0321	-0.0235	0.1317
AAK1	XRN1	AAK1	XRN1	0.0556	0.0101	0.0097	0.0043	0.6545
AAK1	YEATS4	AAK1	YEATS4	0.0533	0.0289	0.0312	0.0186	0.2002
AAK1	YWHAG	AAK1	YWHAG	0.0521	-0.0215	-0.0216	-0.0056	0.3396
AAK1	ZMAT3	AAK1	ZMAT3	0.0519	-0.0090	-0.0083	-0.0040	0.6903
AAK1	ZNF404	AAK1	ZNF404	0.0554	-0.0226	-0.0227	-0.0061	0.3157
AAK1	ZNF561	AAK1	ZNF561	0.0536	-0.0314	-0.0314	-0.0116	0.1645
AAK1	ZNF581	AAK1	ZNF581	0.0497	0.0078	0.0093	0.0067	0.7302
AAR2	ABCB7	AAR2	ABCB7	0.0580	-0.0147	-0.0147	-0.0146	0.5159
AAR2	ACAP2	AAR2	ACAP2	0.0533	-0.0056	-0.0024	-0.0089	0.8053
AAR2	ADPRHL2	AAR2	ADPRHL2	0.0567	0.0110	0.0075	0.0148	0.6262
AAR2	AMPD2	AAR2	AMPD2	0.0670	0.0336	0.0390	0.0416	0.1363
AAR2	APBB1	AAR2	APBB1	0.0571	-0.0019	-0.0012	-0.0029	0.9337
AAR2	ATXN7L3	AAR2	ATXN7L3	0.0535	-0.0103	-0.0104	-0.0072	0.6471
AAR2	BDH2	AAR2	BDH2	0.0620	-0.0180	-0.0181	-0.0219	0.4246
AAR2	BTBD10	AAR2	BTBD10	0.0714	-0.0107	-0.0107	-0.0078	0.6357
AAR2	C17orf59	AAR2	C17orf59	0.0482	-0.0266	-0.0266	-0.0471	0.2392
AAR2	C5orf56	AAR2	C5orf56	0.0552	0.0663	0.0687	0.1848	0.0032
AAR2	CASP6	AAR2	CASP6	0.0593	0.0176	0.0163	0.0305	0.4361
AAR2	CCDC71	AAR2	CCDC71	0.0630	-0.0110	-0.0111	-0.0084	0.6246
AAR2	CCT8	AAR2	CCT8	0.0612	0.0023	0.0037	0.0062	0.9205
AAR2	CD79A	AAR2	CD79A	0.0543	-0.0087	-0.0087	-0.0053	0.7007
AAR2	CDCA7L	AAR2	CDCA7L	0.0609	-0.0062	-0.0062	-0.0027	0.7848
AAR2	CEP41	AAR2	CEP41	0.0673	-0.0087	-0.0087	-0.0052	0.6992
AAR2	CNOT4	AAR2	CNOT4	0.0547	0.0240	0.0301	0.0331	0.2867
AAR2	CRIPT	AAR2	CRIPT	0.0536	0.0160	0.0194	0.0165	0.4769
AAR2	CTB-55O6.12	AAR2	CTB-55O6.12	0.0531	-0.0083	-0.0083	-0.0046	0.7137
AAR2	CTC-228N24.3	AAR2	CTC-228N24.3	0.0567	-0.0222	-0.0222	-0.0333	0.3255
AAR2	CTD-2336O2.1	AAR2	CTD-2336O2.1	0.0535	-0.0152	-0.0152	-0.0160	0.5010
AAR2	CTR9	AAR2	CTR9	0.0627	-0.0164	-0.0165	-0.0184	0.4668
AAR2	CYB5A	AAR2	CYB5A	0.0563	0.0453	0.0456	0.0864	0.0445
AAR2	DAK	AAR2	DAK	0.0577	-0.0130	-0.0130	-0.0115	0.5652
AAR2	DESI2	AAR2	DESI2	0.0559	-0.0124	-0.0124	-0.0106	0.5838
AAR2	DUSP10	AAR2	DUSP10	0.0576	0.0611	0.0778	0.0482	0.0067
AAR2	EBLN2	AAR2	EBLN2	0.0596	-0.0091	-0.0092	-0.0059	0.6856
AAR2	EPS8L2	AAR2	EPS8L2	0.0528	-0.0257	-0.0258	-0.0446	0.2537
AAR2	ESYT1	AAR2	ESYT1	0.0556	0.0125	0.0130	0.0284	0.5794
AAR2	EXT2	AAR2	EXT2	0.0475	-0.0103	-0.0104	-0.0073	0.6472
AAR2	FAM107B	AAR2	FAM107B	0.0562	-0.0216	-0.0213	-0.0496	0.3383
AAR2	FANK1	AAR2	FANK1	0.0431	-0.0146	-0.0147	-0.0149	0.5161
AAR2	FUBP3	AAR2	FUBP3	0.0507	-0.0180	-0.0181	-0.0222	0.4247
AAR2	GBP5	AAR2	GBP5	0.0642	0.0444	0.0443	0.0718	0.0488
AAR2	GIMAP4	AAR2	GIMAP4	0.0547	0.0215	0.0168	0.0825	0.3407
AAR2	GPATCH2	AAR2	GPATCH2	0.0487	0.0240	0.0316	0.0197	0.2865
AAR2	GPR68	AAR2	GPR68	0.0525	-0.0117	-0.0118	-0.0097	0.6034
AAR2	GRPEL1	AAR2	GRPEL1	0.0606	0.0466	0.0492	0.0855	0.0388
AAR2	GRSF1	AAR2	GRSF1	0.0533	-0.0041	-0.0029	-0.0089	0.8571
AAR2	GSN	AAR2	GSN	0.0457	-0.0067	-0.0068	-0.0031	0.7652
AAR2	GZMH	AAR2	GZMH	0.0642	-0.0078	-0.0078	-0.0045	0.7311
AAR2	HAUS5	AAR2	HAUS5	0.0601	-0.0110	-0.0111	-0.0085	0.6244
AAR2	HDGF	AAR2	HDGF	0.0578	-0.0049	-0.0018	-0.0077	0.8295
AAR2	HES4	AAR2	HES4	0.0658	0.1030	0.0895	0.0384	0.0000
AAR2	HEXIM1	AAR2	HEXIM1	0.0563	-0.0199	-0.0200	-0.0271	0.3779
AAR2	HIATL1	AAR2	HIATL1	0.0574	0.0305	0.0324	0.0251	0.1756
AAR2	HIST2H2AB	AAR2	HIST2H2AB	0.0558	-0.0110	-0.0111	-0.0084	0.6249
AAR2	ICK	AAR2	ICK	0.0527	-0.0078	-0.0078	-0.0043	0.7299
AAR2	IDNK	AAR2	IDNK	0.0594	0.0103	0.0123	0.0123	0.6466
AAR2	LSM14A	AAR2	LSM14A	0.0521	-0.0213	-0.0218	-0.0505	0.3455
AAR2	MAPK1	AAR2	MAPK1	0.0661	0.0216	0.0245	0.0330	0.3378
AAR2	MAZ	AAR2	MAZ	0.0640	0.0202	0.0201	0.0479	0.3711
AAR2	MCAT	AAR2	MCAT	0.0472	-0.0099	-0.0100	-0.0067	0.6592
AAR2	MOGS	AAR2	MOGS	0.0597	0.0579	0.0572	0.0791	0.0102
AAR2	MPHOSPH10	AAR2	MPHOSPH10	0.0575	0.0490	0.0462	0.0761	0.0297
AAR2	NAA25	AAR2	NAA25	0.0581	-0.0091	-0.0092	-0.0059	0.6853
AAR2	NAA40	AAR2	NAA40	0.0508	0.0579	0.0687	0.0263	0.0102
AAR2	NAF1	AAR2	NAF1	0.0526	-0.0152	-0.0152	-0.0156	0.5012
