source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AATF	AC016757.3	AATF	AC016757.3	0.0474	-0.0163	-0.0163	-0.0039	0.4704
AATF	AGGF1	AATF	AGGF1	0.0507	-0.0378	-0.0378	-0.0201	0.0941
AATF	AIP	AATF	AIP	0.0446	0.0300	0.0321	0.0473	0.1836
AATF	ALKBH5	AATF	ALKBH5	0.0580	0.0104	0.0107	0.0089	0.6434
AATF	ARMC1	AATF	ARMC1	0.0493	0.0027	0.0025	0.0012	0.9040
AATF	ARNTL	AATF	ARNTL	0.0476	-0.0195	-0.0195	-0.0055	0.3873
AATF	ARPC4	AATF	ARPC4	0.0499	-0.0280	-0.0312	-0.0442	0.2137
AATF	ASNA1	AATF	ASNA1	0.0429	0.0135	0.0136	0.0165	0.5493
AATF	ATP9B	AATF	ATP9B	0.0424	0.0638	0.0642	0.0225	0.0047
AATF	BCL7A	AATF	BCL7A	0.0436	0.0167	0.0153	0.0042	0.4579
AATF	BPTF	AATF	BPTF	0.0443	-0.0263	-0.0264	-0.0177	0.2434
AATF	BRF2	AATF	BRF2	0.0456	0.0415	0.0418	0.0177	0.0660
AATF	C7orf43	AATF	C7orf43	0.0501	0.0049	0.0051	0.0021	0.8288
AATF	C9orf156	AATF	C9orf156	0.0440	-0.0334	-0.0334	-0.0156	0.1391
AATF	CCDC47	AATF	CCDC47	0.0461	-0.0113	-0.0115	-0.0064	0.6159
AATF	CCDC59	AATF	CCDC59	0.0506	0.0344	0.0344	0.0359	0.1272
AATF	CCT3	AATF	CCT3	0.0449	0.0141	0.0143	0.0204	0.5306
AATF	CD151	AATF	CD151	0.0431	0.0532	0.0546	0.0456	0.0183
AATF	CD247	AATF	CD247	0.0466	0.0793	0.0768	0.1376	0.0004
AATF	CD40	AATF	CD40	0.0418	-0.0123	-0.0123	-0.0022	0.5847
AATF	CD52	AATF	CD52	0.0413	0.0170	0.0200	0.0161	0.4500
AATF	CEBPZ	AATF	CEBPZ	0.0460	-0.0164	-0.0152	-0.0112	0.4680
AATF	CEP89	AATF	CEP89	0.0502	0.0019	0.0021	0.0006	0.9331
AATF	CIZ1	AATF	CIZ1	0.0432	-0.0239	-0.0226	-0.0153	0.2895
AATF	CNDP2	AATF	CNDP2	0.0432	0.0151	0.0195	0.0107	0.5033
AATF	COG1	AATF	COG1	0.0563	0.0076	0.0074	0.0041	0.7370
AATF	COX14	AATF	COX14	0.0585	-0.0133	-0.0167	-0.0211	0.5542
AATF	CPNE1	AATF	CPNE1	0.0423	0.0647	0.0653	0.0817	0.0041
AATF	CTBS	AATF	CTBS	0.0439	0.0144	0.0138	0.0070	0.5246
AATF	DDT	AATF	DDT	0.0554	0.0509	0.0480	0.0897	0.0239
AATF	DPEP2	AATF	DPEP2	0.0532	-0.0131	-0.0145	-0.0112	0.5607
AATF	DTNBP1	AATF	DTNBP1	0.0506	0.0101	0.0106	0.0090	0.6560
AATF	DTX3L	AATF	DTX3L	0.0541	0.0822	0.0824	0.0384	0.0003
AATF	EIF4H	AATF	EIF4H	0.0455	0.0298	0.0298	0.0399	0.1863
AATF	ENDOV	AATF	ENDOV	0.0469	0.0138	0.0170	0.0074	0.5411
AATF	FAM229B	AATF	FAM229B	0.0505	0.0360	0.0362	0.0101	0.1103
AATF	FEZ1	AATF	FEZ1	0.0372	-0.0062	-0.0062	-0.0006	0.7848
AATF	FLI1	AATF	FLI1	0.0584	0.0576	0.0588	0.0578	0.0106
AATF	FNTA	AATF	FNTA	0.0492	0.0481	0.0481	0.0566	0.0331
AATF	FXYD2	AATF	FXYD2	0.0460	-0.0195	-0.0195	-0.0055	0.3869
AATF	GABPB1	AATF	GABPB1	0.0430	-0.0110	-0.0082	-0.0042	0.6270
AATF	GALNT2	AATF	GALNT2	0.0491	0.0218	0.0226	0.0094	0.3341
AATF	HEATR1	AATF	HEATR1	0.0543	-0.0163	-0.0163	-0.0038	0.4693
AATF	HEATR5B	AATF	HEATR5B	0.0549	0.0133	0.0161	0.0048	0.5544
AATF	HES4	AATF	HES4	0.0456	-0.0123	-0.0123	-0.0021	0.5849
AATF	HOMER1	AATF	HOMER1	0.0443	0.0036	0.0037	0.0011	0.8727
AATF	HSP90AA1	AATF	HSP90AA1	0.0541	0.0152	-0.0030	0.0310	0.5007
AATF	IGBP1	AATF	IGBP1	0.0539	0.0846	0.0815	0.1326	0.0002
AATF	IRF2BP1	AATF	IRF2BP1	0.0480	0.0104	0.0099	0.0041	0.6458
AATF	ISG15	AATF	ISG15	0.0570	0.0564	0.0562	0.0962	0.0123
AATF	KCTD5	AATF	KCTD5	0.0429	0.0402	0.0404	0.0203	0.0750
AATF	KDM5B	AATF	KDM5B	0.0468	-0.0138	-0.0138	-0.0027	0.5413
AATF	LEMD2	AATF	LEMD2	0.0394	0.0088	0.0144	0.0069	0.6963
AATF	LEMD3	AATF	LEMD3	0.0511	-0.0138	-0.0138	-0.0028	0.5412
AATF	MARCH7	AATF	MARCH7	0.0462	0.0117	0.0109	0.0069	0.6034
AATF	MRPL2	AATF	MRPL2	0.0632	-0.0095	-0.0090	-0.0081	0.6743
AATF	MRPL46	AATF	MRPL46	0.0458	0.0226	0.0231	0.0188	0.3174
AATF	NAF1	AATF	NAF1	0.0502	-0.0194	-0.0187	-0.0092	0.3910
AATF	NANS	AATF	NANS	0.0430	-0.0248	-0.0252	-0.0168	0.2715
AATF	NCOA3	AATF	NCOA3	0.0511	0.0355	0.0342	0.0104	0.1152
AATF	NDUFB10	AATF	NDUFB10	0.0556	0.0381	0.0354	0.0718	0.0909
AATF	NUDT18	AATF	NUDT18	0.0501	-0.0000	0.0007	-0.0000	0.9989
AATF	PDCD11	AATF	PDCD11	0.0422	0.0344	0.0351	0.0101	0.1274
AATF	PIK3AP1	AATF	PIK3AP1	0.0444	0.0818	0.0818	0.0072	0.0003
AATF	PLA2G16	AATF	PLA2G16	0.0511	0.0260	0.0274	0.0184	0.2482
AATF	POLR2E	AATF	POLR2E	0.0412	-0.0381	-0.0381	-0.0557	0.0914
AATF	PON2	AATF	PON2	0.0402	-0.0123	-0.0123	-0.0021	0.5849
AATF	POP4	AATF	POP4	0.0444	0.0205	0.0210	0.0182	0.3642
AATF	PPIL2	AATF	PPIL2	0.0431	0.0197	0.0189	0.0092	0.3831
AATF	PRCC	AATF	PRCC	0.0481	0.0201	0.0202	0.0145	0.3740
AATF	PSAP	AATF	PSAP	0.0402	-0.0362	-0.0363	-0.0488	0.1082
AATF	RAB4B	AATF	RAB4B	0.0494	-0.0260	-0.0259	-0.0239	0.2498
AATF	RBM33	AATF	RBM33	0.0360	0.0541	0.0525	0.0278	0.0165
AATF	RIPK1	AATF	RIPK1	0.0511	-0.0154	-0.0150	-0.0068	0.4961
AATF	RP11-386I14.4	AATF	RP11-386I14.4	0.0442	-0.0043	-0.0069	-0.0023	0.8498
AATF	RP5-1028K7.2	AATF	RP5-1028K7.2	0.0489	0.0198	0.0227	0.0080	0.3805
AATF	RPAIN	AATF	RPAIN	0.0471	-0.0189	-0.0188	-0.0224	0.4022
AATF	RPL31	AATF	RPL31	0.0440	0.0025	0.0025	0.0006	0.9117
AATF	RPS6	AATF	RPS6	0.0536	-0.0214	-0.0237	-0.0041	0.3425
AATF	RPS6KB2	AATF	RPS6KB2	0.0387	0.0439	0.0462	0.0455	0.0514
AATF	SART1	AATF	SART1	0.0484	0.0006	0.0013	0.0004	0.9800
AATF	SCAPER	AATF	SCAPER	0.0471	-0.0058	-0.0060	-0.0022	0.7977
AATF	SEC23A	AATF	SEC23A	0.0447	-0.0049	-0.0054	-0.0025	0.8273
AATF	SERTAD2	AATF	SERTAD2	0.0465	-0.0310	-0.0310	-0.0135	0.1700
AATF	SETD7	AATF	SETD7	0.0493	-0.0128	-0.0103	-0.0053	0.5713
AATF	SF3B5	AATF	SF3B5	0.0622	0.0802	0.0729	0.1605	0.0004
AATF	SH3GLB2	AATF	SH3GLB2	0.0516	0.0364	0.0378	0.0185	0.1062
AATF	SIN3A	AATF	SIN3A	0.0507	0.0010	-0.0012	0.0005	0.9651
AATF	SMARCB1	AATF	SMARCB1	0.0458	0.0441	0.0442	0.0456	0.0503
AATF	SON	AATF	SON	0.0443	0.0356	0.0314	0.0599	0.1146
AATF	SPIDR	AATF	SPIDR	0.0415	-0.0223	-0.0223	-0.0072	0.3238
AATF	STMN3	AATF	STMN3	0.0437	-0.0241	-0.0246	-0.0295	0.2862
AATF	SUB1	AATF	SUB1	0.0630	0.0721	0.0686	0.1195	0.0014
AATF	SUGP1	AATF	SUGP1	0.0457	-0.0222	-0.0222	-0.0120	0.3246
AATF	SYNE2	AATF	SYNE2	0.0412	-0.0014	-0.0012	-0.0013	0.9499
AATF	SYTL1	AATF	SYTL1	0.0532	-0.0148	-0.0154	-0.0229	0.5120
AATF	TBC1D9B	AATF	TBC1D9B	0.0504	-0.0356	-0.0357	-0.0179	0.1143
AATF	TCTA	AATF	TCTA	0.0592	-0.0313	-0.0312	-0.0196	0.1649
AATF	TNFAIP8	AATF	TNFAIP8	0.0414	0.0133	0.0134	0.0188	0.5547
AATF	TRAF5	AATF	TRAF5	0.0436	-0.0003	-0.0015	-0.0002	0.9885
AATF	TSEN15	AATF	TSEN15	0.0514	-0.0179	-0.0165	-0.0135	0.4272
AATF	TTI1	AATF	TTI1	0.0547	-0.0269	-0.0270	-0.0102	0.2322
AATF	TXN	AATF	TXN	0.0441	0.0282	0.0277	0.0465	0.2106
AATF	UGDH	AATF	UGDH	0.0503	0.0026	0.0004	0.0009	0.9089
AATF	VAMP5	AATF	VAMP5	0.0499	0.0100	0.0100	0.0156	0.6575
AATF	VPS28	AATF	VPS28	0.0462	0.0061	0.0040	0.0114	0.7867
AATF	WDR34	AATF	WDR34	0.0409	0.0140	0.0124	0.0034	0.5362
AATF	ZCCHC17	AATF	ZCCHC17	0.0483	0.0020	0.0034	0.0017	0.9285
AATF	ZNF420	AATF	ZNF420	0.0505	-0.0283	-0.0284	-0.0113	0.2090
AATF	ZNF487	AATF	ZNF487	0.0413	0.0059	0.0062	0.0026	0.7936
AATF	ZNF749	AATF	ZNF749	0.0469	-0.0013	-0.0015	-0.0004	0.9548
ADNP	AAMDC	ADNP	AAMDC	0.0458	0.0166	0.0135	0.0255	0.4616
ADNP	ABCB7	ADNP	ABCB7	0.0521	-0.0127	-0.0128	-0.0141	0.5721
ADNP	ABHD13	ADNP	ABHD13	0.0493	-0.0145	-0.0145	-0.0183	0.5210
ADNP	AHR	ADNP	AHR	0.0395	-0.0096	-0.0096	-0.0080	0.6703
ADNP	AIDA	ADNP	AIDA	0.0471	-0.0099	-0.0099	-0.0088	0.6609
