source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AATF	BAG3	AATF	BAG3	0.0457	0.0212	0.0223	0.0134	0.3444
AATF	BCL2	AATF	BCL2	0.0513	-0.0022	-0.0004	-0.0022	0.9202
AATF	BIK	AATF	BIK	0.0450	0.0180	0.0192	0.0066	0.4215
AATF	C9orf142	AATF	C9orf142	0.0432	0.0210	0.0190	0.0306	0.3496
AATF	CCDC102B	AATF	CCDC102B	0.0449	0.0207	0.0214	0.0076	0.3549
AATF	CCDC28A	AATF	CCDC28A	0.0609	0.0257	0.0255	0.0178	0.2510
AATF	CCDC50	AATF	CCDC50	0.0531	-0.0083	-0.0083	-0.0010	0.7127
AATF	CCT2	AATF	CCT2	0.0446	0.0144	0.0161	0.0184	0.5194
AATF	CDC14A	AATF	CDC14A	0.0487	0.0512	0.0515	0.0171	0.0223
AATF	CEP63	AATF	CEP63	0.0452	0.0280	0.0271	0.0198	0.2106
AATF	CKAP4	AATF	CKAP4	0.0514	-0.0211	-0.0211	-0.0069	0.3468
AATF	CPVL	AATF	CPVL	0.0470	-0.0082	-0.0083	-0.0011	0.7134
AATF	CTD-2228K2.5	AATF	CTD-2228K2.5	0.0489	-0.0101	-0.0100	-0.0089	0.6511
AATF	DARS	AATF	DARS	0.0480	-0.0041	-0.0041	-0.0055	0.8537
AATF	DDX21	AATF	DDX21	0.0418	0.0305	0.0310	0.0275	0.1734
AATF	DHFR	AATF	DHFR	0.0475	-0.0194	-0.0194	-0.0059	0.3878
AATF	DHPS	AATF	DHPS	0.0502	0.0709	0.0712	0.1020	0.0015
AATF	DNAJC14	AATF	DNAJC14	0.0468	-0.0020	-0.0018	-0.0008	0.9282
AATF	DPF2	AATF	DPF2	0.0494	0.0336	0.0337	0.0195	0.1331
AATF	ENOPH1	AATF	ENOPH1	0.0532	0.0069	0.0062	0.0066	0.7569
AATF	FAM122A	AATF	FAM122A	0.0403	0.0146	0.0139	0.0104	0.5152
AATF	FAM3C	AATF	FAM3C	0.0404	-0.0150	-0.0152	-0.0074	0.5021
AATF	FAM84B	AATF	FAM84B	0.0473	-0.0079	-0.0076	-0.0033	0.7258
AATF	FIP1L1	AATF	FIP1L1	0.0528	-0.0107	-0.0092	-0.0100	0.6338
AATF	FOXK2	AATF	FOXK2	0.0439	0.0109	0.0106	0.0031	0.6270
AATF	FTSJ2	AATF	FTSJ2	0.0419	-0.0019	0.0004	-0.0013	0.9326
AATF	GANC	AATF	GANC	0.0425	0.0020	0.0053	0.0007	0.9272
AATF	GATAD1	AATF	GATAD1	0.0392	0.0354	0.0352	0.0106	0.1144
AATF	GOT2	AATF	GOT2	0.0396	-0.0363	-0.0363	-0.0204	0.1054
AATF	GPR56	AATF	GPR56	0.0462	0.0875	0.0878	0.0090	0.0001
AATF	H2AFY	AATF	H2AFY	0.0458	-0.0481	-0.0471	-0.0659	0.0318
AATF	HAGHL	AATF	HAGHL	0.0424	-0.0165	-0.0165	-0.0042	0.4610
AATF	IFNAR1	AATF	IFNAR1	0.0416	0.0223	0.0245	0.0153	0.3202
AATF	KHDRBS1	AATF	KHDRBS1	0.0526	-0.0238	-0.0243	-0.0364	0.2872
AATF	LINC00152	AATF	LINC00152	0.0480	-0.0116	-0.0117	-0.0020	0.6033
AATF	LMAN1	AATF	LMAN1	0.0504	-0.0087	-0.0079	-0.0049	0.6975
