source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AAK1	ABHD2	AAK1	ABHD2	0.0455	-0.0019	0.0010	-0.0006	0.9329
AAK1	ABL1	AAK1	ABL1	0.0468	-0.0051	-0.0053	-0.0018	0.8202
AAK1	ABRACL	AAK1	ABRACL	0.0626	0.0264	0.0255	0.0387	0.2396
AAK1	ADSL	AAK1	ADSL	0.0651	0.0411	0.0397	0.0479	0.0670
AAK1	AEN	AAK1	AEN	0.0464	-0.0209	-0.0222	-0.0104	0.3527
AAK1	ANKRD36	AAK1	ANKRD36	0.0610	-0.0269	-0.0269	-0.0096	0.2311
AAK1	ARPC5	AAK1	ARPC5	0.0587	0.0323	0.0312	0.0572	0.1501
AAK1	BTN2A1	AAK1	BTN2A1	0.0553	0.0089	0.0095	0.0042	0.6934
AAK1	C19orf48	AAK1	C19orf48	0.0538	0.0055	0.0048	0.0040	0.8080
AAK1	C1orf109	AAK1	C1orf109	0.0540	-0.0044	-0.0054	-0.0022	0.8445
AAK1	CD33	AAK1	CD33	0.0496	-0.0063	-0.0063	-0.0005	0.7785
AAK1	CNOT8	AAK1	CNOT8	0.0580	-0.0248	-0.0249	-0.0230	0.2689
AAK1	COA5	AAK1	COA5	0.0638	0.0249	0.0256	0.0165	0.2669
AAK1	COX19	AAK1	COX19	0.0548	-0.0084	-0.0089	-0.0078	0.7072
AAK1	CPSF4	AAK1	CPSF4	0.0607	0.0070	0.0070	0.0041	0.7552
AAK1	CTBS	AAK1	CTBS	0.0627	-0.0230	-0.0234	-0.0117	0.3063
AAK1	CYTH4	AAK1	CYTH4	0.0560	0.0046	0.0049	0.0043	0.8364
AAK1	DBNDD1	AAK1	DBNDD1	0.0596	0.0041	0.0047	0.0012	0.8549
AAK1	DBT	AAK1	DBT	0.0548	-0.0179	-0.0179	-0.0044	0.4256
AAK1	DPP8	AAK1	DPP8	0.0549	0.0171	0.0185	0.0073	0.4451
AAK1	EIF5A	AAK1	EIF5A	0.0567	-0.0358	-0.0357	-0.0422	0.1112
AAK1	EPHB6	AAK1	EPHB6	0.0709	-0.0025	-0.0020	-0.0020	0.9101
AAK1	ERO1L	AAK1	ERO1L	0.0559	-0.0133	-0.0125	-0.0054	0.5524
AAK1	ESYT2	AAK1	ESYT2	0.0593	-0.0024	-0.0027	-0.0011	0.9134
AAK1	FAM193B	AAK1	FAM193B	0.0604	0.0172	0.0169	0.0040	0.4440
AAK1	FAM71D	AAK1	FAM71D	0.0525	-0.0176	-0.0179	-0.0103	0.4339
AAK1	FBXL4	AAK1	FBXL4	0.0579	-0.0261	-0.0262	-0.0093	0.2445
AAK1	FIGNL1	AAK1	FIGNL1	0.0512	-0.0179	-0.0179	-0.0045	0.4258
AAK1	FUBP3	AAK1	FUBP3	0.0506	-0.0167	-0.0164	-0.0095	0.4571
AAK1	GABBR1	AAK1	GABBR1	0.0581	-0.0126	-0.0126	-0.0022	0.5734
AAK1	GTPBP8	AAK1	GTPBP8	0.0569	-0.0265	-0.0268	-0.0143	0.2373
AAK1	HBS1L	AAK1	HBS1L	0.0556	-0.0089	-0.0079	-0.0044	0.6907
AAK1	HMGB1	AAK1	HMGB1	0.0945	0.0414	0.0196	0.0823	0.0652
AAK1	HNRNPUL2	AAK1	HNRNPUL2	0.0581	0.0456	0.0463	0.0179	0.0421
AAK1	HYLS1	AAK1	HYLS1	0.0547	0.0305	0.0315	0.0116	0.1748
AAK1	IFI44L	AAK1	IFI44L	0.0645	-0.0088	-0.0090	-0.0033	0.6960
AAK1	KLRD1	AAK1	KLRD1	0.0575	-0.0063	-0.0063	-0.0005	0.7785
AAK1	LBH	AAK1	LBH	0.0498	0.0475	0.0465	0.0678	0.0344
AAK1	LCLAT1	AAK1	LCLAT1	0.0535	-0.0105	-0.0082	-0.0038	0.6396
AAK1	LINC00115	AAK1	LINC00115	0.0530	0.0034	0.0035	0.0015	0.8782
AAK1	LINC00526	AAK1	LINC00526	0.0507	0.0466	0.0489	0.0171	0.0380
AAK1	MAPRE1	AAK1	MAPRE1	0.0584	0.0162	0.0168	0.0185	0.4706
AAK1	MBD4	AAK1	MBD4	0.0516	0.0035	0.0035	0.0027	0.8773
AAK1	MED23	AAK1	MED23	0.0554	0.0380	0.0404	0.0125	0.0908
AAK1	METTL6	AAK1	METTL6	0.0593	-0.0138	-0.0118	-0.0054	0.5388
