source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AATF	ALDH18A1	AATF	ALDH18A1	0.0409	0.0346	0.0369	0.0148	0.1232
AATF	ANKRD37	AATF	ANKRD37	0.0439	-0.0227	-0.0228	-0.0072	0.3113
AATF	ASF1A	AATF	ASF1A	0.0427	0.0108	0.0098	0.0107	0.6299
AATF	ATP6V1D	AATF	ATP6V1D	0.0541	-0.0173	-0.0178	-0.0130	0.4420
AATF	ATP8A1	AATF	ATP8A1	0.0447	0.0257	0.0239	0.0047	0.2529
AATF	B4GALT3	AATF	B4GALT3	0.0473	0.0548	0.0544	0.0565	0.0146
AATF	C16orf98	AATF	C16orf98	0.0478	0.0553	0.0592	0.0150	0.0137
AATF	C9orf156	AATF	C9orf156	0.0487	0.0080	0.0097	0.0037	0.7229
AATF	CDK2AP2	AATF	CDK2AP2	0.0467	-0.0148	-0.0155	-0.0214	0.5090
AATF	CHCHD7	AATF	CHCHD7	0.0405	-0.0318	-0.0300	-0.0343	0.1565
AATF	CMTM3	AATF	CMTM3	0.0463	0.0008	-0.0003	0.0011	0.9732
AATF	COMMD10	AATF	COMMD10	0.0416	0.0042	0.0063	0.0024	0.8525
AATF	COX5A	AATF	COX5A	0.0554	0.0474	0.0420	0.0792	0.0347
AATF	COX6A1	AATF	COX6A1	0.0566	0.0401	0.0349	0.0725	0.0739
AATF	DDIT3	AATF	DDIT3	0.0465	0.0232	0.0233	0.0189	0.3005
AATF	DDX39B	AATF	DDX39B	0.0466	0.0318	0.0289	0.0175	0.1565
AATF	DDX5	AATF	DDX5	0.0561	0.0522	0.0112	0.0841	0.0201
AATF	DHX16	AATF	DHX16	0.0409	0.0645	0.0645	0.0332	0.0040
AATF	DIS3L2	AATF	DIS3L2	0.0482	0.0024	0.0021	0.0010	0.9155
AATF	ECH1	AATF	ECH1	0.0563	0.0484	0.0440	0.0821	0.0312
AATF	EHD4	AATF	EHD4	0.0452	-0.0356	-0.0349	-0.0218	0.1127
AATF	EIF4A3	AATF	EIF4A3	0.0443	-0.0012	-0.0013	-0.0010	0.9575
AATF	ERAP2	AATF	ERAP2	0.0405	0.0250	0.0230	0.0083	0.2662
AATF	FAM195B	AATF	FAM195B	0.0597	0.0161	0.0160	0.0056	0.4739
AATF	FAM8A1	AATF	FAM8A1	0.0437	-0.0199	-0.0200	-0.0053	0.3750
AATF	FBXO34	AATF	FBXO34	0.0551	0.0011	0.0001	0.0006	0.9599
AATF	FLT3LG	AATF	FLT3LG	0.0536	-0.0347	-0.0375	-0.0603	0.1223
AATF	GMFG	AATF	GMFG	0.0555	0.0540	0.0452	0.1089	0.0162
AATF	GNPTG	AATF	GNPTG	0.0480	0.0052	0.0059	0.0040	0.8156
AATF	GOPC	AATF	GOPC	0.0529	0.0167	0.0175	0.0119	0.4578
AATF	GPD1L	AATF	GPD1L	0.0440	-0.0244	-0.0245	-0.0082	0.2768
AATF	GS1-124K5.4	AATF	GS1-124K5.4	0.0428	-0.0236	-0.0236	-0.0077	0.2935
AATF	GSTO1	AATF	GSTO1	0.0512	0.0390	0.0397	0.0491	0.0821
AATF	GTF3C6	AATF	GTF3C6	0.0510	0.0326	0.0338	0.0375	0.1462
AATF	HAVCR2	AATF	HAVCR2	0.0555	0.0333	0.0358	0.0082	0.1378
