source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AAK1	AKAP8	AAK1	AKAP8	0.0467	-0.0097	-0.0100	-0.0045	0.6674
AAK1	ALDH2	AAK1	ALDH2	0.0468	-0.0082	-0.0082	-0.0010	0.7159
AAK1	ANKRD27	AAK1	ANKRD27	0.0476	0.0148	0.0151	0.0043	0.5096
AAK1	ATP2B1	AAK1	ATP2B1	0.0486	0.0228	0.0223	0.0129	0.3109
AAK1	ATP5F1	AAK1	ATP5F1	0.0626	0.0058	-0.0010	0.0105	0.7948
AAK1	ATP5SL	AAK1	ATP5SL	0.0556	-0.0192	-0.0187	-0.0151	0.3915
AAK1	BCL2L12	AAK1	BCL2L12	0.0538	0.0027	0.0023	0.0021	0.9044
AAK1	BCL7B	AAK1	BCL7B	0.0590	0.0027	0.0029	0.0029	0.9026
AAK1	C14orf64	AAK1	C14orf64	0.0582	0.0051	0.0059	0.0061	0.8188
AAK1	C15orf39	AAK1	C15orf39	0.0549	-0.0193	-0.0193	-0.0060	0.3914
AAK1	C7orf55-LUC7L2	AAK1	C7orf55-LUC7L2	0.0514	0.0353	0.0347	0.0299	0.1161
AAK1	CALCOCO2	AAK1	CALCOCO2	0.0636	0.0143	0.0137	0.0112	0.5249
AAK1	CBR4	AAK1	CBR4	0.0571	-0.0116	-0.0107	-0.0070	0.6050
AAK1	CD38	AAK1	CD38	0.0528	-0.0100	-0.0100	-0.0016	0.6550
AAK1	CDK5	AAK1	CDK5	0.0658	0.0017	0.0013	0.0006	0.9394
AAK1	CEP120	AAK1	CEP120	0.0559	0.0115	0.0165	0.0045	0.6074
AAK1	CEPT1	AAK1	CEPT1	0.0503	0.0019	0.0004	0.0010	0.9339
AAK1	CHCHD2	AAK1	CHCHD2	0.0697	0.0302	0.0347	0.0651	0.1785
AAK1	CHD7	AAK1	CHD7	0.0559	0.0089	0.0081	0.0029	0.6907
AAK1	CIAPIN1	AAK1	CIAPIN1	0.0505	-0.0063	-0.0049	-0.0064	0.7788
AAK1	COPS5	AAK1	COPS5	0.0569	0.0464	0.0471	0.0569	0.0386
AAK1	COQ3	AAK1	COQ3	0.0531	0.0005	-0.0002	0.0002	0.9835
AAK1	DCAF5	AAK1	DCAF5	0.0538	-0.0133	-0.0135	-0.0086	0.5541
AAK1	DERL3	AAK1	DERL3	0.0590	-0.0058	-0.0058	-0.0005	0.7965
AAK1	DLGAP3	AAK1	DLGAP3	0.0498	-0.0153	-0.0154	-0.0037	0.4948
AAK1	DPF2	AAK1	DPF2	0.0583	0.0227	0.0255	0.0125	0.3116
AAK1	EEPD1	AAK1	EEPD1	0.0590	-0.0116	-0.0116	-0.0021	0.6059
AAK1	ENG	AAK1	ENG	0.0634	-0.0153	-0.0154	-0.0038	0.4946
AAK1	F8A1	AAK1	F8A1	0.0752	-0.0532	-0.0526	-0.0677	0.0178
AAK1	FAM120B	AAK1	FAM120B	0.0598	0.0166	0.0187	0.0065	0.4586
AAK1	FBXL3	AAK1	FBXL3	0.0560	-0.0225	-0.0225	-0.0080	0.3170
AAK1	GNPNAT1	AAK1	GNPNAT1	0.0587	0.0368	0.0361	0.0111	0.1015
AAK1	GS1-251I9.4	AAK1	GS1-251I9.4	0.0568	-0.0234	-0.0234	-0.0199	0.2984
AAK1	HDAC7	AAK1	HDAC7	0.0564	-0.0002	-0.0004	-0.0001	0.9944
AAK1	HIST1H1D	AAK1	HIST1H1D	0.0533	-0.0057	-0.0042	-0.0037	0.7996
AAK1	HIST1H2BC	AAK1	HIST1H2BC	0.0507	-0.0209	-0.0210	-0.0069	0.3518
AAK1	HMGXB3	AAK1	HMGXB3	0.0481	-0.0192	-0.0193	-0.0059	0.3918
AAK1	HNRNPU	AAK1	HNRNPU	0.0606	0.0436	0.0459	0.0632	0.0522
AAK1	HSDL2	AAK1	HSDL2	0.0523	0.0272	0.0259	0.0126	0.2253
AAK1	HYLS1	AAK1	HYLS1	0.0535	0.0051	0.0092	0.0015	0.8197
AAK1	ICA1	AAK1	ICA1	0.0618	-0.0058	-0.0058	-0.0005	0.7965
AAK1	ID1	AAK1	ID1	0.0529	0.0789	0.0784	0.0275	0.0004
AAK1	IER2	AAK1	IER2	0.0606	-0.0580	-0.0569	-0.1247	0.0098
AAK1	INSIG2	AAK1	INSIG2	0.0576	0.0210	0.0236	0.0118	0.3504
AAK1	IRF9	AAK1	IRF9	0.0588	0.0154	0.0143	0.0067	0.4938
AAK1	ITM2A	AAK1	ITM2A	0.0497	-0.0442	-0.0444	-0.0492	0.0492
AAK1	IVD	AAK1	IVD	0.0571	-0.0038	-0.0035	-0.0020	0.8671
AAK1	KIAA0226L	AAK1	KIAA0226L	0.0528	-0.0058	-0.0058	-0.0006	0.7965
AAK1	KRR1	AAK1	KRR1	0.0489	-0.0040	-0.0033	-0.0030	0.8594
AAK1	L3MBTL3	AAK1	L3MBTL3	0.0497	-0.0164	-0.0164	-0.0043	0.4654
AAK1	LAMP1	AAK1	LAMP1	0.0617	0.0129	0.0142	0.0154	0.5652
AAK1	LIPA	AAK1	LIPA	0.0484	-0.0003	-0.0002	-0.0002	0.9900
AAK1	LMF2	AAK1	LMF2	0.0639	0.0448	0.0486	0.0317	0.0460
AAK1	LPAR2	AAK1	LPAR2	0.0576	-0.0345	-0.0346	-0.0189	0.1243
AAK1	MANBAL	AAK1	MANBAL	0.0525	-0.0374	-0.0375	-0.0220	0.0956
AAK1	MSN	AAK1	MSN	0.0523	0.0736	0.0735	0.0933	0.0010
AAK1	MT-CYB	AAK1	MT-CYB	0.0509	-0.0328	-0.0415	-0.0346	0.1447
AAK1	MTERFD2	AAK1	MTERFD2	0.0549	0.0913	0.0896	0.0902	0.0000
AAK1	NEK8	AAK1	NEK8	0.0614	0.0029	0.0052	0.0009	0.8964
AAK1	OPA3	AAK1	OPA3	0.0565	-0.0078	-0.0079	-0.0034	0.7268
AAK1	OXCT1	AAK1	OXCT1	0.0520	0.0209	0.0205	0.0123	0.3513
AAK1	PABPN1	AAK1	PABPN1	0.0645	0.0061	0.0070	0.0051	0.7860
AAK1	PARP2	AAK1	PARP2	0.0687	0.0171	0.0209	0.0064	0.4454
AAK1	PBDC1	AAK1	PBDC1	0.0615	0.0081	0.0093	0.0071	0.7189
AAK1	PHF11	AAK1	PHF11	0.0627	0.0417	0.0419	0.0364	0.0630
AAK1	POMZP3	AAK1	POMZP3	0.0568	-0.0129	-0.0130	-0.0026	0.5645
AAK1	PPME1	AAK1	PPME1	0.0535	0.0113	0.0109	0.0033	0.6141
AAK1	PRKAG2	AAK1	PRKAG2	0.0530	-0.0360	-0.0361	-0.0204	0.1090
AAK1	PUM1	AAK1	PUM1	0.0458	-0.0122	-0.0115	-0.0056	0.5860
AAK1	RAB11FIP2	AAK1	RAB11FIP2	0.0525	-0.0192	-0.0193	-0.0058	0.3917
AAK1	RAB8B	AAK1	RAB8B	0.0620	-0.0003	0.0003	-0.0001	0.9902
AAK1	REST	AAK1	REST	0.0578	0.0097	0.0093	0.0075	0.6648
AAK1	RFWD2	AAK1	RFWD2	0.0558	0.0062	0.0060	0.0030	0.7834
AAK1	RP11-109G23.3	AAK1	RP11-109G23.3	0.0537	0.0065	0.0045	0.0022	0.7725
AAK1	RP11-400F19.6	AAK1	RP11-400F19.6	0.0601	-0.0217	-0.0218	-0.0075	0.3333
AAK1	RP11-773D16.1	AAK1	RP11-773D16.1	0.0549	0.0183	0.0176	0.0073	0.4155
AAK1	RPL13A	AAK1	RPL13A	0.0493	-0.0505	-0.0440	-0.0065	0.0244
AAK1	RSBN1L-AS1	AAK1	RSBN1L-AS1	0.0630	-0.0192	-0.0193	-0.0059	0.3920
AAK1	SHKBP1	AAK1	SHKBP1	0.0547	0.0212	0.0228	0.0214	0.3449
AAK1	SLC25A51	AAK1	SLC25A51	0.0516	0.0052	0.0075	0.0024	0.8174
AAK1	STAU1	AAK1	STAU1	0.0526	-0.0178	-0.0181	-0.0095	0.4278
AAK1	TBC1D10A	AAK1	TBC1D10A	0.0504	0.0318	0.0327	0.0309	0.1568
AAK1	TMPO-AS1	AAK1	TMPO-AS1	0.0610	-0.0183	-0.0184	-0.0052	0.4147
AAK1	TP53BP2	AAK1	TP53BP2	0.0681	-0.0100	-0.0100	-0.0016	0.6554
AAK1	VPS37B	AAK1	VPS37B	0.0511	0.0138	0.0107	0.0062	0.5396
AAK1	WASF2	AAK1	WASF2	0.0689	-0.0055	-0.0048	-0.0056	0.8056
AAK1	XKR8	AAK1	XKR8	0.0485	-0.0247	-0.0247	-0.0098	0.2722
AAK1	ZBTB1	AAK1	ZBTB1	0.0563	-0.0113	-0.0100	-0.0066	0.6144
AAK1	ZNF136	AAK1	ZNF136	0.0493	-0.0209	-0.0210	-0.0069	0.3516
AAK1	ZNF280D	AAK1	ZNF280D	0.0569	-0.0232	-0.0233	-0.0085	0.3012
AAK1	ZNF346	AAK1	ZNF346	0.0526	0.0129	0.0175	0.0031	0.5659
AAK1	ZNF574	AAK1	ZNF574	0.0590	-0.0192	-0.0193	-0.0058	0.3917
AAK1	ZNF790	AAK1	ZNF790	0.0615	0.0339	0.0335	0.0109	0.1311
