source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AAK1	ABHD10	AAK1	ABHD10	0.0580	-0.0093	-0.0094	-0.0023	0.6890
AAK1	ACOX3	AAK1	ACOX3	0.0523	-0.0104	-0.0105	-0.0029	0.6559
AAK1	ADNP	AAK1	ADNP	0.0583	-0.0155	-0.0156	-0.0061	0.5065
AAK1	AGTRAP	AAK1	AGTRAP	0.0504	0.0145	0.0128	0.0328	0.5344
AAK1	ARIH1	AAK1	ARIH1	0.0619	-0.0155	-0.0156	-0.0062	0.5065
AAK1	ATG9A	AAK1	ATG9A	0.0548	0.0271	0.0268	0.0160	0.2453
AAK1	ATP6AP1	AAK1	ATP6AP1	0.0581	0.0193	0.0229	0.0251	0.4083
AAK1	BTG2	AAK1	BTG2	0.0687	0.0139	0.0153	0.0139	0.5519
AAK1	C18orf32	AAK1	C18orf32	0.0573	0.0113	0.0168	0.0073	0.6296
AAK1	C1GALT1C1	AAK1	C1GALT1C1	0.0671	0.1138	0.1097	0.0259	0.0000
AAK1	CD1D	AAK1	CD1D	0.0517	-0.0114	-0.0109	-0.0109	0.6259
AAK1	CD79A	AAK1	CD79A	0.0638	-0.0123	-0.0124	-0.0038	0.5971
AAK1	CFLAR	AAK1	CFLAR	0.0603	0.0092	0.0137	0.0128	0.6930
AAK1	CLIP1	AAK1	CLIP1	0.0566	-0.0198	-0.0199	-0.0098	0.3958
AAK1	COPB1	AAK1	COPB1	0.0460	-0.0104	-0.0105	-0.0028	0.6547
AAK1	COQ5	AAK1	COQ5	0.0510	-0.0198	-0.0199	-0.0096	0.3952
AAK1	CTC-228N24.3	AAK1	CTC-228N24.3	0.0614	0.0119	0.0247	0.0042	0.6109
AAK1	DDX27	AAK1	DDX27	0.0474	0.0185	0.0238	0.0143	0.4279
AAK1	DDX50	AAK1	DDX50	0.0589	0.0166	0.0235	0.0096	0.4782
AAK1	DDX55	AAK1	DDX55	0.0514	0.0197	0.0185	0.0080	0.3984
AAK1	EAF2	AAK1	EAF2	0.0574	-0.0021	-0.0024	-0.0013	0.9289
AAK1	ECHDC1	AAK1	ECHDC1	0.0663	0.0065	0.0032	0.0037	0.7801
AAK1	EEFSEC	AAK1	EEFSEC	0.0521	-0.0187	-0.0188	-0.0087	0.4235
AAK1	EIF3J-AS1	AAK1	EIF3J-AS1	0.0692	-0.0155	-0.0156	-0.0060	0.5066
AAK1	ELP6	AAK1	ELP6	0.0660	0.0377	0.0450	0.0232	0.1059
AAK1	EMC10	AAK1	EMC10	0.0707	-0.0038	-0.0002	-0.0049	0.8709
AAK1	ETFA	AAK1	ETFA	0.0486	0.0109	0.0172	0.0089	0.6402
AAK1	FAHD1	AAK1	FAHD1	0.0631	-0.0175	-0.0176	-0.0078	0.4536
AAK1	FCGR2A	AAK1	FCGR2A	0.0694	-0.0313	-0.0274	-0.0309	0.1803
AAK1	FLYWCH1	AAK1	FLYWCH1	0.0804	-0.0175	-0.0176	-0.0078	0.4535
AAK1	FOXO1	AAK1	FOXO1	0.0688	-0.0244	-0.0245	-0.0153	0.2959
AAK1	GLTPD1	AAK1	GLTPD1	0.0596	-0.0132	-0.0133	-0.0043	0.5721
AAK1	GNPDA2	AAK1	GNPDA2	0.0593	-0.0066	-0.0066	-0.0011	0.7772
AAK1	GTPBP8	AAK1	GTPBP8	0.0592	-0.0204	-0.0205	-0.0103	0.3824
AAK1	HDAC10	AAK1	HDAC10	0.0635	0.0078	0.0062	0.0076	0.7371
AAK1	HDHD2	AAK1	HDHD2	0.0531	-0.0114	-0.0115	-0.0034	0.6238
AAK1	HSD11B1L	AAK1	HSD11B1L	0.0612	-0.0104	-0.0105	-0.0028	0.6546
AAK1	LRR1	AAK1	LRR1	0.0685	-0.0140	-0.0141	-0.0051	0.5481
AAK1	LRRC57	AAK1	LRRC57	0.0608	-0.0123	-0.0124	-0.0040	0.5985
AAK1	MAP1LC3A	AAK1	MAP1LC3A	0.0569	-0.0148	-0.0148	-0.0056	0.5272
AAK1	MBIP	AAK1	MBIP	0.0447	-0.0081	-0.0081	-0.0016	0.7292
AAK1	MRPS6	AAK1	MRPS6	0.0660	-0.0030	-0.0003	-0.0030	0.8993
AAK1	MTA2	AAK1	MTA2	0.0559	0.0220	0.0360	0.0061	0.3465
AAK1	NDST2	AAK1	NDST2	0.0508	-0.0071	-0.0074	-0.0050	0.7626
AAK1	NDUFA6	AAK1	NDUFA6	0.0594	-0.0010	0.0018	-0.0014	0.9673
AAK1	NDUFB9	AAK1	NDUFB9	0.0589	-0.0167	-0.0160	-0.0388	0.4750
AAK1	NIT2	AAK1	NIT2	0.0619	-0.0084	-0.0099	-0.0061	0.7196
AAK1	NRROS	AAK1	NRROS	0.0514	0.0194	0.0217	0.0210	0.4052
