source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AATF	AC093673.5	AATF	AC093673.5	0.0569	-0.0127	-0.0073	-0.0153	0.5852
AATF	ACAT1	AATF	ACAT1	0.0453	-0.0136	-0.0137	-0.0083	0.5595
AATF	ACSF3	AATF	ACSF3	0.0523	0.0425	0.0572	0.0396	0.0686
AATF	AIF1	AATF	AIF1	0.0442	-0.0209	-0.0105	-0.0564	0.3717
AATF	AK2	AATF	AK2	0.0485	0.0029	0.0025	0.0042	0.9015
AATF	AKNA	AATF	AKNA	0.0499	-0.0009	0.0019	-0.0015	0.9700
AATF	ANAPC15	AATF	ANAPC15	0.0577	-0.0298	-0.0294	-0.0553	0.2014
AATF	ANKRD52	AATF	ANKRD52	0.0432	0.0217	0.0324	0.0120	0.3526
AATF	APOL6	AATF	APOL6	0.0432	0.0423	0.0421	0.0208	0.0701
AATF	ATG9A	AATF	ATG9A	0.0523	-0.0173	-0.0174	-0.0138	0.4588
AATF	ATP6V1B2	AATF	ATP6V1B2	0.0507	-0.0238	-0.0239	-0.0257	0.3071
AATF	ATXN10	AATF	ATXN10	0.0494	0.0312	0.0416	0.0330	0.1813
AATF	BAG5	AATF	BAG5	0.0413	-0.0093	-0.0093	-0.0040	0.6913
AATF	C1orf54	AATF	C1orf54	0.0512	-0.0213	-0.0214	-0.0200	0.3626
AATF	C6orf136	AATF	C6orf136	0.0429	-0.0099	-0.0100	-0.0045	0.6703
AATF	C9orf78	AATF	C9orf78	0.0444	0.0196	0.0283	0.0299	0.4014
AATF	CCT4	AATF	CCT4	0.0470	0.0158	0.0194	0.0229	0.4978
AATF	CDS2	AATF	CDS2	0.0425	-0.0132	-0.0132	-0.0081	0.5718
AATF	COA1	AATF	COA1	0.0463	0.0418	0.0440	0.0460	0.0730
AATF	COG4	AATF	COG4	0.0407	-0.0190	-0.0191	-0.0160	0.4151
AATF	COLGALT1	AATF	COLGALT1	0.0429	0.0034	0.0049	0.0048	0.8834
AATF	CUX1	AATF	CUX1	0.0542	-0.0083	-0.0049	-0.0097	0.7228
AATF	DCP1A	AATF	DCP1A	0.0518	-0.0093	-0.0093	-0.0041	0.6903
AATF	DDX58	AATF	DDX58	0.0542	-0.0061	-0.0061	-0.0016	0.7942
AATF	DHX58	AATF	DHX58	0.0439	-0.0093	-0.0093	-0.0039	0.6901
AATF	DMXL1	AATF	DMXL1	0.0532	-0.0131	-0.0132	-0.0079	0.5733
AATF	DOCK2	AATF	DOCK2	0.0545	0.0096	0.0082	0.0129	0.6813
AATF	DUSP14	AATF	DUSP14	0.0521	-0.0035	-0.0035	-0.0006	0.8803
AATF	FAM193A	AATF	FAM193A	0.0512	-0.0099	-0.0100	-0.0046	0.6702
