source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AAK1	AIP	AAK1	AIP	0.0889	0.0197	0.0173	0.0200	0.3854
AAK1	ANKRD13A	AAK1	ANKRD13A	0.0596	0.0224	0.0232	0.0099	0.3250
AAK1	ASCC2	AAK1	ASCC2	0.0780	0.0768	0.0766	0.0566	0.0007
AAK1	ATP5G2	AAK1	ATP5G2	0.1916	0.0049	-0.0472	0.0064	0.8311
AAK1	ATP5J2	AAK1	ATP5J2	0.1839	0.0312	0.0209	0.0433	0.1697
AAK1	ATP6V0E1	AAK1	ATP6V0E1	0.1854	0.0260	0.0049	0.0363	0.2527
AAK1	BEX4	AAK1	BEX4	0.0711	0.0142	0.0079	0.0129	0.5320
AAK1	C1orf43	AAK1	C1orf43	0.0656	-0.0138	-0.0154	-0.0115	0.5446
AAK1	CCDC159	AAK1	CCDC159	0.0659	-0.0601	-0.0595	-0.0295	0.0082
AAK1	CCDC88C	AAK1	CCDC88C	0.0856	0.0781	0.0735	0.0617	0.0006
AAK1	CHMP5	AAK1	CHMP5	0.0800	0.0265	0.0218	0.0215	0.2437
AAK1	CITED2	AAK1	CITED2	0.0939	0.0358	0.0315	0.0381	0.1155
AAK1	CPD	AAK1	CPD	0.0676	0.0008	0.0008	0.0003	0.9727
AAK1	CPNE1	AAK1	CPNE1	0.0951	0.0730	0.0722	0.0735	0.0013
AAK1	DDX46	AAK1	DDX46	0.1250	0.0674	0.0628	0.0817	0.0030
AAK1	DNTTIP2	AAK1	DNTTIP2	0.0844	0.0782	0.0778	0.0679	0.0006
AAK1	DYNLRB1	AAK1	DYNLRB1	0.1709	0.0733	0.0640	0.0939	0.0013
AAK1	FAM177A1	AAK1	FAM177A1	0.0818	0.0828	0.0799	0.0613	0.0003
AAK1	FNBP1	AAK1	FNBP1	0.1251	0.0646	0.0608	0.0689	0.0045
AAK1	GLUD1	AAK1	GLUD1	0.0554	-0.0050	-0.0046	-0.0034	0.8267
AAK1	GRHPR	AAK1	GRHPR	0.0776	0.0460	0.0419	0.0356	0.0432
AAK1	GYPC	AAK1	GYPC	0.1784	0.0342	0.0097	0.0479	0.1320
AAK1	H2AFY	AAK1	H2AFY	0.0927	0.0368	0.0329	0.0373	0.1059
AAK1	HMGCS1	AAK1	HMGCS1	0.0547	0.0307	0.0280	0.0107	0.1767
AAK1	ILF2	AAK1	ILF2	0.1049	0.0716	0.0717	0.0696	0.0016
AAK1	JAK1	AAK1	JAK1	0.1864	0.0439	0.0308	0.0622	0.0534
AAK1	LENG1	AAK1	LENG1	0.0767	0.0551	0.0535	0.0485	0.0154
AAK1	LIMD2	AAK1	LIMD2	0.1832	0.0686	0.0444	0.0961	0.0025
AAK1	MAD1L1	AAK1	MAD1L1	0.0661	0.0615	0.0613	0.0466	0.0068
AAK1	MCOLN1	AAK1	MCOLN1	0.0585	0.0030	0.0034	0.0008	0.8934
AAK1	MCTP2	AAK1	MCTP2	0.0512	0.0379	0.0372	0.0201	0.0953
AAK1	MRPL41	AAK1	MRPL41	0.1123	0.0552	0.0487	0.0532	0.0151
AAK1	NAA10	AAK1	NAA10	0.1102	0.0340	0.0284	0.0351	0.1351
AAK1	NDUFA1	AAK1	NDUFA1	0.1683	-0.0070	-0.0257	-0.0098	0.7572
AAK1	NELFB	AAK1	NELFB	0.0546	-0.0353	-0.0351	-0.0102	0.1201
AAK1	NFATC2	AAK1	NFATC2	0.0663	0.0077	0.0056	0.0037	0.7350
AAK1	NFIC	AAK1	NFIC	0.0664	-0.0015	-0.0016	-0.0004	0.9487
AAK1	PABPC1	AAK1	PABPC1	0.1473	0.0132	-0.0108	0.0186	0.5616
AAK1	PPP1R21	AAK1	PPP1R21	0.0525	-0.0108	-0.0112	-0.0038	0.6340
AAK1	PSMB2	AAK1	PSMB2	0.1143	0.0671	0.0670	0.0676	0.0032
AAK1	PTCH2	AAK1	PTCH2	0.0573	0.0642	0.0642	0.0306	0.0047
AAK1	PTGES3	AAK1	PTGES3	0.1500	0.0557	0.0436	0.0675	0.0142
AAK1	RBBP7	AAK1	RBBP7	0.0883	0.0120	0.0096	0.0116	0.5964
AAK1	RNF5	AAK1	RNF5	0.0829	0.0200	0.0212	0.0191	0.3785
AAK1	RUSC1	AAK1	RUSC1	0.0635	-0.0173	-0.0167	-0.0080	0.4475
AAK1	SEPT2	AAK1	SEPT2	0.0653	0.0144	0.0123	0.0108	0.5274
AAK1	SERPINB1	AAK1	SERPINB1	0.1181	0.0644	0.0676	0.0765	0.0046
AAK1	SMDT1	AAK1	SMDT1	0.1558	0.0606	0.0528	0.0772	0.0077
AAK1	SNX5	AAK1	SNX5	0.0615	0.0143	0.0119	0.0099	0.5308
AAK1	SPAG7	AAK1	SPAG7	0.0956	0.0321	0.0301	0.0334	0.1585
AAK1	SRRM1	AAK1	SRRM1	0.1355	0.0283	0.0276	0.0353	0.2129
AAK1	SSBP4	AAK1	SSBP4	0.0893	0.0892	0.0889	0.0837	0.0001
AAK1	TBCC	AAK1	TBCC	0.0905	0.0483	0.0495	0.0481	0.0338
AAK1	THOC7	AAK1	THOC7	0.1153	0.0940	0.0898	0.0987	0.0000
