source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AATF	AASDHPPT	AATF	AASDHPPT	0.0399	0.0069	0.0058	0.0058	0.7629
AATF	ACOT13	AATF	ACOT13	0.0479	0.0257	0.0281	0.0201	0.2578
AATF	ANGEL2	AATF	ANGEL2	0.0453	0.0153	0.0172	0.0085	0.5019
AATF	ANKRD54	AATF	ANKRD54	0.0413	-0.0104	-0.0080	-0.0055	0.6488
AATF	AP001258.4	AATF	AP001258.4	0.0447	-0.0317	-0.0317	-0.0118	0.1637
AATF	ASAH1	AATF	ASAH1	0.0463	0.0221	0.0236	0.0255	0.3317
AATF	ASL	AATF	ASL	0.0431	-0.0290	-0.0282	-0.0257	0.2027
AATF	ATP11B	AATF	ATP11B	0.0476	-0.0094	-0.0095	-0.0051	0.6780
AATF	ATP5H	AATF	ATP5H	0.0569	0.0079	0.0041	0.0127	0.7274
AATF	ATRX	AATF	ATRX	0.0478	0.0254	0.0251	0.0302	0.2642
AATF	BECN1	AATF	BECN1	0.0475	0.0104	0.0103	0.0078	0.6481
AATF	BNIP3	AATF	BNIP3	0.0591	0.0820	0.0829	0.0400	0.0003
AATF	C10orf11	AATF	C10orf11	0.0420	0.0095	0.0089	0.0021	0.6773
AATF	C11orf21	AATF	C11orf21	0.0462	0.0328	0.0335	0.0300	0.1493
AATF	C15orf39	AATF	C15orf39	0.0370	0.0271	0.0276	0.0145	0.2330
AATF	C16orf13	AATF	C16orf13	0.0372	0.0185	0.0176	0.0242	0.4154
AATF	CASC7	AATF	CASC7	0.0380	-0.0040	-0.0069	-0.0013	0.8596
AATF	CCDC137	AATF	CCDC137	0.0419	-0.0136	-0.0122	-0.0100	0.5513
AATF	CCDC50	AATF	CCDC50	0.0495	-0.0019	0.0005	-0.0012	0.9321
AATF	CCT8	AATF	CCT8	0.0520	0.0251	0.0218	0.0330	0.2690
AATF	CD58	AATF	CD58	0.0455	0.0329	0.0332	0.0297	0.1476
AATF	CDK11A	AATF	CDK11A	0.0534	-0.0036	-0.0035	-0.0040	0.8752
AATF	CERS6	AATF	CERS6	0.0476	-0.0285	-0.0285	-0.0095	0.2108
AATF	CHD4	AATF	CHD4	0.0510	0.0032	0.0027	0.0025	0.8871
AATF	COPS4	AATF	COPS4	0.0446	-0.0298	-0.0296	-0.0241	0.1895
AATF	CROT	AATF	CROT	0.0468	-0.0284	-0.0286	-0.0142	0.2112
AATF	CS	AATF	CS	0.0467	0.0113	0.0143	0.0044	0.6186
AATF	CUL5	AATF	CUL5	0.0487	-0.0007	-0.0009	-0.0005	0.9745
AATF	DDX19B	AATF	DDX19B	0.0517	0.0249	0.0256	0.0222	0.2742
AATF	DHX36	AATF	DHX36	0.0453	0.0271	0.0303	0.0331	0.2326
AATF	DPH6	AATF	DPH6	0.0483	-0.0056	-0.0077	-0.0025	0.8060
AATF	DUSP6	AATF	DUSP6	0.0459	-0.0194	-0.0191	-0.0141	0.3944
AATF	DVL2	AATF	DVL2	0.0455	0.0042	0.0042	0.0019	0.8542
AATF	EMG1	AATF	EMG1	0.0459	0.0717	0.0722	0.0646	0.0016
AATF	ESRRA	AATF	ESRRA	0.0430	-0.0324	-0.0325	-0.0124	0.1536
AATF	FBL	AATF	FBL	0.0515	0.0117	0.0114	0.0189	0.6081
AATF	FKBP15	AATF	FKBP15	0.0391	0.0178	0.0163	0.0058	0.4328
AATF	FXYD1	AATF	FXYD1	0.0529	-0.0068	-0.0065	-0.0022	0.7653
AATF	GADD45B	AATF	GADD45B	0.0454	-0.0202	-0.0224	-0.0329	0.3736
AATF	GLS	AATF	GLS	0.0408	0.0068	0.0074	0.0046	0.7652
AATF	HLA-E	AATF	HLA-E	0.0552	0.0356	0.0182	0.0476	0.1178
AATF	HNRNPM	AATF	HNRNPM	0.0462	0.0225	0.0185	0.0363	0.3230
AATF	HSPA9	AATF	HSPA9	0.0609	0.0112	0.0108	0.0119	0.6223
AATF	KAT6A	AATF	KAT6A	0.0467	0.0067	0.0070	0.0035	0.7681
AATF	KIF20B	AATF	KIF20B	0.0528	-0.0159	-0.0159	-0.0078	0.4857
AATF	KLF3	AATF	KLF3	0.0451	-0.0258	-0.0264	-0.0274	0.2558
AATF	KMT2E-AS1	AATF	KMT2E-AS1	0.0458	0.0693	0.0694	0.0883	0.0023
AATF	LINC00685	AATF	LINC00685	0.0579	0.0166	0.0148	0.0079	0.4642
AATF	MAP4K1	AATF	MAP4K1	0.0425	0.0557	0.0578	0.0350	0.0142
AATF	MCL1	AATF	MCL1	0.0612	0.0301	0.0309	0.0352	0.1859
AATF	MIEN1	AATF	MIEN1	0.0583	0.0662	0.0643	0.1078	0.0036
AATF	MMADHC	AATF	MMADHC	0.0476	0.0464	0.0449	0.0498	0.0411
AATF	MPC1	AATF	MPC1	0.0457	0.0216	0.0209	0.0228	0.3422
AATF	MRPL43	AATF	MRPL43	0.0484	0.0237	0.0213	0.0294	0.2973
AATF	MTMR12	AATF	MTMR12	0.0491	-0.0133	-0.0133	-0.0062	0.5589
AATF	MXD4	AATF	MXD4	0.0397	0.0101	0.0106	0.0067	0.6572
AATF	NDUFA9	AATF	NDUFA9	0.0437	0.0514	0.0506	0.0590	0.0237
AATF	NENF	AATF	NENF	0.0470	0.0248	0.0241	0.0283	0.2752
AATF	NFKBIZ	AATF	NFKBIZ	0.0481	0.0054	0.0046	0.0029	0.8118
AATF	NSUN5	AATF	NSUN5	0.0489	0.0347	0.0335	0.0267	0.1271
AATF	OLA1	AATF	OLA1	0.0397	0.0460	0.0468	0.0477	0.0430
AATF	PABPC1	AATF	PABPC1	0.0635	0.0016	-0.0152	0.0031	0.9425
AATF	PCK2	AATF	PCK2	0.0534	-0.0115	-0.0125	-0.0044	0.6118
AATF	PDCD11	AATF	PDCD11	0.0418	-0.0219	-0.0206	-0.0092	0.3351
AATF	PGM2L1	AATF	PGM2L1	0.0428	0.0145	0.0169	0.0044	0.5229
AATF	PITPNA	AATF	PITPNA	0.0419	-0.0237	-0.0238	-0.0103	0.2978
AATF	POC5	AATF	POC5	0.0484	-0.0125	-0.0122	-0.0058	0.5832
AATF	POLR2H	AATF	POLR2H	0.0475	0.0011	0.0007	0.0011	0.9604
AATF	PPM1F	AATF	PPM1F	0.0394	0.0097	0.0107	0.0032	0.6696
AATF	PSME1	AATF	PSME1	0.0560	0.0405	0.0114	0.0683	0.0745
AATF	PXN	AATF	PXN	0.0551	0.0226	0.0217	0.0234	0.3205
AATF	RAB6A	AATF	RAB6A	0.0491	-0.0063	-0.0053	-0.0057	0.7831
AATF	RBM4	AATF	RBM4	0.0465	-0.0287	-0.0287	-0.0242	0.2063
AATF	RBM8A	AATF	RBM8A	0.0457	0.0047	-0.0029	0.0079	0.8371
AATF	RFC5	AATF	RFC5	0.0605	0.0056	0.0065	0.0025	0.8060
AATF	RNF216	AATF	RNF216	0.0474	0.0398	0.0391	0.0264	0.0803
AATF	RNF34	AATF	RNF34	0.0452	0.0700	0.0690	0.0519	0.0021
AATF	RP11-146F11.1	AATF	RP11-146F11.1	0.0401	-0.0038	-0.0042	-0.0012	0.8679
AATF	RP11-244H3.4	AATF	RP11-244H3.4	0.0449	0.0563	0.0545	0.0182	0.0132
AATF	RP11-589C21.6	AATF	RP11-589C21.6	0.0464	-0.0093	-0.0108	-0.0051	0.6842
AATF	RPLP0	AATF	RPLP0	0.0498	0.0256	0.0132	0.0378	0.2603
AATF	RUNX1	AATF	RUNX1	0.0419	-0.0197	-0.0184	-0.0100	0.3864
AATF	SETD4	AATF	SETD4	0.0559	0.0186	0.0189	0.0083	0.4123
AATF	SF3B14	AATF	SF3B14	0.0646	0.0667	0.0605	0.1070	0.0033
AATF	SH2D1B	AATF	SH2D1B	0.0463	-0.0006	-0.0012	-0.0008	0.9796
AATF	SMIM19	AATF	SMIM19	0.0447	0.0081	0.0081	0.0087	0.7201
AATF	SNRPE	AATF	SNRPE	0.0633	0.0011	-0.0048	0.0018	0.9603
AATF	STAMBP	AATF	STAMBP	0.0537	0.0016	0.0014	0.0010	0.9427
AATF	STRAP	AATF	STRAP	0.0426	0.0174	0.0150	0.0213	0.4445
AATF	TGDS	AATF	TGDS	0.0438	-0.0183	-0.0185	-0.0074	0.4197
AATF	TGFBI	AATF	TGFBI	0.0490	0.0748	0.0750	0.0061	0.0010
AATF	TIGIT	AATF	TIGIT	0.0521	0.0495	0.0479	0.0558	0.0294
AATF	TM7SF2	AATF	TM7SF2	0.0421	-0.0144	-0.0129	-0.0080	0.5267
AATF	TMEM170A	AATF	TMEM170A	0.0506	-0.0234	-0.0231	-0.0159	0.3029
AATF	TMEM50A	AATF	TMEM50A	0.0483	0.0244	0.0245	0.0407	0.2826
AATF	TNFRSF18	AATF	TNFRSF18	0.0497	-0.0404	-0.0395	-0.0418	0.0758
AATF	TPP2	AATF	TPP2	0.0488	0.0948	0.0961	0.0664	0.0000
AATF	TRA2B	AATF	TRA2B	0.0489	-0.0441	-0.0538	-0.0786	0.0523
AATF	UBE2L6	AATF	UBE2L6	0.0566	-0.0005	-0.0078	-0.0007	0.9837
AATF	ULK1	AATF	ULK1	0.0488	0.0087	0.0103	0.0018	0.7009
AATF	WDR1	AATF	WDR1	0.0537	0.0339	0.0305	0.0485	0.1358
AATF	XPC	AATF	XPC	0.0420	0.0316	0.0298	0.0228	0.1648
AATF	ZNF232	AATF	ZNF232	0.0376	-0.0008	0.0000	-0.0002	0.9730
AATF	ZNF701	AATF	ZNF701	0.0469	-0.0046	-0.0043	-0.0024	0.8412
AATF	ZP3	AATF	ZP3	0.0589	-0.0138	-0.0138	-0.0023	0.5448
ADNP	ABHD5	ADNP	ABHD5	0.0419	-0.0117	-0.0117	-0.0126	0.6067
ADNP	ADAL	ADNP	ADAL	0.0452	0.0175	0.0245	0.0219	0.4405
ADNP	ADAR	ADNP	ADAR	0.0412	-0.0330	-0.0331	-0.0921	0.1464
ADNP	AIDA	ADNP	AIDA	0.0487	-0.0133	-0.0134	-0.0161	0.5581
ADNP	AKIRIN1	ADNP	AKIRIN1	0.0477	0.0164	0.0150	0.0388	0.4720
ADNP	AP1S1	ADNP	AP1S1	0.0446	-0.0122	-0.0122	-0.0137	0.5919
ADNP	ARFRP1	ADNP	ARFRP1	0.0409	0.0112	0.0108	0.0274	0.6229
ADNP	BAZ2A	ADNP	BAZ2A	0.0429	-0.0222	-0.0223	-0.0445	0.3281
ADNP	BRD2	ADNP	BRD2	0.0486	0.0129	0.0148	0.0426	0.5710
ADNP	BRD4	ADNP	BRD4	0.0465	-0.0072	-0.0073	-0.0172	0.7506
ADNP	C12orf43	ADNP	C12orf43	0.0422	0.0066	0.0081	0.0114	0.7724
ADNP	C21orf91	ADNP	C21orf91	0.0542	0.0461	0.0453	0.0718	0.0426
ADNP	C7orf49	ADNP	C7orf49	0.0459	0.0011	0.0010	0.0023	0.9604
ADNP	CAMK2G	ADNP	CAMK2G	0.0447	0.0040	0.0040	0.0077	0.8588
