signature_name	signature_feature	weight
Monocyte	CD14	1
Monocyte	LYZ	1
Monocyte	S100A8	1
Monocyte	S100A9	1
Monocyte	S100A12	1
NK	FCGR3A	1
NK	KLRD1	1
NK	NKG7	1
NK	PRF1	1
NK	GZMB	1
Bcell	CD19	1
Bcell	CD22	1
Bcell	CD79A	1
Bcell	CD79B	1
Bcell	MS4A1	1
CD4NaiveT	SELL	1
CD4NaiveT	CCR7	1
CD4NaiveT	LEF1	1
CD4NaiveT	MAL	1
CD8NaiveCTL	CD8A	1
CD8NaiveCTL	CD8B	1
CD8NaiveCTL	S100B	1
CD8NaiveCTL	RGS10	1
CD4TReg	IL2RA	1
CD4TReg	FOXP3	1
CD4TReg	TIGIT	1
CD4TReg	TNFRSF18	1
CD4TReg	CTLA4	1
CD4TCM	IL7R	1
CD4TCM	S100A4	1
CD4TCM	IL32	1
