source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AAK1	ACADS	AAK1	ACADS	0.0553	0.0236	0.0234	0.0136	0.2927
AAK1	ACBD5	AAK1	ACBD5	0.0589	-0.0165	-0.0165	-0.0038	0.4624
AAK1	ADHFE1	AAK1	ADHFE1	0.0504	-0.0139	-0.0139	-0.0026	0.5350
AAK1	AGPAT4	AAK1	AGPAT4	0.0494	-0.0124	-0.0124	-0.0022	0.5789
AAK1	AK3	AAK1	AK3	0.0643	0.0069	0.0075	0.0050	0.7591
AAK1	AL645728.1	AAK1	AL645728.1	0.0621	0.0118	0.0117	0.0044	0.5972
AAK1	ALG1	AAK1	ALG1	0.0497	0.0457	0.0462	0.0147	0.0414
AAK1	ANKRD13D	AAK1	ANKRD13D	0.0667	0.0091	0.0104	0.0044	0.6836
AAK1	ARNTL	AAK1	ARNTL	0.0534	-0.0225	-0.0225	-0.0070	0.3159
AAK1	ATAD1	AAK1	ATAD1	0.0603	-0.0142	-0.0152	-0.0082	0.5262
AAK1	ATOX1	AAK1	ATOX1	0.0669	0.0071	0.0082	0.0040	0.7520
AAK1	C9orf114	AAK1	C9orf114	0.0534	-0.0044	-0.0041	-0.0032	0.8449
AAK1	C9orf41	AAK1	C9orf41	0.0558	-0.0048	-0.0051	-0.0017	0.8289
AAK1	CACTIN	AAK1	CACTIN	0.0596	0.0230	0.0227	0.0074	0.3043
AAK1	CD68	AAK1	CD68	0.0438	0.0746	0.0754	0.0060	0.0009
AAK1	CEP350	AAK1	CEP350	0.0501	0.0100	0.0067	0.0029	0.6569
AAK1	CERS2	AAK1	CERS2	0.0628	-0.0185	-0.0180	-0.0141	0.4097
AAK1	CMTR2	AAK1	CMTR2	0.0561	-0.0265	-0.0265	-0.0096	0.2376
AAK1	COG7	AAK1	COG7	0.0524	-0.0047	-0.0048	-0.0017	0.8351
AAK1	COLGALT1	AAK1	COLGALT1	0.0515	-0.0108	-0.0108	-0.0016	0.6311
AAK1	COX14	AAK1	COX14	0.0546	0.0246	0.0240	0.0305	0.2717
AAK1	COX8A	AAK1	COX8A	0.0580	-0.0307	-0.0313	-0.0440	0.1709
AAK1	CRTC2	AAK1	CRTC2	0.0602	-0.0108	-0.0109	-0.0044	0.6290
AAK1	CWC15	AAK1	CWC15	0.0520	0.0171	0.0175	0.0197	0.4442
AAK1	CYFIP2	AAK1	CYFIP2	0.0481	0.0364	0.0382	0.0295	0.1037
AAK1	CYP2R1	AAK1	CYP2R1	0.0664	0.0181	0.0184	0.0105	0.4184
AAK1	DCAF16	AAK1	DCAF16	0.0529	0.0262	0.0270	0.0077	0.2424
AAK1	DHRS3	AAK1	DHRS3	0.0512	-0.0004	-0.0007	-0.0001	0.9846
AAK1	DNAJC17	AAK1	DNAJC17	0.0611	-0.0022	-0.0046	-0.0008	0.9201
AAK1	DNAJC3	AAK1	DNAJC3	0.0509	-0.0241	-0.0242	-0.0081	0.2815
AAK1	DYNC1I2	AAK1	DYNC1I2	0.0561	-0.0279	-0.0280	-0.0106	0.2126
AAK1	EME2	AAK1	EME2	0.0527	-0.0152	-0.0153	-0.0032	0.4967
