source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
AATF	ABCB1	AATF	ABCB1	0.0519	-0.0128	-0.0128	-0.0037	0.5694
AATF	ABHD16A	AATF	ABHD16A	0.0489	0.0213	0.0236	0.0065	0.3439
AATF	AC006129.2	AATF	AC006129.2	0.0406	0.0222	0.0221	0.0178	0.3233
AATF	ADSL	AATF	ADSL	0.0445	0.0505	0.0519	0.0670	0.0245
AATF	ANKAR	AATF	ANKAR	0.0329	-0.0160	-0.0161	-0.0058	0.4749
AATF	ANP32A	AATF	ANP32A	0.0344	0.0111	0.0112	0.0167	0.6205
AATF	AP1S2	AATF	AP1S2	0.0459	0.0285	0.0280	0.0327	0.2038
AATF	APC	AATF	APC	0.0453	-0.0084	-0.0084	-0.0015	0.7100
AATF	APOBEC3C	AATF	APOBEC3C	0.0437	-0.0084	-0.0068	-0.0049	0.7097
AATF	ARFGAP3	AATF	ARFGAP3	0.0403	-0.0342	-0.0343	-0.0258	0.1279
AATF	BCKDK	AATF	BCKDK	0.0445	0.0141	0.0173	0.0101	0.5290
AATF	C14orf2	AATF	C14orf2	0.0478	0.0944	0.0949	0.1615	0.0000
AATF	CAND1	AATF	CAND1	0.0400	-0.0258	-0.0256	-0.0305	0.2500
AATF	CD9	AATF	CD9	0.0433	0.0375	0.0384	0.0205	0.0948
AATF	CEBPB	AATF	CEBPB	0.0514	0.0227	0.0241	0.0312	0.3130
AATF	CEP250	AATF	CEP250	0.0536	0.0570	0.0605	0.0247	0.0111
AATF	CHD7	AATF	CHD7	0.0391	0.0134	0.0140	0.0050	0.5512
AATF	CIRH1A	AATF	CIRH1A	0.0624	0.0245	0.0228	0.0162	0.2754
AATF	COMT	AATF	COMT	0.0587	-0.0107	-0.0116	-0.0122	0.6332
AATF	CPSF3	AATF	CPSF3	0.0465	0.0161	0.0158	0.0091	0.4745
AATF	CSTF1	AATF	CSTF1	0.0454	-0.0028	-0.0048	-0.0016	0.8993
AATF	CTB-58E17.1	AATF	CTB-58E17.1	0.0503	0.0255	0.0307	0.0113	0.2560
AATF	CTSD	AATF	CTSD	0.0471	-0.0144	-0.0149	-0.0211	0.5211
AATF	CWC25	AATF	CWC25	0.0418	-0.0192	-0.0197	-0.0149	0.3938
AATF	CYTIP	AATF	CYTIP	0.0491	0.0236	0.0246	0.0409	0.2924
AATF	DAP	AATF	DAP	0.0386	-0.0189	-0.0186	-0.0141	0.4007
AATF	DAZAP1	AATF	DAZAP1	0.0416	0.0161	0.0177	0.0168	0.4734
AATF	DCTN2	AATF	DCTN2	0.0394	0.0386	0.0398	0.0528	0.0858
AATF	DCUN1D1	AATF	DCUN1D1	0.0444	-0.0168	-0.0168	-0.0062	0.4555
AATF	DHX58	AATF	DHX58	0.0479	0.0121	0.0106	0.0051	0.5906
AATF	DOK2	AATF	DOK2	0.0401	0.0307	0.0307	0.0289	0.1717
AATF	DOPEY2	AATF	DOPEY2	0.0462	-0.0108	-0.0108	-0.0026	0.6306
AATF	DTWD1	AATF	DTWD1	0.0447	-0.0312	-0.0313	-0.0216	0.1647
AATF	DTX2	AATF	DTX2	0.0445	0.0430	0.0415	0.0174	0.0553
AATF	EFTUD2	AATF	EFTUD2	0.0566	0.0002	0.0037	0.0001	0.9938
AATF	EIF3D	AATF	EIF3D	0.0443	-0.0090	-0.0098	-0.0202	0.6887
AATF	EIF5	AATF	EIF5	0.0444	-0.0056	-0.0044	-0.0076	0.8021
AATF	ENOSF1	AATF	ENOSF1	0.0414	0.0139	0.0165	0.0078	0.5355
AATF	FAM120C	AATF	FAM120C	0.0563	-0.0200	-0.0200	-0.0091	0.3737
AATF	FAM127B	AATF	FAM127B	0.0394	-0.0164	-0.0159	-0.0116	0.4655
AATF	FBXL3	AATF	FBXL3	0.0419	-0.0188	-0.0188	-0.0079	0.4038
AATF	FBXW11	AATF	FBXW11	0.0420	0.0116	0.0136	0.0043	0.6051
AATF	FERMT3	AATF	FERMT3	0.0444	0.1200	0.1173	0.1558	0.0000
AATF	FHIT	AATF	FHIT	0.0565	-0.0164	-0.0159	-0.0174	0.4651
AATF	FKBP15	AATF	FKBP15	0.0516	0.0114	0.0076	0.0052	0.6108
AATF	GALNT6	AATF	GALNT6	0.0484	-0.0068	-0.0068	-0.0011	0.7609
AATF	GANC	AATF	GANC	0.0431	0.0521	0.0562	0.0170	0.0203
AATF	GATA3	AATF	GATA3	0.0441	-0.0103	-0.0107	-0.0102	0.6458
AATF	HDAC8	AATF	HDAC8	0.0508	-0.0194	-0.0194	-0.0085	0.3881
AATF	HPSE	AATF	HPSE	0.0460	-0.0048	-0.0048	-0.0005	0.8297
AATF	IFI16	AATF	IFI16	0.0403	0.0541	0.0556	0.0462	0.0160
AATF	ITM2A	AATF	ITM2A	0.0414	0.0093	0.0090	0.0121	0.6796
AATF	KAT5	AATF	KAT5	0.0409	-0.0124	-0.0116	-0.0125	0.5818
