source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
ENSG00000001167	ENSG00000197586	NFYA	ENTPD6	0.1668	-0.0720	-0.0724	-0.0746	0.2778
ENSG00000001167	ENSG00000253948	NFYA	AC104986.2	0.2123	0.0243	0.0418	0.0166	0.7143
ENSG00000004487	ENSG00000011009	KDM1A	LYPLA2	0.2001	0.2886	0.2866	0.3548	0.0000
ENSG00000004487	ENSG00000090104	KDM1A	RGS1	0.2110	0.2493	0.2537	0.2786	0.0001
ENSG00000004487	ENSG00000114030	KDM1A	KPNA1	0.1847	0.1707	0.1694	0.1831	0.0096
ENSG00000004487	ENSG00000117450	KDM1A	PRDX1	0.1723	0.2330	0.1996	0.3709	0.0004
ENSG00000004487	ENSG00000129824	KDM1A	RPS4Y1	0.1801	0.1402	0.1454	0.1048	0.0339
ENSG00000004487	ENSG00000203705	KDM1A	TATDN3	0.2012	0.3331	0.3338	0.2423	0.0000
ENSG00000004487	ENSG00000243927	KDM1A	MRPS6	0.2008	0.1781	0.1788	0.2402	0.0069
ENSG00000004838	ENSG00000008838	ZMYND10	MED24	0.1917	-0.0282	-0.0282	-0.0868	0.6717
ENSG00000004838	ENSG00000152454	ZMYND10	ZNF256	0.1726	0.3779	0.3965	0.4689	0.0000
ENSG00000004838	ENSG00000185361	ZMYND10	TNFAIP8L1	0.1878	-0.0312	-0.0313	-0.1032	0.6383
ENSG00000005102	ENSG00000107372	MEOX1	ZFAND5	0.1840	-0.1442	-0.1324	-0.6196	0.0292
ENSG00000005302	ENSG00000006451	MSL3	RALA	0.1758	0.1836	0.1771	0.1757	0.0053
ENSG00000005302	ENSG00000034510	MSL3	TMSB10	0.1959	0.2988	0.2814	0.0815	0.0000
ENSG00000005302	ENSG00000054118	MSL3	THRAP3	0.1652	0.0989	0.1387	0.1205	0.1356
ENSG00000005302	ENSG00000074842	MSL3	MYDGF	0.2000	0.1236	0.1389	0.1449	0.0619
ENSG00000005302	ENSG00000082074	MSL3	FYB1	0.2052	0.2278	0.2553	0.2181	0.0005
ENSG00000005302	ENSG00000086666	MSL3	ZFAND6	0.2069	0.1673	0.1858	0.1848	0.0112
ENSG00000005302	ENSG00000090316	MSL3	MAEA	0.2117	0.0144	0.0192	0.0132	0.8279
ENSG00000005302	ENSG00000096063	MSL3	SRPK1	0.2341	0.2479	0.2276	0.2587	0.0002
ENSG00000005302	ENSG00000099917	MSL3	MED15	0.1939	0.2177	0.2136	0.2144	0.0009
ENSG00000005302	ENSG00000100911	MSL3	PSME2	0.2090	0.0551	0.1227	0.0676	0.4063
ENSG00000005302	ENSG00000102317	MSL3	RBM3	0.1783	0.1201	0.0555	0.1378	0.0696
ENSG00000005302	ENSG00000105640	MSL3	RPL18A	0.2114	0.1614	0.2181	0.0499	0.0145
ENSG00000005302	ENSG00000106615	MSL3	RHEB	0.1993	0.1950	0.1914	0.1949	0.0031
ENSG00000005302	ENSG00000118197	MSL3	DDX59	0.2108	0.3093	0.3114	0.2190	0.0000
ENSG00000005302	ENSG00000118482	MSL3	PHF3	0.2182	0.1072	0.0944	0.1327	0.1057
ENSG00000005302	ENSG00000122557	MSL3	HERPUD2	0.1741	0.1783	0.1663	0.1907	0.0068
ENSG00000005302	ENSG00000140612	MSL3	SEC11A	0.2185	0.1517	0.1335	0.1917	0.0217
ENSG00000005302	ENSG00000141480	MSL3	ARRB2	0.2426	0.1476	0.1150	0.1788	0.0255
ENSG00000005302	ENSG00000145241	MSL3	CENPC	0.2191	0.1490	0.1589	0.1604	0.0242
ENSG00000005302	ENSG00000146282	MSL3	RARS2	0.1845	0.1816	0.1780	0.1407	0.0059
ENSG00000005302	ENSG00000148572	MSL3	NRBF2	0.2119	0.1898	0.1742	0.1876	0.0039
ENSG00000005302	ENSG00000156976	MSL3	EIF4A2	0.1995	0.1110	0.0177	0.0782	0.0937
ENSG00000005302	ENSG00000159140	MSL3	SON	0.2050	0.0864	-0.0010	0.0860	0.1928
ENSG00000005302	ENSG00000164022	MSL3	AIMP1	0.1847	0.1433	0.1317	0.1692	0.0301
ENSG00000005302	ENSG00000164715	MSL3	LMTK2	0.2005	0.1336	0.1413	0.0682	0.0434
ENSG00000005302	ENSG00000166734	MSL3	CASC4	0.1829	0.1325	0.1321	0.1257	0.0452
ENSG00000005302	ENSG00000166925	MSL3	TSC22D4	0.1815	-0.0274	-0.0725	-0.0339	0.6796
ENSG00000005302	ENSG00000167863	MSL3	ATP5PD	0.2396	0.2014	0.1902	0.2454	0.0022
ENSG00000005302	ENSG00000168710	MSL3	AHCYL1	0.2244	0.2544	0.2566	0.2387	0.0001
ENSG00000005302	ENSG00000169139	MSL3	UBE2V2	0.2440	0.2349	0.2357	0.2474	0.0003
ENSG00000005302	ENSG00000170606	MSL3	HSPA4	0.1785	0.1599	0.1525	0.1580	0.0154
ENSG00000005302	ENSG00000175309	MSL3	PHYKPL	0.2001	0.2487	0.2409	0.2638	0.0001
ENSG00000005302	ENSG00000177606	MSL3	JUN	0.1856	-0.0805	-0.0232	-0.0482	0.2251
ENSG00000005302	ENSG00000177733	MSL3	HNRNPA0	0.1972	0.0756	0.1122	0.0896	0.2545
ENSG00000005302	ENSG00000177963	MSL3	RIC8A	0.2124	0.2578	0.2707	0.2581	0.0001
ENSG00000005302	ENSG00000185418	MSL3	TARSL2	0.1713	0.1576	0.1582	0.1449	0.0170
