source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
ENSG00000001167	ENSG00000105401	NFYA	CDC37	0.3155	0.2535	0.1535	0.5303	0.0261
ENSG00000001167	ENSG00000170892	NFYA	TSEN34	0.3201	0.0668	0.0822	0.1034	0.5638
ENSG00000004487	ENSG00000107736	KDM1A	CDH23	0.3670	-0.0945	-0.0951	-0.0624	0.4135
ENSG00000004487	ENSG00000112578	KDM1A	BYSL	0.3675	0.1548	0.1868	0.0676	0.1789
ENSG00000004487	ENSG00000129636	KDM1A	ITFG1	0.3049	0.2935	0.2949	0.2942	0.0096
ENSG00000004487	ENSG00000141101	KDM1A	NOB1	0.4079	0.3108	0.2964	0.3702	0.0059
ENSG00000004487	ENSG00000169020	KDM1A	ATP5ME	0.3338	0.1891	0.0470	0.2916	0.0995
ENSG00000004487	ENSG00000185674	KDM1A	LYG2	0.3311	-0.0468	-0.0466	-0.0149	0.6861
ENSG00000004487	ENSG00000204147	KDM1A	ASAH2B	0.2863	0.2736	0.2544	0.0865	0.0161
ENSG00000004838	ENSG00000085117	ZMYND10	CD82	0.3144	-0.0721	-0.0712	-0.2727	0.5334
ENSG00000004838	ENSG00000141543	ZMYND10	EIF4A3	0.3539	0.1409	0.1138	0.5441	0.2215
ENSG00000004838	ENSG00000250903	ZMYND10	GMDS-DT	0.3549	-0.0333	-0.0333	-0.0689	0.7739
ENSG00000005302	ENSG00000047849	MSL3	MAP4	0.3516	0.4755	0.4815	0.4425	0.0000
ENSG00000005302	ENSG00000049656	MSL3	CLPTM1L	0.3356	0.4673	0.4424	0.4299	0.0000
ENSG00000005302	ENSG00000074842	MSL3	MYDGF	0.4070	0.4269	0.4154	0.4246	0.0001
ENSG00000005302	ENSG00000079950	MSL3	STX7	0.3162	-0.1548	-0.2404	-0.1716	0.1789
ENSG00000005302	ENSG00000090612	MSL3	ZNF268	0.3430	0.2654	0.3134	0.1567	0.0197
ENSG00000005302	ENSG00000091164	MSL3	TXNL1	0.3080	-0.0863	-0.1311	-0.0847	0.4557
