source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
ENSG00000000419	ENSG00000004700	DPM1	RECQL	0.3663	-0.0340	-0.0341	-0.0472	0.7563
ENSG00000000419	ENSG00000100422	DPM1	CERK	0.2741	-0.0340	-0.0341	-0.0465	0.7557
ENSG00000000938	ENSG00000065882	FGR	TBC1D1	0.2821	-0.0269	-0.0269	-0.0599	0.8055
ENSG00000000938	ENSG00000149761	FGR	NUDT22	0.2877	-0.0206	-0.0206	-0.0366	0.8508
ENSG00000000938	ENSG00000213928	FGR	IRF9	0.3261	-0.0370	-0.0370	-0.1061	0.7350
ENSG00000001561	ENSG00000103978	ENPP4	TMEM87A	0.3310	-0.0370	-0.0370	-0.1152	0.7352
ENSG00000001561	ENSG00000106246	ENPP4	PTCD1	0.2876	-0.0206	-0.0206	-0.0371	0.8506
ENSG00000001561	ENSG00000137563	ENPP4	GGH	0.3197	-0.0118	-0.0118	-0.0139	0.9144
ENSG00000002549	ENSG00000189369	LAP3	GSPT2	0.3308	-0.0471	-0.0472	-0.0632	0.6669
ENSG00000003400	ENSG00000133597	CASP10	ADCK2	0.3175	-0.0206	-0.0206	-0.0139	0.8505
ENSG00000003400	ENSG00000151136	CASP10	BTBD11	0.3146	-0.0206	-0.0206	-0.0160	0.8505
ENSG00000003400	ENSG00000163877	CASP10	SNIP1	0.3324	-0.0293	-0.0293	-0.0252	0.7887
ENSG00000004468	ENSG00000010270	CD38	STARD3NL	0.3361	-0.0118	-0.0118	-0.0152	0.9144
ENSG00000004468	ENSG00000101216	CD38	GMEB2	0.3074	-0.0167	-0.0167	-0.0243	0.8786
ENSG00000004700	ENSG00000000419	RECQL	DPM1	0.3663	-0.0340	-0.0341	-0.0244	0.7563
ENSG00000004700	ENSG00000027869	RECQL	SH2D2A	0.3979	0.2762	0.3153	0.1749	0.0101
ENSG00000004777	ENSG00000100485	ARHGAP33	SOS2	0.3157	-0.0167	-0.0167	-0.0125	0.8785
ENSG00000004777	ENSG00000100938	ARHGAP33	GMPR2	0.3298	-0.0167	-0.0167	-0.0102	0.8785
ENSG00000004777	ENSG00000151466	ARHGAP33	SCLT1	0.3154	-0.0552	-0.0558	-0.1125	0.6134
ENSG00000004777	ENSG00000179115	ARHGAP33	FARSA	0.3043	-0.0382	-0.0383	-0.0621	0.7268
ENSG00000004975	ENSG00000134371	DVL2	CDC73	0.3349	-0.0167	-0.0167	-0.0253	0.8785
ENSG00000004975	ENSG00000198862	DVL2	LTN1	0.3306	0.3874	0.3732	0.9344	0.0002
ENSG00000005020	ENSG00000176248	SKAP2	ANAPC2	0.3034	-0.0167	-0.0167	-0.0110	0.8785
ENSG00000005020	ENSG00000233930	SKAP2	KRTAP5-AS1	0.2771	-0.0167	-0.0167	-0.0124	0.8785
ENSG00000005020	ENSG00000249592	SKAP2	AC139887.2	0.2819	-0.0237	-0.0238	-0.0265	0.8285
ENSG00000005100	ENSG00000103932	DHX33	RPAP1	0.3328	-0.0292	-0.0293	-0.0241	0.7896
ENSG00000005100	ENSG00000121680	DHX33	PEX16	0.3096	-0.0470	-0.0472	-0.0608	0.6674
ENSG00000005206	ENSG00000135763	SPPL2B	URB2	0.3221	-0.0458	-0.0459	-0.0240	0.6751
ENSG00000005206	ENSG00000273391	SPPL2B	AC083880.1	0.3423	-0.0565	-0.0565	-0.0355	0.6055
ENSG00000005339	ENSG00000033178	CREBBP	UBA6	0.3199	0.4247	0.4417	0.4200	0.0000
ENSG00000005339	ENSG00000106588	CREBBP	PSMA2	0.3198	-0.0606	-0.0608	-0.0360	0.5795
ENSG00000005339	ENSG00000115520	CREBBP	COQ10B	0.3804	-0.0872	-0.0875	-0.0773	0.4244
ENSG00000005339	ENSG00000166710	CREBBP	B2M	0.3281	-0.2749	-0.2862	-0.3175	0.0104
ENSG00000005469	ENSG00000198399	CROT	ITSN2	0.3291	0.1486	0.1581	0.3480	0.1720
ENSG00000005483	ENSG00000054654	KMT2E	SYNE2	0.3772	0.1426	0.2011	0.1608	0.1904
ENSG00000005483	ENSG00000089280	KMT2E	FUS	0.3545	0.0610	0.2071	0.0605	0.5767
ENSG00000005483	ENSG00000114446	KMT2E	IFT57	0.2874	-0.1345	-0.1319	-0.0496	0.2169
ENSG00000005483	ENSG00000114933	KMT2E	INO80D	0.3023	0.2773	0.2758	0.1401	0.0097
ENSG00000005483	ENSG00000160888	KMT2E	IER2	0.3327	0.0549	0.1590	0.0635	0.6159
ENSG00000005483	ENSG00000164924	KMT2E	YWHAZ	0.3556	0.4339	0.4646	0.4351	0.0000
ENSG00000005483	ENSG00000178951	KMT2E	ZBTB7A	0.3627	0.4667	0.4687	0.4278	0.0000
ENSG00000005483	ENSG00000187109	KMT2E	NAP1L1	0.3441	0.4956	0.5123	0.4631	0.0000
ENSG00000005483	ENSG00000187514	KMT2E	PTMA	0.3102	0.2519	0.3489	0.2428	0.0193
ENSG00000005483	ENSG00000196405	KMT2E	EVL	0.3421	0.1798	0.2342	0.1987	0.0976
ENSG00000005844	ENSG00000130844	ITGAL	ZNF331	0.3650	0.3340	0.3353	0.4177	0.0017
ENSG00000005844	ENSG00000161013	ITGAL	MGAT4B	0.3513	-0.0676	-0.0677	-0.0302	0.5362
ENSG00000006007	ENSG00000010404	GDE1	IDS	0.3644	-0.0593	-0.0590	-0.2787	0.5878
ENSG00000006007	ENSG00000260742	GDE1	AC009962.1	0.2996	-0.0118	-0.0118	-0.0135	0.9144
ENSG00000006062	ENSG00000026950	MAP3K14	BTN3A1	0.3444	0.2981	0.2650	0.4899	0.0053
ENSG00000006062	ENSG00000119772	MAP3K14	DNMT3A	0.2979	0.1673	0.1417	0.2409	0.1237
ENSG00000006062	ENSG00000197980	MAP3K14	LEKR1	0.2944	-0.0239	-0.0239	-0.0120	0.8274
ENSG00000006062	ENSG00000204389	MAP3K14	HSPA1A	0.3608	-0.0416	-0.0420	-0.0359	0.7039
ENSG00000006530	ENSG00000172340	AGK	SUCLG2	0.3493	-0.0239	-0.0239	-0.0519	0.8274
ENSG00000006530	ENSG00000178498	AGK	DTX3	0.3107	-0.0206	-0.0206	-0.0375	0.8507
ENSG00000006530	ENSG00000225938	AGK	AL109741.1	0.3497	-0.0206	-0.0206	-0.0369	0.8505
ENSG00000007168	ENSG00000189007	PAFAH1B1	ADAT2	0.3309	-0.0517	-0.0520	-0.0386	0.6366
ENSG00000007264	ENSG00000059758	MATK	CDK17	0.3064	0.2375	0.2484	0.2561	0.0277
